Week,D01.Tmax,D01.Tmin,D01.prcp,D02.Tmax,D02.Tmin,D02.prcp,D03.Tmax,D03.Tmin,D03.prcp,D04.Tmax,D04.Tmin,D04.prcp,D05.Tmax,D05.Tmin,D05.prcp,D06.Tmax,D06.Tmin,D06.prcp,D07.Tmax,D07.Tmin,D07.prcp,D08.Tmax,D08.Tmin,D08.prcp,D09.Tmax,D09.Tmin,D09.prcp,D10.Tmax,D10.Tmin,D10.prcp,D11.Tmax,D11.Tmin,D11.prcp,D12.Tmax,D12.Tmin,D12.prcp,D13.Tmax,D13.Tmin,D13.prcp,TN.Tmax,TN.Tmin,TN.prcp
2009.42,18.39,6.73,6.28,18.32,5.17,3.64,19.25,5.30,2.65,17.91,4.30,2.54,18.63,4.52,2.55,18.61,4.35,3.03,17.92,3.73,1.70,17.36,3.53,1.22,16.82,4.87,1.22,17.69,4.11,1.14,16.76,3.45,1.22,16.48,1.99,1.07,18.88,2.61,1.84,17.82,4.05,2.21
2009.43,20.55,9.30,15.31,19.73,7.40,11.99,19.57,7.10,11.88,18.15,5.97,9.49,17.70,5.75,8.91,19.15,5.98,8.91,17.87,5.41,6.32,17.42,6.18,6.22,16.09,7.59,5.77,18.41,7.30,3.78,18.26,6.49,4.23,18.77,5.51,4.00,20.71,5.87,4.10,18.39,6.20,7.75
2009.44,20.65,5.18,0.00,19.88,3.27,0.01,20.44,3.05,0.02,17.69,1.63,0.14,18.52,1.78,0.44,19.15,1.91,0.07,16.99,1.01,0.27,17.60,1.80,0.52,18.12,4.05,0.40,17.67,1.81,1.50,16.63,1.50,1.87,14.82,0.75,2.31,16.04,1.09,2.05,17.81,1.82,0.58
2009.45,21.93,7.48,0.00,21.66,5.90,0.00,22.04,5.71,0.00,20.16,5.12,0.10,20.36,5.45,0.00,20.21,4.70,1.40,19.18,4.04,1.43,18.70,5.55,6.17,17.88,6.83,9.25,18.41,6.36,6.44,17.20,5.25,7.98,15.80,4.06,9.07,17.05,5.46,7.98,19.35,5.12,2.98
2009.46,16.77,6.10,1.29,16.68,5.10,2.08,16.54,4.80,1.07,16.77,4.01,1.23,16.73,2.82,0.88,17.03,3.13,0.74,17.13,2.96,0.35,17.10,3.08,0.49,17.08,3.73,1.03,18.17,4.20,1.64,16.88,4.02,1.05,16.32,3.12,0.24,17.94,4.24,0.01,16.91,3.67,0.93
2009.47,15.63,4.75,0.15,14.58,3.50,0.46,14.95,3.24,0.69,13.18,2.68,0.27,13.93,2.37,0.09,12.64,2.70,0.62,12.67,2.28,0.29,12.43,3.41,1.18,12.29,3.82,1.57,13.81,3.96,0.88,12.42,2.70,0.40,12.91,1.32,0.38,13.98,1.91,0.21,13.08,2.77,0.49
2009.48,10.99,1.23,6.35,10.14,-0.68,5.54,9.59,-0.93,6.02,10.13,-0.26,4.68,10.36,-0.24,4.29,11.09,-0.35,5.76,11.36,-0.26,6.20,10.60,0.39,6.09,10.97,0.95,6.28,12.23,1.69,6.35,10.58,0.39,5.95,10.50,0.30,4.81,11.12,0.48,5.12,10.64,-0.03,5.51
2009.49,7.93,-1.92,7.92,6.90,-3.30,8.51,7.95,-3.27,8.77,6.65,-3.65,7.68,7.20,-4.82,7.89,7.58,-3.96,7.90,6.39,-4.15,7.12,6.76,-3.54,10.98,6.85,-3.10,11.63,7.07,-3.97,10.62,6.04,-4.15,9.52,5.54,-4.79,6.68,5.87,-4.85,7.58,6.72,-3.88,8.39
2009.50,10.43,1.14,1.11,10.27,0.00,2.09,10.22,1.05,1.33,9.25,-0.11,3.06,9.58,-0.69,2.72,10.47,0.40,5.14,9.84,0.09,7.28,9.22,0.81,7.98,8.78,2.35,9.85,8.74,0.16,9.16,8.69,-0.55,7.79,8.29,-2.17,5.87,7.94,-1.39,12.01,9.47,-0.03,5.36
2009.51,9.88,0.97,6.15,9.51,-0.18,4.17,10.78,0.66,3.78,9.44,-0.23,2.21,10.55,-0.77,1.82,10.36,-0.72,2.93,8.81,-1.03,2.35,8.64,-1.33,3.60,8.07,-0.97,3.43,10.01,-1.41,3.03,8.67,-1.40,2.32,6.33,-1.58,2.20,7.71,-1.19,0.80,9.20,-0.78,2.74
2009.52,6.22,-2.42,0.71,5.44,-4.20,1.30,5.20,-3.85,0.87,4.95,-4.85,1.57,4.89,-4.47,1.60,5.61,-4.14,1.69,5.02,-4.89,1.57,5.59,-4.33,1.39,5.41,-3.47,1.55,6.11,-4.04,1.17,4.84,-4.15,1.27,4.49,-4.49,0.81,6.93,-4.32,0.86,5.20,-4.40,1.43
2010.01,-1.15,-9.82,0.18,-1.87,-11.33,0.10,-1.95,-11.04,0.04,-2.88,-11.73,0.28,-3.33,-11.48,0.16,-2.29,-11.70,0.23,-3.72,-12.43,0.39,-3.08,-11.82,0.16,-2.61,-10.98,0.16,-2.37,-10.79,0.25,-3.22,-11.50,0.55,-4.16,-11.15,0.56,-3.47,-10.72,0.64,-2.93,-11.62,0.30
2010.02,7.29,-6.49,0.56,6.13,-7.93,0.19,7.53,-8.06,0.48,4.34,-8.97,0.07,4.94,-8.81,0.06,5.52,-9.34,0.23,3.64,-8.91,0.15,4.67,-8.29,0.12,3.91,-6.74,0.25,4.27,-8.66,0.01,4.08,-8.26,0.11,2.93,-9.89,0.51,3.56,-9.69,0.21,4.60,-8.71,0.17
2010.03,15.46,6.04,9.47,14.27,4.79,11.09,14.69,5.26,9.86,13.11,3.82,10.65,13.83,4.17,10.84,13.52,3.94,11.76,13.00,4.49,11.41,12.83,4.46,11.78,12.89,4.76,9.13,12.77,3.97,10.08,12.11,3.67,9.05,10.98,1.91,6.04,12.21,3.06,6.45,13.06,4.03,10.47
2010.04,9.15,0.11,6.00,8.01,-1.21,5.77,6.83,-2.11,6.66,6.28,-2.08,5.62,5.59,-2.21,5.68,7.00,-2.13,9.28,5.94,-2.01,11.55,6.91,-1.03,13.80,6.93,-1.08,13.83,7.86,0.63,12.90,6.75,-0.97,12.01,6.55,-0.51,6.86,7.07,-0.36,6.19,6.69,-1.55,8.97
2010.05,5.46,-3.23,3.60,5.04,-4.52,3.41,5.53,-4.95,3.04,4.87,-4.81,5.01,5.37,-3.34,5.70,5.53,-3.22,6.98,4.56,-4.49,8.32,5.01,-2.46,8.97,4.32,-1.32,11.03,4.76,-2.44,9.42,4.51,-3.13,7.80,4.07,-3.64,6.31,4.92,-3.72,7.04,4.90,-3.75,6.64
2010.06,3.11,-3.25,7.33,2.45,-4.69,3.90,2.54,-4.40,3.72,1.27,-6.07,2.96,1.43,-6.25,2.97,2.49,-5.25,3.24,1.59,-5.80,2.71,1.96,-5.11,1.40,3.15,-4.17,1.93,3.34,-3.51,1.08,2.24,-5.00,1.17,1.96,-4.91,0.97,2.98,-4.29,0.69,1.98,-5.33,2.55
2010.07,7.13,-3.71,0.81,5.83,-4.72,0.98,6.62,-5.08,1.07,3.94,-5.46,0.73,4.98,-5.54,0.65,5.68,-5.77,0.86,2.77,-6.02,1.20,3.54,-5.45,1.48,4.36,-4.67,0.56,3.80,-4.06,1.03,3.38,-5.21,1.33,1.85,-5.62,1.18,3.36,-5.37,0.37,4.12,-5.41,1.01
2010.08,9.42,-1.65,3.40,9.46,-2.33,1.86,9.40,-2.98,2.40,8.46,-3.27,1.60,7.71,-3.24,1.64,9.12,-4.13,2.07,7.64,-3.01,1.61,8.30,-2.78,2.08,9.01,-2.70,1.45,9.53,-1.50,2.05,7.52,-2.87,1.79,6.90,-3.66,0.93,7.49,-2.54,0.53,8.32,-3.12,1.76
2010.09,10.89,-2.22,0.22,10.06,-2.83,0.27,10.58,-3.80,0.16,7.59,-3.01,0.26,7.26,-2.43,0.38,8.25,-3.73,0.59,5.50,-3.01,0.36,6.27,-2.70,0.98,5.95,-2.11,2.82,5.86,-2.21,0.83,4.89,-2.85,0.79,3.43,-3.09,0.64,4.93,-2.16,0.34,6.89,-2.97,0.55
2010.10,19.50,6.79,5.81,18.85,5.83,5.18,18.90,6.39,4.73,17.82,4.15,4.84,17.58,5.79,4.98,17.78,4.14,6.62,16.71,2.91,3.66,15.66,3.86,4.80,14.98,4.73,5.21,16.51,1.83,4.03,15.35,2.74,3.59,15.28,0.91,3.01,16.91,1.15,3.48,17.02,3.84,4.71
2010.11,15.19,5.65,0.14,14.01,5.20,0.26,15.73,5.26,0.23,12.95,4.37,0.42,13.01,4.91,0.38,13.06,4.34,0.59,12.32,3.59,1.16,12.09,4.02,1.16,11.94,5.00,1.02,12.47,4.16,0.95,11.96,3.65,1.37,11.48,2.06,0.74,13.53,3.56,0.57,12.74,4.14,0.75
2010.12,18.36,5.56,5.72,17.27,4.05,7.82,17.51,3.69,6.98,15.82,3.07,6.96,16.01,3.71,6.78,16.18,2.72,6.80,14.92,2.03,5.04,14.89,2.37,5.92,14.45,3.32,5.36,16.03,2.93,3.75,14.59,1.83,3.46,13.74,-0.22,2.92,16.19,1.87,1.89,15.57,2.63,5.80
2010.13,21.96,9.02,4.66,21.62,6.75,5.00,22.34,7.46,4.69,21.75,5.17,2.66,22.33,7.25,2.52,21.93,4.87,2.89,20.78,4.28,2.61,21.34,5.32,2.66,21.21,6.64,2.64,20.79,5.07,2.92,19.82,5.42,2.56,18.60,1.82,1.81,21.06,4.09,2.01,21.19,5.24,2.87
2010.14,24.47,11.57,4.41,24.39,10.21,3.90,24.54,9.89,4.65,24.40,9.83,2.24,25.60,11.15,1.67,24.78,8.93,1.89,23.85,7.57,1.84,24.79,8.80,2.85,25.27,10.55,3.14,25.23,9.06,2.92,23.95,8.21,3.11,23.52,5.87,3.11,25.16,7.64,2.62,24.44,8.99,2.58
2010.15,28.37,11.32,0.00,27.96,9.21,0.00,28.46,9.45,0.00,27.37,8.17,0.02,27.20,9.85,0.00,27.00,7.68,0.00,26.70,7.52,0.08,26.53,8.44,0.00,25.69,10.31,0.00,26.41,7.70,0.00,25.29,7.77,0.05,23.38,5.19,0.25,25.69,6.77,0.13,26.65,8.10,0.04
2010.16,23.82,11.76,5.05,22.85,8.82,2.23,23.38,9.59,3.03,21.84,6.88,1.43,21.82,8.55,0.75,22.35,6.46,1.65,21.37,6.17,1.07,21.02,7.28,1.96,21.91,9.29,3.04,20.86,7.53,2.11,19.73,6.53,2.07,18.82,3.96,1.67,21.51,5.44,2.09,21.45,6.99,1.74
2010.17,22.96,12.93,19.29,22.08,11.01,18.39,22.20,11.29,28.48,20.91,10.06,13.75,20.71,11.27,14.47,21.06,9.24,6.55,20.33,9.49,7.18,20.58,8.99,7.91,21.61,10.75,2.90,21.41,9.67,6.58,20.24,8.13,5.99,19.79,6.45,3.87,22.49,6.55,3.53,20.86,9.50,10.00
2010.18,29.09,16.25,10.60,27.96,14.67,24.94,28.14,15.08,30.18,27.04,14.05,36.05,27.03,13.87,47.00,27.40,13.38,24.86,27.01,12.93,21.97,27.28,13.77,10.67,28.24,15.88,10.97,28.80,14.76,9.25,27.19,13.23,11.37,26.77,11.55,5.50,28.85,12.75,5.46,27.33,13.67,22.99
2010.19,26.03,16.61,5.79,24.37,14.58,3.27,25.37,15.41,2.40,23.37,12.58,2.93,23.84,13.25,4.00,24.22,12.16,1.55,23.55,11.24,1.66,23.85,11.97,1.26,24.31,13.32,1.05,24.37,11.59,0.94,23.05,10.75,1.26,21.57,8.61,0.48,24.40,10.82,0.38,23.66,12.13,2.07
2010.20,26.89,16.50,6.49,24.60,14.59,7.67,25.86,15.49,9.73,23.69,14.22,7.55,23.40,14.41,7.71,24.99,14.16,7.07,23.68,14.02,7.28,24.44,13.87,4.44,25.29,15.27,4.54,25.73,14.53,5.58,23.60,13.02,4.02,23.05,11.93,3.79,24.60,13.49,3.39,24.14,14.00,6.35
2010.21,31.69,19.98,5.43,30.79,18.22,3.06,31.61,19.18,2.89,30.17,17.09,1.32,28.95,18.04,1.29,29.87,16.24,1.52,28.79,15.47,1.47,28.60,15.64,2.29,28.80,16.93,1.38,29.67,15.87,1.55,27.82,14.49,2.70,25.93,13.20,2.64,29.20,14.76,2.45,29.23,16.25,1.97
2010.22,31.35,21.31,4.08,30.74,19.73,3.38,31.58,20.38,3.61,29.95,18.23,2.62,30.04,18.95,1.84,29.31,17.95,3.53,28.73,17.39,3.40,27.78,17.96,5.53,28.28,19.28,8.33,29.20,18.80,1.75,27.22,17.03,2.79,26.82,15.70,2.94,29.48,17.29,1.13,29.02,18.04,3.34
2010.23,32.12,22.01,0.93,30.88,20.21,2.67,31.83,20.65,9.33,30.60,19.11,3.25,30.77,19.12,3.39,30.09,18.67,3.61,28.79,17.74,6.38,28.74,17.61,6.00,29.52,19.28,4.08,29.36,17.91,3.98,27.15,16.46,5.32,25.90,14.37,2.94,28.24,16.65,1.85,29.41,18.23,4.25
2010.24,34.83,23.85,1.72,34.13,22.29,1.60,34.63,23.09,3.37,33.42,21.22,3.06,32.58,21.54,3.74,32.67,20.74,2.83,31.77,20.02,2.27,31.18,19.88,2.86,31.80,21.87,3.70,32.53,20.31,2.69,30.28,18.81,2.36,28.84,16.97,3.35,31.51,18.77,4.12,32.20,20.47,2.76
2010.25,35.60,23.78,0.59,34.85,22.17,2.16,35.14,22.74,4.00,34.22,21.05,2.02,33.75,21.29,1.23,33.65,20.28,2.70,32.51,19.90,1.95,32.74,20.24,1.03,33.22,22.22,0.82,33.97,20.43,1.06,31.55,18.89,1.24,30.63,16.67,0.96,33.41,18.18,1.52,33.26,20.35,1.77
2010.26,32.84,21.30,0.60,32.29,19.82,1.12,32.50,20.43,1.74,31.82,18.53,1.99,31.00,18.92,4.57,31.77,18.87,1.48,30.53,18.00,2.31,30.90,18.70,0.51,31.57,20.90,0.80,32.46,19.99,3.37,29.79,17.70,1.56,29.24,16.08,1.20,31.24,17.65,3.07,31.18,18.57,1.78
2010.27,34.17,22.78,0.47,33.40,21.26,0.77,33.69,21.99,0.78,33.43,20.10,1.40,32.85,20.68,1.26,33.19,19.52,3.42,32.57,18.69,2.59,32.62,18.55,1.74,33.60,20.06,2.80,34.39,19.53,1.54,31.79,18.33,2.32,31.40,16.02,1.61,33.93,17.74,1.23,32.90,19.39,1.95
2010.28,33.46,23.27,19.51,32.75,22.06,12.65,33.03,22.74,11.60,32.64,21.02,9.00,32.60,21.47,12.56,31.94,20.74,7.80,31.28,19.99,5.95,31.35,20.04,7.06,31.89,21.58,6.94,32.61,21.33,5.01,30.22,19.21,7.16,28.87,17.34,4.33,31.54,18.86,3.10,31.72,20.48,8.28
2010.29,33.70,23.90,0.12,33.50,22.93,0.51,34.32,23.86,0.02,33.52,22.58,0.88,33.45,23.03,0.57,33.28,21.94,0.53,31.96,21.10,5.01,32.31,21.26,2.89,33.04,22.91,0.67,31.97,21.59,8.71,30.74,20.33,6.92,29.79,18.90,5.11,32.89,20.76,1.97,32.56,21.74,2.64
2010.30,34.45,24.32,5.89,34.14,23.29,3.60,34.30,23.95,4.50,34.43,22.55,2.16,33.52,23.07,1.92,33.76,22.09,3.28,32.82,21.69,3.03,32.92,21.43,2.45,34.09,22.85,3.73,33.64,22.79,2.03,31.28,20.95,3.33,30.40,19.51,3.02,33.46,21.26,2.00,33.24,22.03,2.89
2010.31,36.26,25.35,0.87,35.78,23.07,0.88,35.81,23.53,0.58,35.19,21.57,4.27,34.13,21.75,5.19,35.24,21.74,1.85,33.19,21.17,5.00,33.05,21.54,4.34,33.81,22.85,3.25,32.54,21.90,3.27,29.22,19.40,3.77,29.51,18.76,3.67,33.02,20.20,2.46,33.57,21.36,3.53
2010.32,35.41,24.94,3.24,35.88,23.26,2.17,36.12,23.53,4.19,35.71,22.30,1.34,34.93,22.51,3.22,35.71,22.06,2.51,34.14,21.57,1.68,34.38,21.73,1.60,34.92,23.82,0.93,35.07,21.84,1.19,30.41,19.44,3.20,31.35,18.74,1.71,34.41,20.32,2.48,34.39,21.72,2.08
2010.33,34.98,24.86,1.00,34.32,22.32,4.16,34.40,22.72,2.55,32.63,20.86,14.97,32.74,20.88,15.95,32.97,21.43,8.36,30.72,20.66,20.36,32.16,21.73,5.31,32.10,22.64,4.80,33.03,22.06,6.28,28.10,19.23,7.88,28.56,18.97,12.74,30.67,20.76,12.23,31.78,20.98,11.03
2010.34,32.54,20.09,2.65,30.88,17.66,0.99,33.47,18.33,0.01,30.88,17.63,1.54,30.20,17.77,1.71,31.09,17.66,3.26,29.39,16.95,1.10,30.95,17.72,1.29,30.60,19.21,0.64,30.94,18.17,3.28,27.29,15.92,3.05,27.13,15.03,2.56,29.76,17.16,3.77,30.08,17.30,1.95
2010.35,31.59,20.18,0.37,31.03,18.58,1.21,30.89,18.55,2.61,31.34,17.39,0.39,30.54,17.50,0.24,30.73,16.70,1.12,30.49,16.16,0.44,31.27,16.44,0.55,31.17,18.10,0.01,33.24,16.51,0.27,28.22,14.59,1.03,29.52,13.15,0.14,31.75,15.41,0.69,30.61,16.59,0.67
2010.36,31.01,19.13,0.31,30.07,16.68,2.35,31.02,17.39,1.90,28.86,14.67,3.60,28.28,15.23,3.87,30.33,14.94,0.99,28.00,13.57,2.96,30.05,14.96,0.92,30.05,16.92,0.18,28.73,14.37,2.43,25.30,12.97,3.61,25.84,11.00,2.89,27.44,12.69,4.96,28.61,14.51,2.58
2010.37,32.57,17.50,0.10,31.77,15.32,0.13,32.44,14.74,0.14,31.01,14.45,0.40,29.91,14.47,0.72,31.71,14.41,0.34,29.47,13.79,2.04,30.73,14.99,2.04,30.55,17.12,0.99,30.01,15.56,9.34,25.98,13.16,6.39,26.21,12.06,3.91,28.19,13.57,3.15,29.97,14.32,1.92
2010.38,35.03,18.99,0.05,34.58,17.33,0.23,35.29,17.18,0.03,33.75,16.36,0.49,32.26,16.42,0.59,34.03,16.45,2.13,31.73,15.99,1.31,32.72,17.25,1.01,32.20,18.48,1.48,31.83,16.76,0.30,27.90,15.31,0.42,28.17,13.73,0.62,30.76,15.56,0.02,32.30,16.32,0.86
2010.39,26.27,11.30,0.00,25.99,9.29,0.25,26.72,8.81,0.02,24.89,9.16,0.01,24.87,9.85,0.02,24.81,9.75,1.65,22.76,9.88,0.81,22.40,11.34,3.90,22.72,12.93,3.25,22.54,13.03,5.58,19.99,10.39,5.36,20.12,10.17,7.55,20.99,12.19,6.19,23.47,10.05,2.12
2010.40,25.37,7.02,0.00,24.68,4.88,0.00,25.29,3.91,0.00,23.34,4.43,0.00,22.75,4.55,0.00,23.79,4.45,0.00,21.10,4.09,0.02,22.18,5.10,0.00,22.01,7.43,0.00,21.27,6.10,0.01,17.94,5.04,0.20,17.21,4.65,0.35,19.17,5.65,0.29,22.00,4.74,0.05
2010.41,27.77,11.31,0.01,27.77,8.82,1.05,28.26,8.23,0.17,26.60,8.37,1.18,26.17,8.29,1.38,26.26,8.25,2.54,24.48,6.82,1.21,24.88,8.00,1.66,25.19,10.50,0.11,24.20,7.79,0.57,21.52,6.65,1.61,20.99,5.65,2.86,23.61,6.81,1.14,25.16,7.85,1.50
2010.42,26.45,9.63,0.07,26.16,6.70,0.09,26.93,6.21,0.04,24.90,5.31,0.10,24.39,5.70,0.19,25.22,5.14,0.09,23.60,4.24,0.10,23.80,5.12,0.33,23.58,8.10,0.32,23.19,4.86,0.64,20.59,4.79,1.03,19.65,2.52,1.49,21.93,3.99,1.08,23.87,5.17,0.35
2010.43,23.36,9.58,6.13,23.02,8.66,5.06,23.47,8.31,4.04,23.20,8.06,7.19,22.82,6.59,7.62,23.49,8.57,8.38,22.99,7.76,9.13,22.32,8.68,14.72,22.07,9.75,10.72,23.26,8.16,14.16,20.23,7.41,11.42,20.58,6.96,7.01,22.07,7.94,6.30,22.54,8.05,8.88
2010.44,17.98,5.55,3.19,17.68,4.09,1.34,18.46,3.86,1.06,17.53,3.79,1.14,17.49,4.62,1.51,17.77,3.70,1.47,16.80,3.31,2.27,16.18,4.72,2.27,15.56,5.66,2.97,17.53,4.06,3.68,14.59,3.45,3.86,14.48,2.75,3.42,15.46,2.79,3.83,16.76,3.85,2.11
2010.45,22.08,3.73,0.17,21.76,2.17,0.09,22.70,1.09,0.10,19.63,0.76,0.03,18.58,0.50,0.06,21.04,0.58,0.03,19.37,0.15,0.01,19.44,1.32,0.07,18.71,3.67,0.00,17.93,-0.09,0.09,16.82,0.84,0.05,15.60,-1.39,0.15,17.78,-0.79,0.25,19.32,0.79,0.05
2010.46,13.97,3.04,4.48,13.27,1.78,4.27,13.89,1.63,4.60,13.45,2.75,4.70,13.85,3.73,4.50,15.60,3.18,4.57,15.10,3.75,5.97,15.66,3.89,7.57,15.33,4.97,7.04,15.59,4.70,6.16,13.87,3.84,5.65,14.26,2.05,2.94,15.80,3.41,3.34,14.43,3.22,5.17
2010.47,20.23,6.91,11.70,19.06,5.54,11.32,19.21,5.47,14.59,17.64,4.24,9.00,18.10,4.78,6.55,19.21,4.94,6.14,18.41,4.32,6.35,17.68,5.51,5.13,16.69,6.82,4.66,17.86,4.76,5.45,15.85,3.88,4.38,16.30,2.85,2.43,16.88,2.33,3.13,17.86,4.61,6.85
2010.48,13.85,0.28,4.95,12.19,-1.04,5.49,13.04,-1.03,4.51,10.73,-2.00,7.20,11.51,-0.82,8.26,12.28,-1.84,10.04,9.71,-1.86,11.58,10.58,-1.44,14.67,10.10,-0.80,13.97,9.83,-1.83,12.24,8.93,-1.55,12.00,8.43,-3.01,7.88,10.40,-2.10,7.35,10.67,-1.67,9.66
2010.49,7.75,-4.05,1.70,6.21,-5.24,0.62,6.27,-5.32,1.01,4.24,-6.03,0.19,3.58,-5.71,0.17,5.56,-5.60,0.23,3.00,-6.51,0.74,3.56,-5.49,0.31,3.52,-4.87,0.17,3.66,-5.71,0.82,2.75,-5.98,1.16,1.50,-6.76,1.43,2.18,-6.59,0.95,4.02,-5.86,0.56
2010.50,6.38,-4.15,2.08,4.36,-6.25,4.96,4.37,-5.36,4.99,2.88,-7.29,6.03,2.19,-7.39,5.61,3.54,-7.06,4.87,2.03,-7.60,6.98,2.14,-6.72,3.64,3.52,-6.56,2.75,2.94,-5.71,4.20,1.88,-6.56,4.91,0.66,-7.60,5.48,0.94,-6.82,6.31,2.70,-6.95,5.27
2010.51,10.57,-0.17,0.10,8.78,-2.07,0.26,9.10,-1.38,0.26,6.10,-3.25,0.48,5.29,-2.66,0.51,8.12,-3.09,0.86,5.13,-3.51,0.78,6.44,-3.50,0.97,6.51,-2.68,1.17,5.33,-3.97,0.61,3.94,-3.94,1.35,2.66,-4.26,0.59,3.12,-3.73,0.40,6.09,-3.22,0.73
2010.52,9.75,0.39,7.12,8.32,-0.55,5.12,8.86,0.53,4.04,7.13,-1.24,4.36,8.51,-0.10,3.73,7.68,-1.06,7.79,5.77,-2.84,6.79,5.86,-2.85,8.34,5.15,-2.34,6.83,4.66,-3.17,5.15,4.67,-3.81,6.13,4.01,-6.33,1.62,5.49,-5.54,1.06,6.56,-2.13,5.73
2011.01,9.93,-2.08,0.78,8.44,-4.19,0.52,8.61,-4.54,0.19,7.07,-5.20,0.69,6.91,-4.20,0.89,8.51,-4.07,1.33,6.30,-5.25,2.05,7.24,-3.70,3.00,7.19,-2.55,4.64,6.40,-2.93,6.25,5.24,-4.04,4.94,5.33,-4.94,2.87,5.11,-4.80,2.27,7.02,-4.41,2.05
2011.02,1.97,-6.86,1.17,1.32,-8.04,1.20,1.83,-8.09,0.92,-0.10,-8.44,1.07,-0.17,-8.27,0.93,0.80,-9.06,2.07,-1.05,-10.10,1.56,-0.12,-9.36,2.30,-0.16,-7.68,2.19,-0.59,-8.43,0.79,-0.04,-8.83,1.79,-1.77,-10.58,0.87,-0.94,-9.25,0.51,-0.02,-8.91,1.50
