Week,D1.ILI%,D2.ILI%,D3.ILI%,D4.ILI%,D5.ILI%,D6.ILI%,D7.ILI%,D8.ILI%,D9.ILI%,D10.ILI%,D11.ILI%,D12.ILI%,D13.ILI%,TN.ILI%
2009.46,1.3,1.9,1.1,5.3,4.2,0.5,4.8,1.5,0.0,2.1,0.9,0.9,0.4,2.49
2009.47,1.5,1.3,1.2,2.8,2.2,0.3,6.4,0.0,0.0,1.1,0.6,0.9,0.0,2.03
2009.48,0.9,1.2,0.5,0.5,2.1,3.4,4.0,1.7,0.0,0.2,0.3,1.2,0.3,1.48
2009.49,3.3,1.0,1.4,2.6,1.0,1.5,2.9,0.3,0.0,2.5,0.0,0.3,0.2,1.54
2009.50,0.4,0.8,2.5,4.4,0.8,0.0,6.2,0.0,0.5,0.7,0.0,0.2,0.0,1.53
2009.51,0.0,1.6,1.7,0.0,0.0,3.5,9.6,0.6,1.1,0.0,0.0,0.0,0.0,2.11
2009.52,1.0,0.4,3.0,0.5,5.9,4.4,5.7,0.5,0.0,1.4,0.0,0.4,0.3,1.79
2010.01,0.4,0.4,2.2,0.0,1.1,0.0,2.2,0.0,0.0,0.0,0.0,0.2,0.2,0.75
2010.02,0.3,0.1,2.2,0.0,0.7,1.5,1.5,0.7,1.3,0.0,0.0,0.0,0.0,0.64
2010.03,0.1,0.4,3.2,0.3,1.4,1.0,3.0,0.7,0.0,0.2,0.0,0.3,0.0,1.07
2010.04,0.4,0.2,2.7,1.8,1.8,0.0,2.7,1.0,0.3,1.5,0.0,0.0,0.4,1.05
2010.05,0.0,0.2,3.3,1.4,1.4,1.1,2.3,0.0,0.0,0.2,0.0,0.5,0.5,0.93
2010.06,0.0,0.5,2.2,4.3,2.3,0.2,3.8,1.2,0.0,0.8,0.4,0.5,0.9,1.49
2010.07,0.2,0.6,0.0,0.7,1.2,0.5,1.9,0.0,0.0,2.7,0.0,0.6,1.3,0.96
2010.08,0.2,1.1,1.4,0.7,2.3,0.7,2.7,0.4,0.0,0.8,0.0,0.5,0.0,1.21
2010.09,0.2,0.5,2.5,3.1,2.1,0.4,8.7,0.3,0.0,1.9,0.3,0.2,0.2,1.52
2010.10,0.4,1.1,2.4,1.8,0.9,1.2,4.9,0.6,0.0,0.5,0.3,0.4,0.5,1.37
2010.11,0.9,0.3,1.1,1.5,1.0,0.4,2.4,0.0,0.0,0.5,0.0,0.9,0.0,0.85
2010.12,0.0,0.5,0.9,1.2,1.6,0.0,1.6,0.6,0.0,0.3,0.0,0.5,0.0,0.83
2010.13,0.3,0.3,1.4,1.7,0.8,0.1,1.6,0.0,0.0,1.4,0.0,0.7,0.2,0.87
2010.14,0.1,0.0,0.5,0.0,0.4,0.0,1.0,0.0,0.0,0.3,0.0,0.0,0.2,0.36
2010.15,0.0,0.3,0.7,0.3,0.7,0.0,0.8,0.0,0.0,0.2,0.0,0.2,0.2,0.43
2010.16,0.0,0.1,0.6,0.7,0.1,0.0,0.4,0.0,0.0,0.0,0.0,0.1,0.2,0.21
2010.17,0.0,0.0,0.5,0.2,0.3,1.2,0.9,0.7,0.0,0.0,0.0,0.0,0.2,0.33
2010.18,0.0,0.0,0.4,0.1,0.4,0.1,0.3,0.3,0.0,0.2,0.0,0.3,0.2,0.20
2010.19,0.2,0.0,0.0,0.0,0.2,0.0,1.0,0.6,0.0,0.5,0.0,0.1,0.3,0.28
2010.20,0.0,0.0,0.3,0.0,0.0,0.0,0.4,0.3,0.0,0.2,0.0,0.0,0.0,0.09
2010.21,0.0,0.0,0.0,0.0,0.2,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.09
2010.22,0.0,0.0,0.9,0.1,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21
2010.23,0.0,0.0,0.0,0.0,1.2,0.6,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.10
2010.24,0.0,0.0,0.1,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.05
2010.25,0.0,0.1,0.0,0.1,0.0,0.3,0.7,0.0,0.0,0.0,0.0,0.1,0.0,0.11
2010.26,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.03
2010.27,0.0,0.0,0.1,0.0,0.0,0.2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.06
2010.28,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.03
2010.29,0.0,0.0,0.1,0.0,0.2,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
2010.30,0.0,0.0,0.1,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.06
2010.31,0.0,0.0,0.3,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
2010.32,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
2010.33,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.7,0.2,0.0,0.0,0.0,0.06
2010.34,0.0,0.1,0.1,0.1,0.0,0.0,0.2,0.7,0.0,0.0,0.0,0.0,0.0,0.08
2010.35,0.0,0.0,0.1,0.2,0.0,0.0,1.8,0.2,0.8,0.0,0.0,0.0,0.0,0.16
2010.36,0.0,0.0,0.2,0.2,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.2,0.11
2010.37,0.2,0.1,0.3,0.8,0.1,0.0,0.5,0.3,0.0,0.1,0.0,0.0,0.0,0.19
2010.38,0.0,0.0,0.0,0.7,0.3,0.0,0.4,0.3,0.0,0.0,0.0,0.2,0.0,0.23
2010.39,0.0,0.2,0.0,0.3,0.1,0.0,0.6,0.3,0.4,0.0,0.3,0.0,0.0,0.21
2010.40,0.0,0.3,0.6,0.3,0.9,0.0,0.8,0.0,1.1,0.0,0.0,0.0,0.0,0.36
2010.41,0.0,0.0,2.4,0.3,0.1,0.0,1.0,0.0,0.0,0.0,1.2,0.0,0.0,0.40
2010.42,0.0,0.3,2.2,0.4,0.0,0.0,1.0,0.3,0.0,0.0,0.0,0.0,0.0,0.49
2010.43,0.4,0.1,2.4,0.9,0.0,0.0,1.0,0.3,0.3,0.3,0.0,0.0,0.0,0.45
2010.44,0.0,0.1,2.9,0.3,0.3,0.0,1.3,0.0,1.4,0.0,0.0,0.0,0.3,0.46
2010.45,0.5,0.4,2.7,1.1,0.1,0.0,0.9,0.0,0.0,0.6,0.0,0.1,0.0,0.59
2010.46,0.0,0.4,4.3,0.7,0.2,1.1,2.1,0.0,0.3,0.1,0.0,0.0,0.2,0.73
2010.47,0.4,0.0,4.3,0.6,0.2,0.7,1.3,0.0,0.0,0.0,1.4,0.0,0.0,0.76
2010.48,0.5,0.3,4.8,0.3,0.2,0.6,1.4,0.0,0.0,0.7,0.0,0.2,0.5,0.83
2010.49,0.4,0.4,4.0,0.1,0.2,0.0,4.0,0.0,0.3,0.4,0.4,0.8,0.3,1.16
2010.50,0.9,0.4,0.0,1.7,0.7,3.2,4.8,0.4,0.0,1.5,0.0,0.9,0.0,1.24
2010.51,0.0,0.8,6.9,0.2,0.0,1.8,9.9,0.0,0.0,1.5,0.0,0.6,0.0,2.76
2010.52,0.9,1.2,5.1,1.5,0.0,0.9,10.9,0.4,0.5,1.0,0.0,0.0,0.0,2.76
2011.01,0.5,0.4,4.7,1.2,0.3,0.5,8.9,0.2,0.0,0.0,1.0,0.4,0.8,1.54
2011.02,0.0,0.4,8.6,3.1,1.8,2.6,8.5,0.4,0.0,3.1,0.0,1.6,0.4,3.12
2011.03,1.4,1.9,7.1,4.5,4.4,0.0,9.6,0.2,0.0,2.6,0.7,1.7,0.6,3.63
2011.04,4.1,1.2,9.8,5.2,5.3,0.1,12.0,0.6,0.0,5.6,1.6,2.8,0.8,4.24
2011.05,3.5,6.7,11.2,5.9,6.5,0.3,12.8,0.8,0.6,6.9,5.4,2.4,1.0,6.45
2011.06,1.6,7.4,7.7,3.7,7.6,0.7,13.8,0.9,0.0,6.0,2.1,2.2,1.1,6.30
2011.07,1.5,4.2,8.7,2.5,6.3,2.0,8.1,1.4,0.9,4.6,6.0,4.5,0.6,4.78
2011.08,0.4,6.0,6.7,3.1,4.8,0.0,8.7,0.0,0.0,5.7,2.0,2.2,0.5,4.65
2011.09,1.2,2.7,7.6,1.6,3.2,0.0,13.4,1.2,0.0,3.1,4.6,1.3,1.8,3.33
2011.10,0.0,1.0,4.4,1.2,1.2,0.5,7.6,6.5,0.0,2.4,3.4,0.2,0.0,1.88
2011.11,0.3,0.7,5.3,0.2,0.8,0.0,4.6,0.0,0.0,0.6,0.5,0.3,0.0,1.41
2011.12,0.2,0.3,3.1,0.4,0.1,0.1,2.5,0.0,0.0,0.2,1.2,0.4,0.0,0.78
2011.13,0.4,0.2,3.5,1.1,0.6,0.0,1.2,0.0,0.0,0.0,0.0,0.3,0.0,0.71
2011.14,0.2,0.2,4.3,0.5,0.3,0.0,5.6,0.0,0.0,0.1,0.4,0.4,0.4,0.79
2011.15,0.0,0.0,3.9,0.4,0.3,0.0,1.1,0.0,0.0,0.1,0.0,0.4,0.0,0.58
2011.16,0.0,0.1,5.1,0.4,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.2,0.0,0.68
2011.17,0.0,0.1,3.5,0.0,0.0,0.0,0.6,0.0,0.0,0.3,0.5,0.3,0.3,0.41
2011.18,0.0,0.1,0.0,0.2,0.0,0.0,0.4,0.0,0.0,0.2,0.0,0.0,0.0,0.11
2011.19,0.0,0.1,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.3,0.0,0.10
2011.20,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.2,0.5,0.0,0.0,0.06
2011.21,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
2011.22,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.02
2011.23,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.2,0.7,0.0,0.0,0.07
2011.24,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.03
2011.25,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
2011.26,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.02
2011.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.02
2011.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
2011.29,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.02
2011.30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
2011.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
2011.32,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.5,0.0,0.0,0.03
2011.33,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.06
2011.34,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.4,0.0,0.0,0.0,0.0,0.08
2011.35,0.0,0.1,0.0,0.2,0.0,2.5,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.14
2011.36,0.0,0.0,0.0,0.0,0.1,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.15
2011.37,0.3,0.1,0.0,0.1,0.2,0.0,1.0,0.0,0.4,0.0,0.0,0.1,0.0,0.29
2011.38,0.2,0.1,0.0,0.3,0.2,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.37
2011.39,0.0,0.1,0.0,0.2,0.2,0.0,1.3,0.0,0.0,0.0,0.0,0.4,0.7,0.43
2011.40,0.0,0.4,0.0,0.6,0.4,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.28
2011.41,0.3,0.6,0.0,0.1,0.3,0.0,1.3,0.4,0.4,0.0,0.0,0.0,0.3,0.35
2011.42,0.0,0.2,0.0,0.2,0.2,0.0,1.3,0.3,0.0,0.6,0.0,0.2,0.3,0.42
2011.43,0.5,0.4,0.0,0.4,0.1,0.2,0.0,0.0,0.0,0.4,0.0,0.2,0.3,0.29
2011.44,0.4,0.3,0.0,0.4,0.5,0.3,1.5,0.0,0.4,0.0,0.0,0.0,0.0,0.50
2011.45,1.4,0.3,0.7,0.8,0.5,0.0,3.1,0.4,0.4,0.3,0.5,0.0,0.0,0.83
2011.46,0.1,0.0,0.7,0.8,0.2,0.0,2.6,0.9,0.3,0.0,0.0,0.3,0.0,0.69
2011.47,0.0,1.5,0.9,0.1,0.3,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.5,0.89
2011.48,0.6,0.3,0.8,0.5,0.2,1.6,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.63
2011.49,0.8,1.7,1.3,0.3,0.0,0.0,3.3,0.0,0.0,0.4,0.8,0.0,0.5,1.06
2011.50,0.8,0.1,1.5,3.6,0.2,0.0,2.7,0.0,0.0,0.0,0.2,0.2,0.0,0.66
2011.51,0.0,0.2,0.9,0.0,0.6,0.0,3.9,0.4,0.0,0.0,0.4,0.2,0.0,0.52
2011.52,0.3,0.5,3.3,0.0,0.0,0.0,3.4,0.0,0.0,1.4,0.0,0.5,0.0,0.94
2012.01,0.2,1.3,0.0,0.0,0.0,0.3,2.0,0.4,0.0,0.3,0.0,0.3,0.0,0.72
2012.02,0.2,1.1,1.9,0.2,0.1,0.0,1.6,0.0,0.0,0.2,0.4,0.4,0.3,0.77
2012.03,0.4,1.9,1.6,0.3,0.2,0.0,2.3,0.0,0.0,1.0,0.0,0.4,0.0,1.17
2012.04,0.7,2.1,3.6,0.6,0.3,0.0,2.4,0.0,0.4,2.2,0.0,0.3,0.0,1.26
2012.05,0.1,1.5,1.6,0.2,0.3,0.0,2.8,0.0,0.0,0.2,0.2,0.2,0.3,0.87
2012.06,0.7,0.6,3.0,0.4,0.2,0.0,0.6,0.0,0.0,5.7,0.0,0.5,0.0,0.94
2012.07,0.2,2.1,5.3,0.3,0.9,0.0,3.0,0.8,0.0,2.6,0.0,0.4,0.4,1.58
2012.08,0.3,3.0,0.0,0.3,0.4,2.2,4.5,0.4,0.0,3.5,0.0,0.5,0.0,1.81
2012.09,0.3,2.3,8.6,0.2,0.8,2.8,5.5,0.2,0.0,2.1,0.0,0.9,0.3,1.96
2012.10,0.3,1.6,9.0,0.6,0.2,0.4,8.0,0.6,0.5,1.3,0.0,1.2,0.0,1.82
2012.11,0.0,4.6,12.4,0.4,2.0,2.5,5.6,0.2,0.0,0.4,0.0,0.3,0.5,2.70
2012.12,0.3,2.1,0.3,0.9,2.1,5.8,0.0,0.0,0.2,0.0,0.6,0.6,0.0,1.46
2012.13,0.2,1.0,0.2,0.0,0.1,2.1,0.0,0.0,0.8,0.0,0.2,0.5,0.0,0.74
2012.14,0.0,1.7,0.0,0.3,0.5,0.0,0.5,0.0,0.0,0.4,0.0,0.0,0.0,0.69
2012.15,0.0,1.5,7.7,0.0,0.4,0.0,2.4,0.0,0.4,0.0,0.0,0.0,0.0,1.09
2012.16,0.0,0.2,2.6,0.3,0.3,0.6,2.3,0.0,0.0,0.3,0.0,0.1,0.3,0.49
2012.17,0.0,1.4,0.0,0.1,0.4,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.50
2013.01,1.1,12.8,1.8,1.8,1.5,12.4,3.6,1.4,0.5,4.4,0.6,0.6,0.3,6.93
2013.02,2.0,7.0,4.2,1.1,2.0,7.5,5.5,2.6,0.8,3.8,1.1,0.9,2.0,4.29
2013.03,0.9,5.6,2.3,1.1,1.7,0.7,3.2,0.6,0.4,2.5,0.7,0.8,1.0,2.69
2013.04,1.7,1.8,1.6,0.8,2.1,0.0,5.1,0.0,0.0,2.5,0.0,0.8,0.5,1.88
2013.05,0.4,5.1,1.7,0.7,3.0,1.6,4.7,0.0,0.0,1.8,0.6,0.7,0.9,2.70
2013.06,1.0,5.2,2.6,0.8,4.1,1.1,2.0,0.0,0.7,1.2,0.2,0.5,0.0,2.27
2013.07,0.5,4.2,3.1,1.2,2.4,7.8,2.4,0.5,0.0,0.9,0.0,1.2,1.0,2.99
2013.08,0.0,4.0,1.9,0.6,2.2,0.0,2.9,0.0,0.0,0.6,0.3,0.3,0.7,1.95
2013.09,0.0,2.8,2.6,0.6,0.3,0.4,2.1,0.0,0.4,2.1,0.0,0.5,0.3,1.57
2013.10,1.1,4.7,2.5,1.0,1.0,7.1,3.4,1.5,0.0,1.4,0.0,0.0,0.5,2.91
2013.11,0.2,4.0,1.5,0.1,1.6,0.3,0.7,0.0,0.5,1.4,0.0,1.1,0.3,1.54
2013.12,2.1,3.0,0.0,0.8,1.4,0.1,2.0,0.0,0.0,1.5,0.0,0.5,0.0,1.52
2013.13,0.5,5.3,0.9,0.0,0.6,2.2,1.2,0.0,0.0,1.9,0.0,0.3,0.0,1.69
2013.14,0.0,2.1,0.6,0.5,0.6,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.89
2013.15,0.2,1.9,0.8,1.2,0.4,0.0,0.3,0.0,0.0,1.5,0.0,0.2,0.0,0.93
2013.16,0.0,1.4,0.4,1.2,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.3,0.61
2013.17,0.0,1.1,0.2,0.6,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.50
2013.18,0.0,0.4,0.0,0.3,0.1,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.26
2013.19,0.0,0.4,0.2,0.1,0.1,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.20
2013.20,0.0,0.3,0.0,0.0,0.0,0.6,0.8,0.0,0.0,0.0,0.0,0.0,0.3,0.13
2013.21,0.0,0.1,0.2,0.1,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.7,0.12
2013.22,0.0,0.1,0.0,0.0,0.3,0.0,1.3,0.0,0.0,1.0,0.0,0.0,0.0,0.11
2013.23,0.0,0.1,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
2013.24,0.0,0.1,0.0,0.0,0.7,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.13
2013.25,0.0,0.0,0.2,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11
2013.26,0.0,0.0,0.0,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04
2013.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
2013.28,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
2013.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.02
2013.30,0.0,0.0,0.0,0.1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.02
2013.31,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
2013.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.01
2013.33,0.0,0.0,0.0,0.1,0.0,0.0,0.7,0.0,0.0,0.2,0.0,0.0,0.0,0.05
2013.34,0.0,0.0,1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.10
2013.35,0.0,0.0,0.9,0.2,0.1,0.2,0.0,0.0,0.6,0.0,0.0,0.5,0.3,0.15
2013.36,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
2013.37,0.0,0.2,0.6,0.1,0.8,0.0,0.2,0.0,0.5,0.0,0.0,0.0,0.0,0.17
2013.38,0.0,0.1,1.2,0.1,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.18
2013.39,0.0,0.2,2.0,0.2,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.3,0.30
2013.40,0.0,0.4,0.7,0.4,0.8,0.0,0.9,0.0,0.5,0.0,0.0,0.0,0.3,0.31
2013.41,0.0,0.2,1.2,0.2,0.5,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.3,0.21
2013.42,0.0,0.3,0.7,0.0,0.7,0.0,0.7,1.7,0.0,0.0,0.0,0.0,0.4,0.32
2013.43,0.0,0.1,0.4,0.5,0.6,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.6,0.24
2013.44,0.1,0.4,1.8,0.4,0.3,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.3,0.36
2013.45,0.0,0.3,0.0,0.7,1.3,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.39
2013.46,0.4,0.4,1.8,0.8,0.7,0.0,0.7,0.0,0.0,0.1,0.0,0.2,0.0,0.54
2013.47,0.1,1.7,1.7,0.6,0.9,0.0,0.0,0.0,1.1,0.0,0.0,0.5,0.5,0.85
2013.48,0.2,2.3,1.3,0.5,0.3,0.0,2.9,0.8,0.0,0.0,0.0,0.0,0.0,1.12
2013.49,0.7,4.7,1.2,0.6,0.5,,0.8,1.0,0.7,1.0,0.0,0.0,0.4,1.80
2013.50,0.7,2.4,3.3,0.7,1.6,,5.3,0.3,0.0,1.5,0.2,0.3,0.8,1.49
2013.51,1.6,4.7,,0.3,3.8,0.2,7.1,3.1,,1.3,0.0,0.2,0.3,2.63
2013.52,1.4,5.5,8.4,3.3,6.6,,0.0,0.0,1.0,0.0,0.5,1.6,0.0,3.75
2014.01,2.8,11.0,6.6,2.4,2.0,0.0,6.8,3.6,0.0,9.9,1.4,0.0,1.1,6.65
2014.02,1.6,16.4,4.2,3.3,1.8,3.8,10.1,1.8,0.5,4.8,0.2,0.5,0.7,6.40
2014.03,1.1,10.9,3.3,4.8,2.0,0.0,4.2,0.9,0.9,3.2,0.0,0.0,0.0,5.34
2014.04,1.7,8.8,2.6,3.9,2.8,0.0,4.4,1.1,0.0,3.1,0.0,0.8,0.7,4.30
2014.05,1.0,7.2,3.5,3.2,1.2,3.1,1.6,1.0,0.0,1.5,0.2,0.9,0.5,3.34
2014.06,1.1,6.0,4.6,1.0,2.1,2.5,1.4,0.0,0.0,1.7,0.0,0.0,0.0,1.94
2014.07,0.7,6.0,2.9,1.8,1.2,2.0,1.1,0.5,0.0,0.9,0.3,0.6,0.6,2.48
2014.08,0.6,2.5,1.2,2.0,1.1,0.0,2.5,0.8,0.9,1.6,0.0,0.5,0.0,1.57
2014.09,0.3,3.3,0.9,1.2,1.0,1.5,0.9,0.0,0.0,1.0,0.0,0.0,0.0,1.42
2014.10,0.4,3.9,1.7,1.5,0.3,0.0,2.2,0.0,0.0,0.5,0.0,0.0,0.0,1.66
2014.11,0.0,2.6,0.0,0.6,0.8,0.0,0.3,0.4,0.0,0.0,0.0,0.2,0.0,1.00
2014.12,0.5,2.5,0.7,0.5,2.4,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,1.17
2014.13,0.0,3.8,1.2,0.3,1.1,0.0,0.4,0.7,0.0,0.1,0.0,0.2,0.0,1.29
2014.14,0.1,0.3,0.0,0.2,0.8,0.0,1.5,1.3,0.0,0.1,0.0,0.0,0.0,0.32
2014.15,0.0,1.0,0.0,0.4,0.2,0.0,1.1,0.4,0.0,0.0,0.0,0.0,0.0,0.48
2014.16,0.0,0.4,0.0,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18
2014.17,0.0,0.7,0.2,0.1,0.2,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.21
2014.18,0.0,0.2,0.0,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.14
2014.19,0.0,0.4,0.0,0.0,0.1,0.0,1.7,0.0,0.0,0.0,0.0,0.2,0.0,0.17
2014.20,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.14
2014.21,0.0,0.3,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.14
2014.22,0.0,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.09
2014.23,0.0,0.1,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.3,0.10
2014.24,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07
2014.25,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
2014.26,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
2014.27,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
2014.28,0.0,0.0,0.0,0.0,0.1,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.04
2014.29,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
2014.30,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.03
2014.31,0.0,0.4,0.0,0.0,0.3,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.11
