Week,R01.Tmax,R01.Tmin,R01.prcp,R02.Tmax,R02.Tmin,R02.prcp,R03.Tmax,R03.Tmin,R03.prcp,R04.Tmax,R04.Tmin,R04.prcp,R05.Tmax,R05.Tmin,R05.prcp,R06.Tmax,R06.Tmin,R06.prcp,R07.Tmax,R07.Tmin,R07.prcp,R08.Tmax,R08.Tmin,R08.prcp,R09.Tmax,R09.Tmin,R09.prcp,R10.Tmax,R10.Tmin,R10.prcp,USA.Tmax,USA.Tmin,USA.prcp
1998.01,5.04,-0.94,9.05,10.79,2.82,8.58,15.47,5.26,5.95,17.35,8.66,10.09,5.29,-1.17,6.68,13.46,3.43,7.72,1.66,-5.62,2.47,-0.66,-13.06,1.05,10.15,0.06,4.43,2.40,-4.15,6.19,8.09,-0.90,5.89
1998.02,0.02,-9.74,3.16,2.18,-6.38,2.79,5.95,-2.53,3.22,12.32,4.05,5.29,-3.32,-10.81,1.17,13.50,1.47,1.75,-0.84,-10.01,0.44,-0.49,-11.92,1.88,12.68,3.67,7.78,3.27,-3.29,12.56,5.20,-4.19,3.57
1998.03,-0.27,-8.71,6.94,0.93,-5.35,4.74,3.85,-2.64,4.93,10.73,2.25,5.80,-0.95,-6.81,1.26,14.18,0.82,1.43,1.68,-6.98,0.56,1.46,-10.36,0.88,13.15,1.26,2.63,5.59,-0.30,7.29,5.99,-3.40,2.94
1998.04,0.70,-8.82,1.24,2.92,-5.37,1.19,5.52,-2.20,5.42,12.05,0.84,3.09,2.45,-3.74,0.36,16.42,1.39,1.52,10.13,-3.66,0.37,6.33,-7.21,0.31,15.12,2.27,3.47,7.98,0.42,3.49,9.23,-2.10,1.80
1998.05,3.84,-8.48,0.64,4.32,-5.21,1.33,5.75,-2.41,6.67,9.94,2.39,8.84,2.79,-5.30,0.72,12.98,1.38,1.68,4.44,-4.41,1.02,4.34,-7.43,0.53,11.92,2.97,14.56,7.99,0.46,2.77,7.36,-2.12,3.82
1998.06,4.71,-8.10,3.15,6.29,-5.39,2.06,8.76,-2.34,1.64,12.38,2.28,1.60,4.65,-3.51,1.64,15.13,2.05,2.76,7.93,-2.75,2.04,4.66,-7.55,0.77,11.50,2.00,7.19,6.60,-0.66,6.28,8.89,-1.79,2.59
1998.07,2.14,-6.91,5.73,3.97,-3.52,3.80,8.10,0.21,4.90,14.94,5.02,8.75,5.78,0.81,2.57,13.69,2.70,3.43,7.79,0.29,1.17,4.62,-6.50,1.12,10.03,0.58,8.43,6.84,-0.43,6.26,8.86,-0.05,4.33
1998.08,6.17,-2.03,4.98,7.04,-1.04,4.68,10.12,0.97,4.48,17.08,5.01,4.80,9.40,0.38,1.56,17.25,3.39,3.34,11.76,0.23,1.13,3.45,-7.90,1.96,11.56,1.02,5.24,5.78,-3.63,3.54,10.89,-0.12,3.22
1998.09,6.77,-1.62,0.98,6.89,-0.22,1.77,8.85,-0.27,2.28,14.07,3.97,3.32,3.76,-2.41,0.92,15.65,2.36,1.37,3.27,-4.90,0.96,0.86,-11.35,1.54,13.60,0.93,1.51,5.88,-3.56,3.98,8.24,-1.94,1.85
1998.10,3.07,-8.20,8.48,3.75,-5.91,5.75,6.73,-3.49,5.02,11.34,0.27,7.34,0.37,-8.56,3.98,11.62,-0.99,2.01,0.14,-12.15,2.89,3.08,-12.74,0.37,17.51,3.13,1.46,11.33,0.80,2.80,7.11,-4.97,3.47
1998.11,3.11,-5.82,4.36,4.30,-3.78,5.11,8.33,-0.37,8.20,15.90,6.23,7.26,4.47,-3.09,4.23,16.37,4.95,7.09,4.26,-2.07,4.26,6.81,-5.99,1.93,18.33,5.03,0.74,12.74,0.49,1.45,10.44,0.27,4.55
1998.12,8.69,-3.36,2.74,10.18,-1.14,2.10,13.34,1.18,0.97,18.21,6.27,0.34,12.35,2.09,1.85,23.14,8.54,0.44,16.73,4.06,2.11,13.24,0.11,1.67,17.12,5.82,7.31,9.73,1.44,7.34,15.66,3.57,2.24
1998.13,16.33,3.27,3.39,19.74,6.97,3.34,22.70,8.94,3.37,23.74,11.66,4.73,14.52,4.99,4.78,22.02,7.51,1.44,14.48,3.25,4.06,8.62,-4.74,2.47,12.02,0.98,4.18,9.36,-0.44,1.69,16.33,4.18,3.34
1998.14,11.20,-0.72,1.44,11.22,0.36,4.13,15.46,1.97,4.80,20.10,7.41,3.52,13.41,1.72,3.62,22.08,6.59,0.47,15.41,3.01,3.17,11.15,-2.41,1.56,15.19,3.00,1.70,10.04,0.18,3.28,15.55,2.73,2.54
1998.15,16.34,0.98,1.88,17.43,3.19,1.36,19.87,5.43,2.82,21.42,10.01,5.98,15.79,4.73,4.19,22.49,9.42,0.75,17.90,4.41,2.28,9.46,-2.95,2.64,14.87,1.63,1.87,10.77,-0.83,1.61,16.81,4.21,2.82
1998.16,14.68,2.54,5.08,15.81,3.73,4.37,17.31,5.20,4.33,19.25,7.93,4.18,17.23,4.19,1.42,23.25,7.11,0.74,19.72,4.11,0.62,16.18,-0.51,0.89,22.91,7.13,0.61,16.14,2.56,1.91,18.87,4.59,1.94
1998.17,16.67,2.09,2.07,15.87,3.97,3.02,18.52,6.05,4.52,21.36,11.00,4.60,16.81,5.58,4.49,23.15,9.31,3.04,17.22,5.89,3.65,17.12,-0.03,0.95,23.60,7.74,0.68,22.15,5.13,0.58,19.64,6.14,2.87
1998.18,17.26,9.97,6.45,18.73,10.92,5.27,19.83,10.87,7.74,23.57,12.14,4.79,19.61,9.05,5.02,27.99,13.12,0.87,21.97,8.15,2.53,17.75,2.05,1.92,19.71,8.03,2.83,18.12,6.71,1.46,21.31,8.90,3.33
1998.19,18.76,5.37,3.71,20.08,8.59,7.23,21.15,9.71,3.79,25.73,13.48,1.37,23.93,10.99,1.62,28.41,13.98,0.34,25.36,11.53,2.44,18.09,3.16,1.94,17.53,5.74,2.85,12.13,4.03,4.59,22.25,9.34,2.24
1998.20,22.62,7.78,1.20,23.96,9.84,0.41,26.82,11.91,0.91,28.63,15.67,1.12,24.91,11.40,2.34,30.89,16.34,0.03,27.85,14.85,2.81,21.35,5.46,1.57,22.20,7.19,0.47,14.22,4.37,4.59,25.17,11.24,1.52
1998.21,24.45,8.51,1.08,24.51,10.36,1.76,25.33,12.65,2.53,27.93,17.64,3.49,23.82,11.53,2.43,30.69,16.88,2.46,26.66,13.99,2.53,22.22,5.67,1.00,21.32,7.63,2.97,14.12,4.08,6.44,24.82,11.69,2.65
1998.22,18.72,6.99,5.29,20.08,8.01,4.44,23.97,11.67,2.76,29.04,18.30,6.61,19.61,8.36,2.38,32.16,17.55,1.37,22.94,10.41,1.92,18.36,3.61,1.66,24.42,9.83,0.65,19.94,6.66,0.92,23.90,10.96,2.66
1998.23,19.45,9.01,6.52,19.60,10.27,4.65,20.84,11.36,5.81,26.95,16.15,3.84,20.56,10.91,7.33,30.16,17.49,2.20,24.64,12.86,6.57,19.35,5.57,2.62,22.81,10.36,1.56,20.30,8.25,1.82,23.44,11.82,4.03
1998.24,21.59,14.32,15.22,23.70,14.71,8.09,25.82,15.38,5.67,29.58,18.35,3.04,24.91,14.61,5.17,33.62,18.92,0.39,28.01,14.41,4.99,19.87,6.06,3.88,27.91,11.60,0.10,18.96,6.48,1.37,26.27,13.68,3.64
1998.25,25.53,15.70,4.52,27.69,17.42,3.66,29.54,18.40,2.79,31.37,19.31,2.14,28.37,17.58,4.68,34.74,20.52,0.40,31.76,18.42,3.86,25.05,8.38,1.51,28.03,12.16,0.13,19.42,7.81,2.70,28.95,15.73,2.32
1998.26,23.51,12.62,5.84,25.31,14.56,4.49,27.25,15.89,3.82,31.17,19.41,2.50,26.91,15.90,5.40,33.96,21.00,2.66,31.16,18.60,3.75,28.00,11.03,1.26,30.74,13.83,0.10,23.87,10.24,1.05,29.28,16.02,2.79
1998.27,23.73,12.75,3.23,23.46,13.88,4.64,26.64,15.29,3.58,30.38,19.94,3.82,25.55,15.55,2.95,34.09,21.22,1.65,30.33,19.75,6.51,27.60,12.50,2.64,31.23,15.50,0.97,25.77,11.35,0.60,28.93,16.62,2.99
1998.28,27.48,15.03,1.11,27.49,15.50,0.73,28.30,16.24,0.67,28.38,19.18,6.15,27.33,15.73,1.25,34.68,20.51,1.70,31.37,19.11,0.93,30.96,12.67,0.51,35.27,16.97,0.11,27.26,11.59,0.40,30.42,16.70,1.72
1998.29,27.15,14.64,2.88,27.54,16.06,2.23,29.69,17.81,2.08,30.49,19.91,4.41,27.31,16.17,4.18,34.48,20.93,1.14,31.07,19.51,4.18,28.58,13.18,2.74,31.39,17.03,1.55,29.38,12.74,0.13,30.19,17.25,2.75
1998.30,25.65,12.98,1.64,25.46,13.53,1.50,27.93,15.60,1.92,28.96,19.80,4.85,25.63,13.71,0.86,34.32,21.02,1.34,26.65,17.01,6.56,25.78,12.22,3.74,32.33,16.34,0.45,29.35,14.17,0.97,28.63,16.27,2.73
1998.31,27.46,13.58,0.47,27.09,14.23,0.20,28.66,13.62,0.14,28.61,17.45,2.41,25.31,16.46,6.93,32.15,19.27,3.24,26.83,16.83,3.39,25.98,11.15,2.30,35.05,17.45,0.29,29.30,11.82,0.05,28.64,15.65,2.59
1998.32,26.08,14.27,4.49,26.57,15.76,3.50,27.88,17.45,4.89,28.94,19.32,5.52,25.91,15.22,1.38,32.13,19.35,2.92,29.07,16.95,1.87,28.17,11.48,1.24,33.84,17.38,0.83,29.67,12.27,0.11,29.17,16.19,2.55
1998.33,24.78,12.34,2.48,25.07,13.31,2.84,27.09,14.55,3.11,28.94,18.29,3.89,26.47,14.75,2.04,31.47,19.34,3.05,32.33,18.88,1.71,27.69,11.78,1.70,30.38,14.57,0.44,24.14,8.77,0.31,28.58,15.41,2.24
1998.34,26.75,14.97,4.06,27.47,16.43,3.66,29.86,17.66,1.84,30.93,18.45,1.97,27.24,16.09,3.32,32.46,20.01,2.69,31.77,18.11,2.56,27.95,10.50,1.01,32.96,15.88,0.48,26.29,9.22,0.12,29.81,15.95,2.03
1998.35,23.61,11.52,1.21,24.58,12.56,1.67,27.82,14.27,1.39,29.96,18.03,5.55,25.54,11.83,0.61,33.05,18.56,0.78,31.70,15.64,0.50,28.83,10.74,0.82,33.20,17.58,1.35,31.26,11.95,0.02,29.72,14.76,1.56
1998.36,21.55,9.97,2.70,22.62,10.73,3.73,25.61,10.90,2.34,27.97,14.93,1.82,25.30,11.05,1.00,30.44,17.78,6.66,30.78,14.10,0.03,27.53,11.15,1.06,29.31,14.93,1.49,24.42,9.24,1.12,27.56,13.22,2.22
1998.37,22.12,9.55,1.65,24.92,12.90,1.02,29.00,15.71,0.61,29.13,17.19,2.48,26.22,14.25,2.01,28.35,18.27,6.60,28.47,15.41,4.11,25.31,8.40,0.91,30.24,13.98,0.08,24.26,9.21,1.37,27.28,14.02,2.52
1998.38,20.44,8.12,2.63,21.83,9.75,1.36,24.33,11.81,2.34,27.50,16.96,4.41,22.68,10.66,2.20,30.55,18.14,1.07,24.93,13.02,3.94,19.98,5.01,1.27,24.48,10.82,0.49,19.65,6.13,1.41,24.41,11.81,2.19
1998.39,19.42,6.81,3.03,20.35,8.04,2.16,24.65,10.02,0.95,27.39,16.59,5.50,20.64,8.29,1.87,30.18,17.45,2.76,23.14,11.43,4.68,19.40,4.31,1.73,23.50,9.67,0.52,19.80,5.83,1.96,23.64,10.72,2.75
1998.40,14.60,3.55,7.44,15.77,6.41,5.83,17.94,10.36,6.70,24.38,14.78,4.82,16.68,7.41,5.16,25.15,11.25,6.32,18.86,6.35,5.47,15.67,1.01,2.40,24.43,7.44,0.10,16.08,3.67,2.50,19.88,7.75,4.45
1998.41,13.41,6.77,7.49,15.92,6.88,2.53,18.78,5.66,0.40,24.07,10.04,0.22,17.42,5.53,2.10,26.08,12.55,2.99,21.79,8.12,2.02,15.26,0.74,2.31,22.70,6.57,0.12,12.84,2.46,3.49,19.96,6.82,2.01
1998.42,15.55,3.11,0.08,16.18,4.22,0.42,17.83,4.52,0.46,21.56,8.91,0.63,15.09,2.92,2.20,19.08,9.46,7.88,17.82,3.21,1.39,14.24,-0.90,0.47,23.36,7.42,1.27,16.39,2.02,0.50,17.91,4.77,2.05
1998.43,13.05,2.21,1.58,15.15,4.01,0.77,18.31,3.58,0.30,24.00,7.76,0.07,16.96,6.30,1.87,23.09,12.30,2.71,19.85,8.08,2.74,12.07,1.07,3.12,18.31,5.88,1.73,12.32,1.12,1.66,18.21,6.04,1.85
1998.44,7.63,-0.38,0.20,8.03,-0.35,0.21,10.54,0.14,0.69,17.63,6.64,2.36,7.13,0.33,0.95,16.01,6.50,4.05,6.80,2.05,7.27,4.56,-3.49,1.83,16.82,3.66,1.64,8.02,1.09,4.54,10.87,2.15,2.73
1998.45,8.26,-1.83,2.94,10.33,0.63,2.16,12.91,1.31,1.64,17.71,7.07,3.37,8.60,0.14,4.14,16.52,6.23,6.09,10.19,-0.02,2.63,4.05,-6.41,1.89,14.50,2.27,1.90,7.30,0.36,4.92,11.43,1.34,3.41
1998.46,6.78,-1.08,2.60,9.26,0.27,1.24,13.69,1.12,0.54,18.93,8.12,2.50,8.06,-0.66,0.85,19.30,7.05,1.14,13.76,-0.10,0.24,8.50,-4.04,0.69,17.27,3.18,1.49,8.03,1.47,11.73,13.34,2.06,1.96
1998.47,8.29,-0.36,3.85,9.97,0.14,2.14,13.38,-0.45,1.56,19.34,5.88,0.90,12.24,0.18,0.81,21.37,7.49,0.08,17.53,1.71,0.02,12.81,-1.36,0.53,17.21,4.56,4.07,7.27,1.19,12.91,15.37,2.54,1.92
1998.48,11.05,0.50,0.31,15.27,3.45,0.50,18.75,3.84,0.17,21.75,7.42,0.71,15.01,5.30,1.09,21.09,9.90,2.39,17.75,5.08,1.15,10.57,-3.02,0.76,12.67,2.09,5.47,4.40,-1.62,10.52,15.74,3.91,2.14
1998.49,8.23,-2.34,1.04,10.74,0.41,0.92,13.65,2.87,2.65,18.27,8.50,4.45,7.99,-1.55,1.73,12.20,2.80,4.47,8.24,-4.79,1.03,1.47,-11.37,0.57,10.27,-2.27,1.08,3.49,-2.88,7.16,9.56,-1.07,2.66
1998.50,4.70,-5.40,0.98,5.81,-3.75,0.72,7.57,-2.76,2.10,12.62,1.86,4.04,6.25,-3.67,0.56,14.95,0.47,0.88,10.33,-3.92,0.45,6.40,-8.71,0.36,16.13,2.31,0.52,4.91,-3.82,2.64,9.85,-2.49,1.37
1998.51,2.27,-8.54,1.85,3.57,-6.09,2.29,5.54,-4.63,2.14,11.72,3.31,5.00,-2.83,-11.11,1.77,7.84,-3.18,0.76,-4.11,-14.67,0.41,-7.63,-19.73,1.04,8.74,-4.75,0.39,-3.10,-11.35,4.83,2.10,-8.19,2.00
1998.52,-1.66,-13.03,1.71,-1.11,-11.06,1.48,0.88,-7.60,1.17,9.87,0.34,2.76,-3.25,-12.97,2.04,14.27,0.02,2.30,1.84,-9.92,1.56,2.09,-9.00,1.23,16.21,1.19,0.14,6.67,0.04,11.54,5.74,-5.33,2.45
1999.01,-1.49,-14.65,6.93,-0.97,-12.23,7.54,0.95,-9.84,7.30,8.15,-2.76,5.71,-8.05,-18.28,2.66,10.78,-3.00,0.69,-4.17,-15.54,0.46,-0.31,-12.10,0.85,15.33,-0.25,0.01,5.90,-2.26,1.03,3.14,-8.61,2.55
1999.02,-1.27,-14.52,8.18,-0.62,-12.14,6.80,4.55,-6.50,4.91,13.11,0.60,2.81,-5.34,-14.49,1.69,15.01,-0.90,0.14,5.38,-8.26,0.15,4.87,-7.88,0.61,15.79,1.54,1.00,6.71,-0.13,7.89,7.13,-5.29,2.27
1999.03,5.11,-4.34,3.83,6.50,-2.81,3.90,10.56,-0.25,3.65,18.58,6.47,6.51,4.32,-4.01,5.69,19.13,4.23,1.40,8.05,-3.08,1.15,3.88,-7.26,2.08,13.87,3.52,6.04,4.54,-0.44,12.91,10.54,-0.33,4.37
1999.04,1.74,-8.13,3.64,4.29,-4.51,3.20,10.85,-1.02,3.84,17.98,5.73,5.26,3.57,-4.74,0.73,17.30,4.23,4.15,5.58,-4.60,1.19,2.25,-10.83,0.85,11.33,-0.97,2.02,3.37,-4.44,5.19,9.04,-2.19,2.85
1999.05,3.45,-9.79,5.46,4.64,-6.54,2.55,8.28,-2.50,2.50,15.34,4.63,4.72,4.75,-4.14,1.66,17.15,4.16,0.54,9.31,-1.84,1.50,5.67,-7.32,0.70,12.96,0.22,2.71,4.67,-2.72,8.87,9.87,-1.43,2.61
1999.06,4.60,-7.19,0.86,6.83,-4.58,1.71,11.56,-1.94,2.24,19.33,6.31,1.66,7.58,-3.59,3.15,20.04,5.06,0.90,13.20,-1.71,1.72,7.04,-7.82,1.15,12.82,0.14,6.05,3.74,-4.35,6.49,12.19,-0.94,2.39
1999.07,2.67,-7.21,2.15,4.21,-5.96,1.59,7.71,-3.85,2.04,14.07,1.34,2.73,3.05,-5.59,0.45,17.98,2.09,0.39,9.38,-3.28,0.69,5.26,-7.98,0.77,15.03,1.95,3.18,5.49,-2.60,6.96,9.68,-2.53,1.77
1999.08,-0.45,-11.26,1.13,0.64,-9.85,0.19,2.50,-7.36,0.46,11.42,-0.43,1.05,2.05,-6.42,1.25,18.72,3.63,0.21,8.76,-3.35,0.74,7.13,-6.39,0.72,15.92,2.07,2.58,6.27,-0.71,11.97,9.08,-2.76,1.71
1999.09,5.81,-5.16,8.06,5.40,-3.47,6.68,8.60,-2.10,5.50,16.01,1.93,3.99,3.94,-3.90,3.09,21.31,4.30,0.50,12.07,-2.78,0.64,7.53,-6.81,0.81,17.52,2.74,1.39,6.25,-3.13,6.46,11.76,-1.33,2.73
1999.10,-0.01,-9.19,2.90,-0.61,-10.92,1.51,3.29,-7.29,2.05,12.84,1.59,2.85,0.80,-9.06,1.88,17.44,5.33,5.10,3.25,-4.46,3.31,5.23,-7.39,1.10,13.89,0.43,1.59,7.17,-2.93,3.28,7.94,-3.06,2.68
1999.11,6.76,-2.11,2.64,7.76,-2.44,1.94,10.74,-1.10,3.84,17.12,3.39,3.59,8.45,-3.22,0.23,17.11,3.99,3.07,12.82,-1.91,0.69,13.40,-3.76,0.19,16.83,3.02,1.48,11.71,-0.10,1.48,13.45,-0.04,1.80
1999.12,7.74,-3.48,4.45,7.66,-2.84,5.41,9.92,-1.27,3.31,17.26,4.38,2.62,8.11,-3.59,0.23,19.65,6.25,1.11,12.54,-1.57,0.62,13.93,-2.63,0.40,17.54,3.74,2.09,10.65,0.44,3.59,13.85,0.67,1.73
1999.13,12.90,0.81,1.85,15.17,2.71,0.78,17.66,3.38,1.41,20.41,7.98,2.89,16.51,4.09,1.21,19.63,9.81,2.98,18.48,4.58,1.41,9.29,-4.74,2.21,14.63,1.37,2.27,7.39,-2.85,4.70,15.75,3.31,2.29
1999.14,12.91,0.01,0.82,15.59,1.75,2.12,20.75,5.51,3.64,25.60,13.21,1.27,16.13,4.35,5.39,24.12,10.03,1.96,18.21,4.49,4.88,10.07,-4.25,1.85,12.32,-0.01,3.38,8.13,-2.32,2.79,17.37,4.25,2.84
1999.15,10.87,-1.08,1.11,11.98,0.57,2.75,14.98,3.20,3.46,21.50,8.85,2.06,12.34,2.23,4.24,21.35,7.49,1.90,13.87,2.72,6.67,10.40,-4.95,1.58,21.64,5.13,1.42,16.42,0.16,0.44,16.24,2.99,2.64
1999.16,13.91,1.45,1.15,12.30,1.90,2.57,16.22,3.64,2.83,23.13,8.98,0.42,13.36,3.23,4.59,25.55,11.17,0.48,17.94,5.17,2.65,13.02,-0.33,4.22,22.25,7.49,0.33,14.61,2.09,1.28,18.26,5.23,2.12
1999.17,15.48,0.91,0.22,16.83,1.09,0.02,18.46,3.15,0.70,20.89,10.87,6.04,17.90,4.20,1.80,24.20,11.98,4.88,16.44,7.25,4.09,12.57,1.68,6.71,18.64,5.15,0.65,13.28,1.11,1.93,18.00,5.98,3.72
1999.18,19.28,8.10,2.93,20.72,9.22,1.49,22.16,8.56,1.58,23.88,11.20,5.36,21.23,9.24,2.80,24.67,11.04,1.84,19.62,8.45,4.47,13.38,0.24,3.03,20.73,5.91,0.73,11.19,0.23,4.95,19.96,7.29,3.13
1999.19,18.06,3.54,1.01,19.15,5.07,1.03,22.34,8.34,1.75,24.99,12.53,2.52,19.31,7.89,3.32,26.87,13.71,4.03,22.08,8.99,3.40,14.69,0.86,2.47,22.28,7.03,0.08,11.20,0.30,2.16,20.75,7.68,2.56
1999.20,21.27,6.59,4.60,22.00,7.78,3.07,23.38,8.53,1.99,25.39,12.75,1.41,22.31,10.81,4.26,27.94,14.86,2.37,23.47,10.90,5.11,19.43,3.59,1.17,25.08,8.21,0.06,16.39,3.60,2.12,23.17,9.48,2.43
1999.21,19.81,8.12,4.52,20.47,9.18,4.42,22.74,9.65,3.37,25.81,13.20,1.73,20.91,8.12,1.95,27.15,14.73,3.92,24.05,10.11,1.48,21.37,5.80,1.94,27.32,11.34,0.23,23.09,5.97,0.27,23.84,10.05,2.17
1999.22,26.81,11.78,0.44,26.68,12.51,0.69,27.24,13.11,0.86,27.51,16.25,2.95,23.77,12.57,4.65,29.88,17.76,1.87,26.55,14.53,4.92,20.56,5.73,2.62,21.99,8.46,1.16,16.57,4.62,2.19,24.86,12.17,2.66
1999.23,25.84,11.55,1.72,27.18,13.97,0.22,29.22,14.55,0.27,29.17,17.50,2.61,29.03,17.28,3.18,30.27,17.35,2.47,28.74,16.53,4.37,21.11,6.00,2.83,25.77,8.93,0.06,17.53,3.88,1.31,26.67,13.28,2.33
1999.24,23.64,10.86,1.11,22.32,10.71,1.61,23.77,12.10,2.93,26.11,16.39,6.27,21.10,10.14,3.00,27.81,16.37,3.74,22.19,11.50,3.55,21.64,7.58,1.96,30.58,13.72,0.10,24.57,9.93,0.30,24.51,12.30,2.97
1999.25,27.61,12.54,0.83,26.21,12.36,1.49,25.76,12.72,1.14,26.08,17.11,5.41,26.66,15.36,2.31,29.42,18.80,7.00,27.59,16.96,3.35,26.52,10.09,1.02,30.97,14.24,0.04,19.56,7.73,2.83,26.91,14.51,3.15
1999.26,27.41,16.24,5.02,27.92,16.59,4.46,29.13,18.58,3.85,27.95,19.65,8.14,25.33,15.54,5.82,32.36,21.22,1.81,26.98,16.38,7.50,25.11,9.61,1.44,32.57,15.81,0.13,19.32,7.04,1.19,27.57,15.88,4.02
1999.27,27.25,15.93,3.60,28.97,17.81,4.06,32.28,18.79,1.33,30.12,19.88,2.88,27.77,16.85,3.44,31.44,19.97,3.19,30.97,18.57,1.92,27.42,11.29,1.02,31.47,14.93,1.12,24.35,7.54,0.42,29.36,16.40,2.25
1999.28,26.50,12.02,0.51,26.80,13.24,0.27,27.15,14.10,1.65,26.72,18.03,6.23,26.74,14.76,1.19,30.21,18.75,2.94,28.95,16.35,1.93,26.89,10.98,1.58,31.45,16.49,1.75,25.20,9.19,0.64,27.86,15.03,2.38
1999.29,28.30,14.83,2.64,29.03,17.19,1.64,31.25,19.17,2.75,30.75,20.30,2.31,28.60,18.38,4.21,31.40,19.66,2.03,32.98,20.78,2.22,28.36,12.24,1.86,29.44,13.83,0.70,25.65,9.54,0.31,29.83,17.01,2.16
