Week,D01.Tmax,D01.Tmin,D01.prcp,D02.Tmax,D02.Tmin,D02.prcp,D03.Tmax,D03.Tmin,D03.prcp,D04.Tmax,D04.Tmin,D04.prcp,D05.Tmax,D05.Tmin,D05.prcp,D06.Tmax,D06.Tmin,D06.prcp,D07.Tmax,D07.Tmin,D07.prcp,D08.Tmax,D08.Tmin,D08.prcp,D09.Tmax,D09.Tmin,D09.prcp,MS.Tmax,MS.Tmin,MS.prcp
2013.18,23.03,10.67,11.99,18.03,8.04,6.77,22.10,11.63,11.86,19.26,9.99,9.27,23.48,13.13,11.53,17.00,9.27,15.80,16.99,9.53,4.20,16.39,9.05,16.09,23.81,14.41,16.27,20.47,11.04,11.97
2013.19,21.55,10.51,4.80,16.68,7.89,5.07,22.44,11.28,4.05,18.24,8.71,3.65,23.52,11.43,6.54,16.64,8.02,7.14,16.53,7.79,6.87,15.86,7.25,7.46,23.50,12.94,5.51,19.95,9.86,5.72
2013.20,26.24,13.22,5.72,19.65,9.69,5.73,26.23,13.87,2.93,21.00,10.47,5.77,27.51,14.65,0.08,19.87,9.60,0.48,19.40,9.96,0.08,18.40,9.22,0.57,26.36,15.68,0.87,23.27,12.21,2.23
2013.21,25.55,15.46,11.43,21.57,12.92,6.75,29.34,18.30,3.80,23.55,14.33,2.26,29.81,18.49,3.65,21.96,13.38,2.45,21.74,14.14,7.35,20.37,12.49,3.12,28.73,19.35,1.66,25.35,15.86,4.19
2013.22,26.55,15.86,1.46,20.75,12.03,0.73,30.03,18.85,1.39,24.43,14.35,0.36,30.81,19.03,1.37,19.09,10.84,1.86,21.50,14.45,1.26,20.57,11.81,0.98,28.47,20.25,1.49,25.25,15.70,1.24
2013.23,29.06,17.41,3.70,19.90,11.59,3.79,28.59,18.05,7.26,23.87,14.57,7.86,30.28,19.67,8.85,22.34,14.05,11.57,21.86,14.66,5.82,21.00,13.04,10.01,31.01,21.13,3.32,25.96,16.53,7.07
2013.24,32.89,19.87,2.37,24.21,14.56,4.54,32.15,20.36,1.79,25.86,16.15,2.82,32.28,20.89,1.67,23.65,15.05,1.93,23.24,15.03,1.27,21.72,13.95,2.43,31.91,22.34,5.85,28.07,18.04,2.87
2013.25,31.63,19.85,2.66,23.93,14.81,2.67,32.01,20.53,1.78,25.48,16.79,1.42,31.94,21.43,4.13,24.79,16.04,4.27,23.21,15.51,3.65,21.70,14.36,4.42,32.04,22.26,6.15,27.99,18.45,3.67
2013.26,33.57,22.20,1.84,25.08,15.98,1.29,33.62,22.62,0.60,26.90,17.72,1.26,33.39,22.07,3.00,25.86,16.87,3.55,23.68,15.78,2.49,22.08,14.52,2.90,32.57,23.26,2.58,29.12,19.45,2.30
2013.27,29.91,17.63,1.06,22.23,13.21,2.73,30.60,18.30,0.49,23.98,14.91,6.86,25.75,16.08,0.72,23.54,14.89,1.98,22.28,13.38,2.20,16.03,10.49,6.26,30.60,21.25,10.33,25.35,15.96,3.82
2013.28,33.24,21.33,0.69,24.60,15.63,1.52,32.34,21.55,2.06,25.50,17.31,3.73,27.28,21.07,3.14,22.86,15.86,8.15,23.38,15.38,5.52,21.04,14.41,5.36,30.34,21.96,12.95,26.79,18.65,5.26
2013.29,32.76,21.32,3.55,24.62,15.70,1.58,32.24,21.27,2.83,25.84,17.24,2.73,32.45,20.85,2.91,23.49,15.77,2.65,22.72,14.85,3.12,21.56,13.75,4.70,30.91,22.03,5.00,27.92,18.50,3.23
2013.30,30.85,20.61,7.31,23.03,15.10,6.74,31.27,20.94,3.21,25.06,17.15,5.48,26.78,18.22,6.45,23.19,15.59,4.00,22.95,15.59,4.58,21.27,14.42,6.39,31.50,22.98,5.30,26.41,18.07,5.54
2013.31,31.47,19.93,0.37,23.75,14.67,0.30,32.70,21.08,0.13,26.09,16.58,0.97,32.60,21.79,0.88,24.24,15.73,1.45,23.77,16.03,1.73,21.97,14.84,4.83,32.73,23.25,4.33,28.30,18.70,1.68
2013.32,33.54,23.04,1.84,24.71,16.62,4.49,35.17,23.51,1.94,27.26,18.14,7.19,35.83,23.84,2.52,25.07,16.53,3.07,25.23,16.77,1.34,22.91,15.26,2.42,33.59,24.10,4.46,29.91,20.23,3.47
2013.33,30.67,19.53,4.18,22.80,14.11,2.80,31.13,19.99,2.24,24.80,16.25,4.22,31.80,21.15,4.28,22.73,15.37,6.55,23.00,15.22,10.40,20.78,14.57,9.33,30.45,22.77,7.83,26.99,18.16,5.61
2013.34,31.79,19.53,0.65,23.89,15.02,1.09,31.95,20.17,1.15,24.42,16.71,1.13,31.61,20.66,1.26,22.37,15.37,3.22,22.27,14.86,1.65,20.49,14.51,2.53,29.88,22.14,10.90,26.97,18.10,3.03
2013.35,33.34,19.31,0.63,25.26,14.35,0.05,33.71,19.61,0.12,26.33,15.40,0.27,33.08,19.77,0.47,23.37,13.51,0.74,23.10,13.75,0.39,21.12,12.70,0.81,31.21,20.77,1.35,28.32,16.98,0.58
2013.36,33.80,19.62,1.62,25.22,14.36,0.98,34.13,20.58,3.00,27.37,16.28,0.37,35.46,21.56,0.41,25.01,14.91,0.46,24.57,15.49,1.24,22.63,14.46,1.99,27.12,18.99,2.70,28.79,17.71,1.29
2013.37,34.39,19.29,0.27,25.64,14.12,1.32,34.78,19.83,0.44,31.33,17.39,0.42,35.19,19.78,1.17,26.55,14.60,1.01,24.50,14.38,2.01,22.46,13.35,1.68,26.87,18.21,0.24,29.48,17.07,0.90
2013.38,31.18,16.28,11.12,23.24,12.22,12.52,32.25,17.67,9.86,25.34,13.32,14.96,33.22,19.15,12.06,25.01,13.57,8.05,23.27,14.46,11.16,17.00,10.36,5.41,25.61,18.54,3.71,26.82,15.57,9.82
2013.39,28.07,14.79,4.33,20.90,11.03,0.99,28.34,15.79,7.09,21.67,12.52,4.08,29.10,16.43,9.59,21.93,12.12,6.25,20.90,12.17,4.31,15.73,9.35,9.41,24.61,16.48,6.06,24.00,13.83,6.05
2013.40,27.76,18.59,3.40,20.65,13.42,2.12,28.28,19.67,4.50,22.10,14.09,1.42,29.44,20.52,1.02,21.88,14.17,1.31,21.04,14.35,1.72,19.65,12.73,0.84,28.75,20.59,0.80,24.99,16.94,1.68
2013.41,25.33,11.46,6.43,18.85,8.36,2.32,25.11,12.85,8.02,20.77,10.48,0.84,26.55,13.53,1.70,20.47,10.56,3.16,18.92,9.75,2.24,17.99,9.89,1.67,26.95,15.65,4.03,22.93,11.81,3.12
2013.42,23.60,12.76,4.19,17.75,9.53,3.49,24.05,13.88,2.22,16.57,9.44,1.67,25.68,14.87,2.23,20.51,11.50,2.74,18.72,11.06,3.00,18.17,10.90,1.30,26.59,17.21,0.85,21.88,12.77,2.29
2013.43,18.69,4.20,0.05,14.08,2.17,0.02,19.79,5.46,0.02,16.11,3.37,0.02,21.86,6.55,0.03,16.44,3.94,0.08,16.05,5.81,0.30,15.12,4.92,0.26,22.69,9.74,1.17,18.45,5.41,0.25
2013.44,21.92,10.19,8.64,16.76,7.60,5.64,22.49,11.39,8.87,18.13,8.86,3.72,23.38,12.55,9.12,18.19,8.88,4.12,17.05,8.61,7.16,16.56,7.60,3.37,24.62,12.96,1.81,20.43,10.24,5.69
2013.45,17.95,4.43,1.72,14.17,3.25,1.83,18.45,6.28,1.81,17.05,4.22,1.18,20.35,6.81,0.64,15.37,3.87,2.60,14.98,5.61,1.12,14.14,4.66,3.58,21.52,8.84,0.74,17.67,5.60,1.54
2013.46,15.10,1.67,0.39,11.77,1.27,0.51,16.13,3.65,0.52,14.31,2.63,1.17,17.87,4.26,0.38,13.74,2.65,2.90,13.64,3.11,0.77,12.98,3.01,2.69,20.45,7.66,1.36,15.66,3.65,1.19
2013.47,19.14,5.55,10.02,13.41,3.84,6.12,19.60,7.28,6.30,15.00,5.34,3.00,20.86,8.82,4.80,15.56,6.38,1.68,15.78,7.49,2.21,14.28,6.25,0.74,21.55,11.46,2.78,17.70,7.30,4.04
2013.48,6.55,-3.72,3.34,5.56,-3.22,3.63,7.09,-2.26,6.27,6.05,-2.26,9.52,8.91,-1.40,15.95,7.97,-1.75,12.25,6.77,-0.76,10.46,7.68,-0.05,7.06,13.53,0.97,6.83,8.24,-1.48,9.20
2013.49,14.95,3.95,7.98,11.18,4.00,8.33,16.43,6.31,6.67,13.67,4.71,3.66,19.42,6.43,1.28,16.04,6.40,1.64,14.99,6.05,1.16,15.13,7.04,1.82,17.47,9.48,3.20,15.91,6.25,3.62
2013.50,4.91,-4.11,6.44,4.46,-2.59,5.77,5.66,-1.87,6.47,5.72,-1.35,9.10,9.63,-0.74,6.76,7.65,-0.73,11.85,7.13,-0.07,9.04,7.99,0.90,8.23,13.46,3.43,1.60,7.97,-0.55,7.04
2013.51,13.87,2.09,0.30,11.09,1.55,1.06,15.36,3.44,0.59,12.74,1.74,0.16,17.62,3.47,0.46,13.40,1.69,0.06,13.01,2.83,0.09,12.08,3.38,0.62,15.53,4.37,0.32,14.26,2.80,0.39
2013.52,11.93,0.72,5.20,8.16,-1.78,4.87,11.29,-0.33,4.58,10.15,-0.26,6.88,14.56,2.00,6.01,9.88,-0.09,5.18,9.38,0.78,4.05,10.20,3.69,6.27,11.17,2.95,14.35,11.07,0.96,6.89
2014.01,6.24,-3.64,1.30,6.37,-2.87,2.40,8.43,-1.32,1.52,7.52,-0.84,2.66,10.74,0.41,3.62,8.42,-0.31,4.40,7.83,0.98,2.27,6.14,1.07,4.28,12.20,2.41,5.87,8.73,-0.24,3.44
2014.02,5.72,-6.97,5.03,5.02,-4.97,4.49,7.96,-4.73,4.98,6.72,-4.49,5.50,11.25,-3.04,3.62,7.83,-4.19,3.39,8.52,-1.98,3.35,8.20,-2.25,3.76,13.62,-1.22,2.98,8.87,-3.60,4.01
2014.03,12.35,-2.38,1.69,9.06,-2.51,1.68,13.60,-1.25,1.39,10.94,-1.39,1.91,15.92,-0.26,1.58,11.17,-1.65,1.77,11.51,-0.46,1.76,10.85,0.12,1.85,16.26,3.55,2.60,12.88,-0.46,1.84
2014.04,7.07,-7.54,0.00,5.92,-5.80,0.00,8.85,-5.01,0.00,7.98,-4.64,0.00,10.22,-2.54,0.04,8.48,-3.96,0.11,8.58,-2.79,0.18,8.35,-2.05,0.32,12.73,-0.66,0.28,9.05,-3.60,0.10
2014.05,7.36,-7.58,0.01,5.93,-5.33,0.00,8.36,-5.26,0.00,6.85,-5.60,0.00,10.52,-3.85,0.18,7.77,-5.34,0.34,7.10,-3.10,1.33,7.67,-3.07,1.58,12.40,-1.93,1.71,8.66,-4.42,0.55
2014.06,5.59,-1.89,14.66,3.45,-1.56,13.03,6.06,-1.32,11.54,8.67,-0.48,10.88,10.36,0.29,9.77,8.57,-0.19,8.67,8.29,0.50,9.42,8.79,0.92,7.19,14.74,4.50,3.58,8.91,0.36,9.45
2014.07,4.64,-4.59,1.26,4.82,-2.57,2.30,5.84,-2.07,2.12,6.48,-0.63,4.39,10.21,-0.01,5.42,8.19,-0.02,7.93,7.63,0.45,10.13,8.52,1.05,10.04,14.01,3.32,7.34,8.45,-0.25,5.70
2014.08,17.12,3.16,2.37,14.17,2.01,2.19,19.44,4.89,2.15,15.16,3.77,6.12,21.79,6.97,3.52,16.70,4.65,4.28,16.13,5.77,7.67,15.27,5.64,9.59,21.20,10.14,5.14,18.00,5.60,4.58
2014.09,11.70,-1.90,1.20,10.50,-1.48,1.26,14.01,0.08,1.44,11.85,0.10,1.99,16.56,3.31,1.33,12.53,1.27,1.29,12.10,2.83,2.87,11.77,2.52,4.46,18.05,6.44,9.91,13.81,1.88,3.06
2014.10,7.97,-2.85,5.20,8.77,-1.82,2.88,10.84,-1.02,4.28,11.36,0.53,3.19,12.70,1.12,3.22,11.23,1.43,2.29,9.58,1.91,3.19,10.21,2.67,3.10,15.24,4.58,2.55,11.40,1.01,3.18
2014.11,16.41,2.08,0.04,13.89,1.84,0.02,18.38,3.70,0.37,16.17,3.60,0.10,20.12,5.50,1.80,16.13,3.43,1.20,14.76,3.82,1.01,14.15,3.77,2.69,20.29,8.08,3.33,17.24,4.36,1.33
2014.12,16.76,1.66,1.88,13.41,1.52,2.07,18.08,3.62,3.24,15.10,3.05,5.32,20.02,5.11,4.08,15.47,3.93,3.93,14.88,4.10,3.03,14.72,4.43,7.04,21.23,7.88,5.10,17.16,4.25,4.06
2014.13,17.68,2.15,11.13,12.47,1.76,6.11,17.95,4.57,11.96,14.41,2.98,8.51,19.27,5.59,13.62,13.52,3.64,14.77,14.13,4.88,16.03,13.06,4.35,12.73,19.42,8.54,19.02,16.18,4.58,12.99
2014.14,22.31,8.38,3.10,17.35,5.64,2.72,22.83,9.66,3.67,19.26,6.51,3.53,24.76,11.29,4.63,19.37,7.44,4.50,17.87,8.00,4.17,16.84,7.27,4.06,22.99,12.13,1.96,20.92,8.86,3.60
2014.15,18.37,6.36,4.76,15.10,4.84,6.14,18.25,7.81,11.54,16.59,5.62,13.76,20.47,8.39,17.36,16.37,5.86,18.55,15.68,6.13,8.85,15.33,6.02,8.26,22.27,10.31,3.54,18.12,7.11,11.07
2014.16,19.77,5.56,4.86,15.48,4.54,4.08,20.31,7.60,9.76,16.59,5.79,11.48,21.62,8.30,12.77,15.30,5.54,10.97,15.83,6.16,2.58,14.37,5.69,8.49,21.20,10.15,14.10,18.28,6.91,9.79
2014.17,26.27,9.69,2.55,20.33,6.90,1.61,26.39,11.69,6.13,21.49,8.39,3.01,27.20,12.22,0.80,19.56,8.01,1.28,19.57,8.92,0.02,18.24,8.86,0.02,26.05,14.37,0.01,23.27,10.25,1.53
2014.18,22.95,9.75,7.03,17.59,7.94,7.99,24.10,11.04,6.31,17.06,7.60,10.43,26.01,11.54,6.44,20.31,9.36,10.66,19.04,8.72,1.75,17.95,9.31,9.68,25.65,15.65,14.85,21.77,10.49,8.91
2014.19,28.89,15.00,0.44,21.78,10.94,0.24,28.52,15.27,1.69,22.69,11.48,1.25,28.55,15.31,6.63,22.23,11.16,2.93,20.36,10.57,7.27,19.96,10.26,8.23,27.54,15.95,14.25,24.96,13.21,5.29
2014.20,25.74,13.87,6.34,20.65,11.09,4.99,25.74,14.58,3.84,21.65,12.00,4.56,26.95,15.28,2.64,21.20,11.20,3.08,19.23,10.95,3.35,18.61,10.52,2.59,26.49,16.00,4.90,23.48,13.20,3.96
2014.21,27.52,14.82,1.55,21.25,11.32,3.43,29.24,16.48,0.04,23.74,11.94,0.14,30.23,17.21,0.00,23.76,12.23,0.00,21.35,11.52,0.00,20.68,10.85,0.00,29.37,16.52,0.00,25.89,14.07,0.50
2014.22,28.90,18.84,10.01,22.29,14.35,5.05,28.64,19.37,13.76,23.60,14.97,7.52,28.79,19.83,11.89,23.05,14.60,5.07,20.23,13.73,18.83,19.63,13.25,11.23,28.50,20.14,19.25,25.39,16.99,11.26
2014.23,30.45,20.87,5.27,23.11,15.50,5.59,30.47,21.36,2.40,24.55,16.58,1.66,31.04,21.73,1.58,24.56,16.21,2.06,21.82,14.92,4.40,20.93,14.50,3.76,29.75,21.68,6.63,26.88,18.60,3.56
2014.24,25.63,16.58,19.50,21.70,13.78,15.94,29.35,19.43,13.19,23.36,15.05,18.20,30.58,19.68,12.97,24.00,15.00,7.35,22.03,14.17,12.11,20.99,13.84,7.74,30.82,21.38,9.33,26.13,17.05,12.69
2014.25,32.37,21.37,0.18,24.79,15.57,0.20,32.41,21.37,0.31,26.53,16.35,1.53,32.54,21.56,0.75,26.03,15.67,1.00,22.87,15.12,1.58,22.36,14.01,2.02,32.44,21.95,2.17,28.66,18.53,1.11
2014.26,30.88,21.51,5.33,23.17,15.88,7.06,30.86,21.85,7.66,25.36,17.22,5.50,30.76,21.70,9.91,24.36,16.36,7.35,21.75,15.36,9.39,21.33,14.20,6.37,32.02,21.84,7.33,27.32,18.84,7.48
2014.27,30.55,19.69,7.53,23.27,14.43,3.01,31.11,20.50,1.70,26.03,16.78,2.92,27.12,20.38,0.81,25.72,15.71,1.54,23.15,15.26,0.92,22.25,14.52,1.17,33.08,22.10,0.43,27.24,18.11,1.99
2014.28,30.86,19.62,1.45,23.65,14.57,4.09,31.33,20.57,3.19,25.85,16.25,3.01,31.90,20.69,5.62,25.20,15.42,2.21,22.93,14.51,2.39,21.88,13.67,3.59,32.55,21.08,4.90,27.99,17.81,3.67
2014.29,29.40,18.78,10.72,21.37,13.71,12.58,28.79,19.27,12.56,24.56,15.82,9.22,30.32,20.49,6.91,23.87,15.46,3.77,21.52,14.44,7.96,21.12,13.87,4.16,30.79,21.68,6.81,26.39,17.56,7.96
2014.30,27.12,16.64,3.28,22.72,13.80,1.21,29.88,19.18,0.67,24.72,15.97,1.39,31.58,20.90,0.96,24.78,16.14,2.52,22.20,15.08,1.59,21.59,14.78,5.17,32.04,22.34,3.73,27.08,17.79,2.19
2014.31,29.80,18.39,0.21,22.54,13.96,0.02,29.93,19.50,0.51,24.87,15.59,0.20,30.68,20.19,1.06,24.85,14.51,0.01,21.67,14.76,3.69,21.46,13.88,0.29,32.13,21.45,0.07,27.11,17.35,0.57
2014.32,32.47,20.25,4.03,24.81,15.44,3.10,32.49,21.46,1.70,29.04,18.57,3.70,33.23,21.88,2.39,26.88,16.28,1.78,23.43,15.96,3.04,23.09,14.99,2.64,32.90,22.64,5.11,29.39,19.08,3.10
2014.33,30.47,18.45,2.19,23.07,13.43,0.66,30.40,18.96,4.16,25.59,15.35,1.84,31.51,19.34,8.10,25.14,14.66,5.67,22.80,13.99,7.34,22.20,13.69,4.91,32.62,21.27,4.00,27.74,17.00,4.53
2014.34,32.41,21.52,4.14,24.78,16.20,3.73,33.24,21.45,1.73,28.03,17.96,0.79,34.12,22.63,0.97,26.58,16.70,3.53,24.28,15.90,0.88,23.31,15.15,3.23,33.77,23.73,1.75,29.64,19.54,2.17
2014.35,33.97,21.20,0.10,25.49,15.77,0.64,34.06,21.29,0.71,28.09,17.15,1.07,34.05,21.72,0.53,25.08,14.90,0.41,23.78,15.73,2.72,23.19,14.72,1.72,32.88,22.95,1.84,29.51,18.79,1.01
2014.36,31.68,21.71,7.80,24.06,15.89,4.90,31.47,21.92,6.02,28.16,18.92,5.83,32.50,22.25,8.84,25.67,16.78,6.04,22.60,15.72,10.13,22.53,14.89,6.72,31.67,22.07,4.77,28.49,19.36,6.69
2014.37,30.87,19.45,6.22,22.79,14.55,3.54,31.27,20.48,0.78,26.57,17.31,0.91,32.27,22.03,1.41,25.34,16.73,2.58,23.02,15.67,4.44,22.48,15.13,2.46,31.52,22.31,4.57,27.99,18.73,2.83
2014.38,27.58,16.46,1.80,21.33,12.08,2.12,29.94,18.03,2.11,24.73,14.70,2.07,31.47,19.52,1.20,24.85,14.58,2.98,21.75,14.43,1.62,21.70,13.75,3.09,30.51,20.82,4.93,26.72,16.55,2.50
2014.39,28.88,14.12,0.00,21.69,9.87,0.32,29.71,15.04,1.10,23.67,12.20,0.28,30.12,15.85,0.00,23.42,10.98,0.09,21.25,11.46,0.00,20.21,11.00,0.00,28.87,16.97,0.19,25.88,13.43,0.19
2014.40,29.51,15.27,4.45,21.55,10.61,3.19,29.21,16.27,4.91,23.51,12.95,4.54,29.89,17.76,4.04,21.23,12.11,3.55,20.79,13.32,5.94,19.87,12.79,5.26,27.45,18.74,4.08,25.24,14.83,4.27
2014.41,27.19,14.87,6.76,20.35,10.94,7.16,27.84,15.60,4.45,22.84,11.79,0.97,29.21,16.85,0.23,21.63,11.49,0.05,20.25,11.79,0.02,20.06,10.84,0.77,27.97,16.81,0.06,24.73,13.83,1.85
2014.42,23.67,12.18,12.75,17.74,9.23,14.43,24.66,12.87,11.98,21.28,10.17,9.53,28.07,14.22,7.28,21.61,9.68,5.55,19.47,9.01,6.22,19.00,9.36,4.72,27.01,13.63,5.20,23.25,11.51,8.28
2014.43,21.89,6.77,0.00,16.66,4.57,0.00,22.16,7.83,0.00,18.26,5.91,0.00,24.23,7.31,0.00,17.84,4.61,0.00,17.41,6.03,0.00,17.33,5.51,0.00,26.07,10.00,0.00,20.78,6.67,0.00
2014.44,24.53,9.38,3.27,17.60,6.14,4.45,24.15,9.22,1.52,20.45,7.62,2.46,24.95,9.29,0.14,18.06,5.53,0.01,17.80,6.46,0.03,17.81,6.47,0.29,25.00,10.61,0.13,21.60,8.05,1.22
2014.45,17.68,4.08,4.78,13.73,2.76,3.52,18.08,4.50,1.70,15.37,2.86,0.84,20.13,5.30,0.70,14.68,2.78,0.53,14.47,4.46,0.21,14.48,4.14,0.18,21.34,7.57,0.01,17.18,4.44,1.20
2014.46,12.81,-0.53,0.16,9.84,-0.58,0.23,13.43,0.45,0.05,12.41,0.27,0.10,15.57,1.13,0.08,11.27,-0.16,0.07,11.40,1.04,0.52,11.81,2.32,0.40,16.95,3.53,1.19,13.27,0.94,0.32
2014.47,9.02,-2.19,4.76,7.88,-1.20,7.69,11.29,0.49,9.55,9.23,-0.54,11.85,14.40,1.45,11.19,11.57,-0.06,11.30,10.93,0.81,7.91,12.15,1.20,6.35,16.95,1.72,3.24,12.01,0.34,8.49
2014.48,14.20,1.73,2.08,10.52,1.03,2.69,15.02,2.84,1.86,11.42,1.84,1.84,17.00,3.41,0.93,12.38,1.90,1.46,12.54,2.51,0.97,12.46,3.40,1.48,18.24,5.76,1.91,14.18,2.88,1.66
2014.49,16.42,6.12,6.46,13.36,5.91,6.82,18.61,8.30,7.08,15.11,7.12,6.78,21.95,9.82,0.68,17.47,7.70,0.62,16.19,7.46,0.22,17.02,8.04,0.05,23.36,11.80,0.01,18.36,8.39,2.85
2014.50,11.37,0.72,0.00,8.98,0.70,0.02,12.22,1.99,0.16,10.82,1.01,0.02,15.13,3.37,0.25,12.01,1.01,0.20,11.54,2.48,0.08,11.73,2.47,0.18,17.10,4.03,0.22,12.84,2.15,0.14
