Week,TX.#sites,TX.age0-4,TX.age5-24,TX.age25-64*,TX.age50-64,TX.age65+,TX.#ILI,TX.#patients,TX.%ILI
2007.05,82,560,580,380,,62,1582,25999,6.08
2007.06,74,479,753,434,,43,1709,26741,6.39
2007.07,82,685,755,466,,71,1977,25436,7.77
2007.08,80,658,893,546,,159,2256,27487,8.2
2007.09,76,585,661,475,,132,1853,25965,7.13
2007.10,73,465,497,331,,67,1360,21111,6.15
2007.11,56,380,347,396,,84,1207,20651,5.84
2007.12,57,194,251,185,,27,657,16210,4.05
2007.13,61,213,243,264,,72,792,21393,3.70
2007.14,78,239,246,284,,83,852,24500,3.47
2007.15,77,315,316,245,,105,981,21020,4.66
2007.16,75,217,213,215,,69,714,23028,3.10
2007.17,65,189,215,199,,53,656,20703,3.16
2007.18,69,152,217,181,,39,589,18881,3.11
2007.40,84,256,163,151,,49,619,21410,2.89
2007.41,88,264,255,207,,58,784,25255,3.10
2007.42,86,274,270,261,,50,855,25776,3.32
2007.43,85,368,290,208,,47,913,26428,3.45
2007.44,95,391,276,206,,55,928,28213,3.29
2007.45,87,411,314,243,,39,1007,25665,3.92
2007.46,79,442,306,215,,65,1028,24713,4.16
2007.47,91,478,317,272,,73,1140,22748,5.01
2007.48,84,506,298,299,,74,1177,26193,4.49
2007.49,84,232,290,162,,16,700,20713,3.38
2007.50,80,256,265,128,,16,665,18711,3.55
2007.51,68,169,197,186,,26,578,15597,3.71
2007.52,77,176,201,191,,22,590,12436,4.74
2008.01,90,217,302,332,,29,880,16520,5.33
2008.02,97,373,500,630,,117,1620,25891,6.26
2008.03,81,289,518,370,,36,1213,21940,5.53
2008.04,87,369,886,650,,54,1959,23306,8.41
2008.05,96,601,1208,954,,158,2921,29106,10.04
2008.06,96,557,1128,951,,112,2748,28337,9.37
2008.07,100,529,1037,808,,124,2498,27849,8.97
2008.08,99,423,789,769,,92,2073,26573,7.80
2008.09,91,421,576,690,,83,1770,26637,6.64
2008.10,91,344,466,494,,80,1384,24965,5.54
2008.11,82,259,366,385,,39,1049,18473,5.68
2008.12,82,157,169,113,,26,465,14055,3.31
2008.13,88,186,244,292,,24,746,19842,3.76
2008.14,93,307,266,325,,78,976,24292,4.02
2008.15,89,263,226,257,,90,836,25988,3.22
2008.16,93,232,253,290,,54,829,26356,3.15
2008.17,79,88,121,134,,13,356,18568,1.92
2008.18,81,75,91,92,,1,259,17261,1.50
2008.19,79,86,129,128,,13,356,18176,1.96
2008.20,71,70,76,118,,8,272,16035,1.70
2008.40,78,84,133,127,,22,366,20333,1.80
2008.41,78,114,163,124,,19,420,20105,2.09
2008.42,79,107,156,90,,7,360,19746,1.82
2008.43,80,120,152,106,,20,398,19857,2.00
2008.44,82,136,199,104,,26,465,20972,2.22
2008.45,79,110,111,122,,27,370,20959,1.77
2008.46,74,110,107,103,,23,343,19890,1.72
2008.47,76,137,143,122,,19,421,19907,2.11
2008.48,80,132,132,125,,37,426,17012,2.50
2008.49,78,143,159,153,,24,479,20446,2.34
2008.50,76,133,146,108,,28,415,19450,2.13
2008.51,70,172,177,175,,24,548,17663,3.10
2008.52,77,194,153,154,,34,535,13509,3.96
2008.53,78,176,141,165,,46,528,15329,3.44
2009.01,79,162,182,188,,38,570,18646,3.06
2009.02,78,178,287,235,,41,741,20222,3.66
2009.03,79,174,468,341,,43,1026,23058,4.45
2009.04,79,260,679,333,,47,1319,24350,5.42
2009.05,74,282,884,467,,40,1673,24734,6.76
2009.06,80,301,965,392,,59,1717,24320,7.06
2009.07,79,317,803,316,,57,1493,25821,5.78
2009.08,74,221,552,283,,57,1113,24664,4.51
2009.09,77,194,423,245,,71,933,22428,4.16
2009.10,80,221,325,212,,77,835,22635,3.69
2009.11,77,167,269,178,,58,672,19656,3.42
2009.12,72,109,150,179,,18,456,20910,2.18
2009.13,74,115,143,163,,16,437,18760,2.33
2009.14,81,158,199,234,,51,642,20963,3.06
2009.15,78,92,138,156,,23,400,21254,1.92
2009.16,87,133,200,163,,28,524,22058,2.38
2009.17,77,260,570,348,,44,1222,25406,4.81
2009.18,72,200,361,185,,31,777,22503,3.45
2009.19,65,125,253,183,,24,585,19066,3.07
2009.20,63,122,255,134,,7,518,19150,2.70
2009.21,64,115,221,111,,31,478,17728,2.70
2009.22,61,108,188,88,,14,398,18573,2.14
2009.23,55,79,103,29,,9,220,10111,2.18
2009.24,53,65,119,79,,4,267,16773,1.59
2009.25,59,72,114,79,,15,280,16624,1.68
2009.26,59,68,105,75,,13,261,15326,1.70
2009.27,58,72,90,72,,15,249,16643,1.50
2009.28,61,44,101,78,,15,238,17296,1.38
2009.29,59,67,101,73,,14,255,16844,1.51
2009.30,55,25,41,23,,11,100,9965,1.00
2009.31,59,56,92,95,,9,252,17727,1.42
2009.32,57,56,109,81,,9,255,17856,1.43
2009.33,54,46,111,124,,13,294,19431,1.51
2009.34,53,74,267,99,,4,444,19483,2.28
2009.35,51,128,426,99,,7,660,20374,3.24
2009.36,50,132,613,177,,10,932,20079,4.64
2009.37,50,263,1101,309,,17,1690,25056,6.74
2009.38,47,184,598,107,,13,902,14102,6.40
2009.39,40,213,1129,446,,12,1800,21359,8.43
2009.40,101,1411,2402,510,178,64,4565,34309,13.31
2009.41,101,1411,2130,403,123,42,4109,32059,12.82
2009.42,104,1343,1914,387,115,37,3796,33981,11.17
2009.43,99,1112,1243,309,83,40,2787,29700,9.38
2009.44,106,990,1384,344,72,24,2814,33139,8.49
2009.45,104,709,1024,234,82,37,2086,30325,6.88
2009.46,103,699,814,220,69,26,1828,29893,6.12
2009.47,111,575,520,112,48,23,1278,22441,5.69
2009.48,104,652,578,164,74,27,1495,27439,5.45
2009.49,103,609,503,176,68,30,1386,28110,4.93
2009.50,99,419,347,154,66,22,1008,25411,3.97
2009.51,97,376,277,91,29,22,795,15834,5.02
2009.52,94,393,286,155,50,28,912,23430,3.89
2010.01,99,323,305,146,53,16,843,28720,2.94
2010.02,101,535,430,157,77,23,1222,30883,3.96
2010.03,95,364,387,148,41,18,958,31327,3.06
2010.04,92,326,478,159,30,16,1009,30818,3.27
2010.05,88,351,452,163,39,13,1018,30686,3.32
2010.06,89,325,393,173,47,18,956,31178,3.07
2010.07,83,354,375,184,35,14,962,32800,2.93
2010.08,85,260,422,195,66,29,972,33040,2.94
2010.09,85,311,439,208,59,27,1044,32859,3.18
2010.10,83,439,423,181,64,20,1127,32771,3.44
2010.11,87,167,205,147,44,18,581,27731,2.10
2010.12,87,211,289,162,44,23,729,30838,2.36
2010.13,86,201,246,114,21,16,598,27047,2.21
2010.14,87,213,210,132,33,15,603,29600,2.04
2010.15,87,249,275,110,44,24,702,30726,2.28
2010.16,84,268,318,100,22,15,723,30865,2.34
2010.17,95,271,251,112,33,16,683,31199,2.19
2010.18,90,203,238,115,36,19,611,31303,1.95
2010.19,86,243,248,129,32,7,659,30408,2.17
2010.20,76,146,169,102,22,13,452,27127,1.67
2010.21,73,178,188,90,23,13,492,25662,1.92
2010.22,60,107,184,87,17,6,401,20710,1.94
2010.23,61,109,122,89,13,9,342,24553,1.39
2010.24,58,72,140,58,12,3,285,23189,1.23
2010.25,59,108,146,44,18,5,321,22644,1.42
2010.26,58,106,120,66,16,13,321,21123,1.52
2010.27,59,96,130,55,24,10,315,20706,1.52
2010.28,54,78,137,94,14,8,331,20333,1.63
2010.29,53,97,87,52,21,8,265,20646,1.28
2010.30,50,87,70,64,20,1,242,21687,1.12
2010.31,47,76,97,62,10,7,252,22640,1.11
2010.32,43,44,73,49,13,2,181,22534,0.80
2010.33,44,96,96,69,17,3,281,24477,1.15
2010.34,44,103,89,64,19,6,281,25148,1.12
2010.35,38,75,124,115,22,3,339,23381,1.45
2010.36,42,118,136,120,30,14,418,21651,1.93
2010.37,40,91,186,85,20,10,392,24593,1.59
2010.38,41,109,196,136,43,14,498,24540,2.03
2010.39,41,153,121,71,26,18,389,16533,2.35
2010.40,97,375,375,209,55,27,1041,37881,2.75
2010.41,96,400,389,193,53,19,1054,37677,2.80
2010.42,97,374,443,202,36,22,1077,38758,2.78
2010.43,95,395,429,188,59,37,1109,37514,2.96
2010.44,98,398,525,191,66,29,1209,38431,3.15
2010.45,96,437,553,189,67,35,1281,38838,3.30
2010.46,94,372,471,181,46,35,1105,36696,3.01
2010.47,89,429,309,153,36,27,954,27258,3.50
2010.48,92,504,438,199,75,34,1250,36252,3.45
2010.49,92,306,540,219,43,24,1132,35119,3.22
2010.50,87,395,605,218,67,27,1312,34133,3.84
2010.51,80,408,555,293,85,42,1383,26344,5.25
2010.52,80,398,372,341,89,51,1251,28940,4.32
2011.01,89,499,523,309,80,55,1466,33532,4.37
2011.02,88,576,772,366,99,57,1870,34602,5.40
2011.03,91,680,1032,491,145,54,2402,39161,6.13
2011.04,96,827,1441,678,162,64,3172,42635,7.44
2011.05,94,613,1335,658,148,63,2817,33849,8.32
2011.06,91,676,1469,884,196,55,3280,40351,8.13
2011.07,87,738,2007,1138,328,84,4295,42872,10.02
2011.08,89,777,1462,736,178,57,3210,39561,8.11
2011.09,86,575,879,454,127,107,2142,38255,5.60
2011.10,81,452,741,329,82,19,1623,34850,4.66
2011.11,84,348,423,301,77,24,1173,31144,3.77
2011.12,82,336,413,248,57,28,1082,34763,3.11
2011.13,79,330,367,200,37,12,946,32028,2.95
2011.14,79,273,344,137,52,15,821,32528,2.52
2011.15,82,228,301,167,50,14,760,33124,2.29
2011.16,69,222,250,158,32,16,678,27949,2.43
2011.17,69,220,211,132,27,12,602,29116,2.07
2011.18,60,188,250,170,34,15,657,27656,2.38
2011.19,67,202,273,187,47,17,726,28293,2.57
2011.20,62,179,222,139,23,11,574,26508,2.17
2011.21,54,123,182,117,26,10,458,25537,1.79
2011.22,53,112,177,159,25,14,487,22503,2.16
2011.23,49,102,138,113,28,8,389,24204,1.61
2011.24,49,123,129,110,54,15,431,22728,1.90
2011.25,47,93,129,104,30,20,376,21432,1.75
2011.26,46,92,105,89,29,8,323,22183,1.46
2011.27,45,93,110,101,21,6,331,20267,1.63
2011.28,44,106,130,120,19,6,381,21605,1.76
2011.29,43,71,94,77,10,8,260,19669,1.32
2011.30,41,92,104,80,13,7,296,19325,1.53
2011.31,42,102,106,81,21,6,316,20357,1.55
2011.32,40,72,110,91,16,10,299,22479,1.33
2011.33,42,90,143,109,21,8,371,24361,1.52
2011.34,42,78,157,106,23,22,386,24818,1.56
2011.35,43,130,226,135,38,18,547,25096,2.18
2011.36,40,124,222,142,49,15,552,20783,2.66
2011.37,40,107,243,176,39,19,584,22469,2.60
2011.38,38,116,225,172,31,12,556,21781,2.55
2011.39,30,48,151,117,29,12,357,19515,1.83
2011.40,70,188,297,202,58,18,763,27935,2.73
2011.41,69,200,243,181,52,12,688,28089,2.45
2011.42,71,202,305,196,62,19,784,26341,2.98
2011.43,70,227,306,225,50,17,825,28150,2.93
2011.44,70,206,300,187,56,13,762,27888,2.73
2011.45,71,241,305,234,53,24,857,28619,2.99
2011.46,67,234,318,250,71,24,897,28711,3.12
2011.47,69,215,232,197,48,23,715,22669,3.15
2011.48,66,238,259,207,66,22,792,26510,2.99
2011.49,65,238,196,134,39,25,632,20322,3.11
2011.50,65,228,256,198,62,20,764,24240,3.15
2011.51,62,253,213,207,66,30,769,22055,3.49
2011.52,64,196,194,209,83,16,698,21310,3.28
2012.01,70,227,229,214,48,18,736,26030,2.83
2012.02,71,253,290,198,72,33,846,26555,3.19
2012.03,69,272,327,238,49,21,907,26655,3.40
2012.04,71,240,362,210,67,11,890,26829,3.32
2012.05,69,318,383,241,72,17,1031,24933,4.14
2012.06,69,295,448,273,63,20,1099,30879,3.56
2012.07,70,328,483,325,79,18,1233,28901,4.27
2012.08,69,376,421,210,67,29,1103,21273,5.18
2012.09,68,287,540,420,104,39,1390,28914,4.81
2012.10,66,235,389,195,58,32,909,19720,4.61
2012.11,66,302,430,373,98,30,1233,22958,5.37
2012.12,66,291,422,288,75,30,1106,26994,4.10
2012.13,63,220,444,281,68,13,1026,25649,4.00
2012.14,61,239,405,217,46,14,921,24524,3.76
2012.15,60,210,373,201,37,11,832,25684,3.24
2012.16,59,212,354,189,47,20,822,25616,3.21
2012.17,58,172,327,189,41,17,746,24935,2.99
2012.18,56,179,334,152,33,21,719,22668,3.17
2012.19,56,190,308,178,44,17,737,23822,3.09
2012.20,54,194,312,170,45,22,743,21211,3.50
2012.21,52,168,341,206,35,19,769,23362,3.29
2012.22,49,144,263,148,38,18,611,20657,2.96
2012.23,48,167,194,127,37,17,542,22056,2.46
2012.24,49,152,201,125,33,7,518,21437,2.42
2012.25,47,150,196,143,30,18,537,20463,2.62
2012.26,48,138,210,169,43,12,572,20605,2.78
2012.27,47,106,188,155,44,18,511,18454,2.77
2012.28,42,108,181,136,29,11,465,19678,2.36
2012.29,43,114,171,141,32,11,469,19771,2.37
2012.30,44,105,160,124,32,13,434,19056,2.28
2012.31,44,126,183,127,39,15,490,21536,2.28
2012.32,44,133,194,125,33,13,498,22345,2.23
2012.33,44,142,185,138,28,23,516,23461,2.20
2012.34,43,134,216,153,42,12,557,25163,2.21
2012.35,44,131,197,161,39,13,541,25376,2.13
2012.36,44,126,228,161,47,14,576,22378,2.57
2012.37,42,200,335,145,38,17,735,23726,3.10
2012.38,42,200,310,166,39,23,738,24363,3.03
2012.39,34,184,280,181,54,1,700,19970,3.51
2012.40,61,224,334,179,34,7,778,27892,2.79
2012.41,59,246,411,185,64,23,929,27730,3.35
2012.42,62,214,365,113,31,13,736,27556,2.67
2012.43,61,296,392,167,44,26,925,26703,3.46
2012.44,62,295,454,204,43,21,1017,26740,3.80
2012.45,64,337,583,223,60,21,1224,28140,4.35
2012.46,60,337,563,196,52,13,1161,26929,4.31
2012.47,62,364,665,346,122,32,1529,21612,7.07
2012.48,62,350,651,379,111,40,1531,29325,5.22
2012.49,64,449,987,468,120,45,2069,29342,7.05
2012.50,63,479,1142,457,133,58,2269,28952,7.84
2012.51,59,545,1390,755,226,78,2994,28799,10.40
2012.52,60,512,1048,792,284,100,2736,22959,11.92
2013.01,64,588,878,926,347,131,2870,27048,10.61
2013.02,64,640,1167,1017,258,97,3179,32653,9.74
2013.03,65,684,1478,701,180,93,3136,31620,9.92
2013.04,63,586,1262,804,283,76,3011,30408,9.90
2013.05,63,453,938,529,171,77,2168,28077,7.72
2013.06,64,330,736,425,112,51,1654,26920,6.14
2013.07,63,313,599,349,102,30,1393,26060,5.35
2013.08,60,211,485,327,89,34,1146,25953,4.42
2013.09,62,254,501,321,73,42,1191,26130,4.56
2013.10,60,286,527,313,79,32,1237,27063,4.57
2013.11,57,271,311,270,65,56,973,23181,4.20
2013.12,58,267,348,271,79,30,995,26024,3.82
2013.13,57,229,356,226,53,26,890,23829,3.73
2013.14,54,209,332,173,45,24,783,21030,3.72
2013.15,54,230,311,175,60,27,803,23788,3.38
2013.16,55,218,343,191,57,27,836,24839,3.37
2013.17,54,181,307,182,59,30,759,23371,3.25
2013.18,52,166,259,160,55,26,666,22906,2.91
2013.19,50,150,308,180,44,14,696,22486,3.10
2013.20,49,156,287,168,47,15,673,23099,2.91
2013.21,50,162,230,155,27,20,594,22702,2.62
2013.22,50,150,252,122,41,16,581,20499,2.83
2013.23,48,133,210,150,35,15,543,21118,2.57
2013.24,46,138,176,140,44,11,509,20768,2.45
2013.25,46,125,242,151,95,30,643,19707,3.26
2013.26,45,130,230,158,40,8,566,19706,2.87
2013.27,45,92,220,141,35,16,504,16776,3.00
2013.28,44,121,224,153,39,9,546,17539,3.10
2013.29,44,127,200,137,42,14,520,18449,2.82
2013.30,43,98,197,125,34,14,468,18710,2.50
2013.31,54,114,208,136,39,16,513,18620,2.76
2013.32,52,93,179,113,18,20,423,18195,2.32
2013.33,48,103,210,141,29,6,489,17511,2.79
2013.34,51,100,260,138,31,11,540,20129,2.68
2013.35,55,129,259,166,86,99,739,22243,3.32
2013.36,52,169,309,221,96,98,893,20373,4.38
2013.37,71,242,435,246,86,104,1113,26802,4.15
2013.38,71,234,460,264,93,135,1186,26392,4.49
2013.39,93,208,381,280,134,154,1157,24984,4.63
2013.40,124,244,424,279,129,129,1205,32650,3.69
2013.41,129,308,452,295,127,116,1298,34475,3.77
2013.42,126,306,434,321,137,100,1298,30976,4.19
2013.43,127,305,481,325,110,111,1332,34658,3.84
2013.44,127,338,426,285,149,136,1334,33751,3.95
2013.45,128,323,516,316,147,104,1406,30801,4.56
2013.46,128,352,642,491,174,141,1800,34893,5.16
2013.47,124,405,761,558,197,114,2035,34921,5.83
2013.48,125,328,465,535,162,95,1585,22865,6.93
2013.49,121,372,790,798,198,57,2215,30736,7.21
2013.50,120,383,983,812,216,67,2461,29791,8.26
2013.51,117,627,1536,1491,401,92,4147,32803,12.64
2013.52,123,547,1016,1288,474,200,3525,25638,13.75
2014.01,127,532,838,1366,505,281,3522,29284,12.03
2014.02,126,519,922,1142,442,299,3324,33811,9.83
2014.03,124,409,906,854,274,173,2616,34497,7.58
2014.04,121,358,736,694,262,195,2245,30646,7.33
2014.05,124,352,724,626,215,160,2077,31077,6.68
2014.06,123,341,654,596,206,157,1954,30982,6.31
2014.07,122,294,762,550,217,152,1975,31135,6.34
2014.08,123,323,736,579,214,148,2000,32651,6.13
2014.09,112,316,624,473,122,63,1598,29269,5.46
2014.10,118,291,621,544,201,148,1805,30334,5.95
2014.11,116,251,424,503,206,140,1524,26097,5.84
2014.12,116,257,516,486,203,127,1589,29870,5.32
2014.13,115,243,529,475,181,130,1558,29354,5.31
2014.14,112,245,521,437,192,125,1520,28744,5.29
2014.15,105,228,602,359,85,43,1317,27112,4.86
2014.16,111,210,536,405,154,137,1442,27646,5.22
2014.17,110,189,503,423,158,132,1405,28960,4.85
2014.18,108,228,437,307,117,134,1223,28975,4.22
2014.19,107,184,413,361,155,128,1241,27989,4.43
2014.20,108,161,437,351,133,114,1196,26765,4.47
2014.21,105,216,478,336,136,105,1271,26276,4.84
2014.22,105,170,378,300,123,90,1061,23553,4.50
2014.23,97,159,372,260,66,13,870,22299,3.90
2014.24,102,181,317,283,105,99,985,24907,3.95
2014.25,100,138,260,272,110,99,879,23343,3.77
2014.26,97,130,283,223,97,86,819,22145,3.70
2014.27,95,107,201,210,96,93,707,19494,3.63
2014.28,97,122,248,239,91,109,809,22626,3.58
2014.29,96,94,214,241,74,71,694,21385,3.25
2014.30,92,82,204,218,67,82,653,21210,3.08
2014.31,93,64,210,236,84,74,668,21560,3.10
2014.32,95,71,190,182,71,64,578,22332,2.59
2014.33,90,72,186,156,34,17,465,20921,2.22
2014.34,95,93,238,211,66,73,681,24259,2.81
2014.35,95,89,223,211,95,88,706,24889,2.84
2014.36,88,88,256,175,52,10,581,19901,2.92
2014.37,93,149,423,259,131,97,1059,25085,4.22
2014.38,90,138,370,298,104,93,1003,23980,4.18
2014.39,82,139,358,312,130,121,1060,22324,4.75
2014.40,112,160,384,313,114,93,1064,28992,3.67
2014.41,112,181,390,307,138,93,1109,30606,3.62
2014.42,112,237,430,296,133,94,1190,29486,4.04
2014.43,116,210,475,368,136,103,1292,30221,4.28
2014.44,114,207,495,363,109,116,1290,28667,4.50
2014.45,117,211,522,346,119,90,1288,29165,4.42
2014.46,83,249,387,103,32,22,793,22064,3.59
2014.47,110,294,858,426,109,31,1718,26133,6.57
2014.48,111,260,702,472,108,45,1587,21456,7.40
2014.49,117,380,1011,680,288,221,2580,31461,8.20
2014.50,119,459,1576,677,268,209,3189,31306,10.19
2014.51,100,556,1611,715,280,210,3372,23802,14.17
2014.52,86,416,666,256,133,137,1608,17869,9.00
2014.53,97,417,573,750,329,220,2289,17517,13.07
2015.01,101,388,774,791,372,311,2636,23584,11.18
2015.02,108,478,1361,923,279,94,3135,29338,10.69
2015.03,109,511,1421,946,277,102,3257,29598,11.00
2015.04,115,440,1247,815,253,94,2849,31140,9.15
2015.05,120,409,1240,761,327,200,2937,31970,9.19
2015.06,118,340,1049,737,302,193,2621,31994,8.19
2015.07,117,354,907,692,330,225,2508,31270,8.02
2015.08,120,275,828,583,247,189,2122,29847,7.11
2015.09,120,323,931,625,256,181,2316,31432,7.37
2015.10,121,310,733,615,282,189,2129,29417,7.24
2015.11,123,302,570,562,226,166,1826,29200,6.25
2015.12,121,272,621,582,239,197,1911,31079,6.15
2015.13,113,248,590,467,231,199,1735,27429,6.33
2015.14,112,237,489,359,258,162,1505,29347,5.13
2015.15,112,222,598,382,201,152,1555,29117,5.34
2015.16,116,206,312,240,144,162,1064,29716,3.58
2015.17,113,177,542,399,193,162,1473,28540,5.16
2015.18,113,190,467,405,180,138,1380,28177,4.90
2015.19,114,134,456,321,190,150,1251,26872,4.66
2015.20,112,161,479,344,163,116,1263,25955,4.87
2015.21,109,145,378,295,131,110,1059,23463,4.51
2015.22,100,112,298,252,72,26,760,21614,3.52
2015.23,99,112,349,265,87,21,834,21111,3.95
2015.24,100,118,305,222,66,37,748,21277,3.52
2015.25,107,122,275,249,108,109,863,22564,3.82
2015.26,105,95,215,272,90,79,751,19673,3.82
2015.27,106,72,241,210,89,97,709,21609,3.28
2015.28,95,72,210,197,28,20,527,18512,2.85
2015.29,105,87,224,225,103,87,726,21418,3.39
