Week,NC.#ILI,NC.#patients,NC.%ILI
2007.48,120,24690,0.48
2007.49,160,20135,0.79
2007.50,199,23933,0.83
2007.51,171,17841,0.95
2007.52,89,7724,1.15
2008.01,155,14113,1.09
2008.02,216,22663,0.95
2008.03,401,22272,1.80
2008.04,638,20813,3.06
2008.05,1177,25816,4.55
2008.06,1320,26397,5.00
2008.07,1254,24867,5.04
2008.08,1394,25191,5.53
2008.09,1048,25376,4.12
2008.10,610,21394,2.85
2008.11,391,20987,1.86
2008.12,235,19378,1.21
2008.13,103,17199,0.59
2008.14,121,17928,0.67
2008.15,83,17079,0.48
2008.16,47,17010,0.27
2008.17,38,15817,0.24
2008.18,30,13364,0.22
2008.19,02,9763,0.02
2008.20,10,6832,0.14
2008.40,41,20555,0.19
2008.41,67,21128,0.31
2008.42,51,21353,0.23
2008.43,58,22968,0.25
2008.44,102,24359,0.41
2008.45,106,25761,0.41
2008.46,110,25082,0.43
2008.47,91,24684,0.36
2008.48,67,14350,0.46
2008.49,99,24086,0.41
2008.50,84,20486,0.41
2008.51,82,16606,0.49
2008.52,69,07654,0.90
2008.53,76,11244,0.67
2009.01,90,19049,0.47
2009.07,124,19997,0.62
2009.03,124,15715,0.78
2009.04,280,23038,1.21
2009.05,396,22114,1.79
2009.06,497,23285,2.13
2009.07,545,24319,2.24
2009.08,719,23104,3.11
2009.09,467,19316,2.41
2009.10,324,19789,1.63
2009.11,275,21263,1.29
2009.12,182,20704,0.87
2009.13,173,19851,0.87
2009.14,100,17953,0.55
2009.15,066,17286,0.38
2009.16,057,18123,0.31
2009.17,176,19165,0.91
2009.18,153,17647,0.86
2009.19,83,12963,0.64
2009.20,59,12903,0.45
2009.21,78,11417,0.68
2009.22,47,13330,0.35
2009.23,74,13730,0.53
2009.24,85,13699,0.62
2009.25,96,14304,0.67
2009.26,89,11652,0.76
2009.27,125,15300,0.81
2009.28,139,15660,0.88
2009.29,125,15340,0.81
2009.30,98,15450,0.63
2009.31,88,13774,0.63
2009.32,111,15220,0.72
2009.33,188,18259,1.02
2009.34,420,21945,1.91
2009.35,1210,22153,5.46
2009.36,1151,19113,6.02
2009.37,1401,24668,5.68
2009.38,1319,23563,5.60
2009.39,1156,19733,5.86
2009.40,1465,28334,5.17
2009.41,1441,26961,5.34
2009.42,1477,28270,5.22
2009.43,1313,27605,4.75
2009.44,994,29597,3.35
2009.45,855,28526,2.99
2009.46,809,32462,2.49
2009.47,376,21220,1.77
2009.48,476,32916,1.44
2009.49,419,31038,1.34
2009.50,253,26771,0.94
2009.51,164,13517,1.21
2009.52,170,16484,1.03
2010.01,184,23122,0.79
2010.02,213,28364,0.75
2010.03,271,26023,1.04
2010.04,308,28047,1.09
2010.05,290,23665,1.22
2010.06,346,27365,1.26
2010.07,446,28971,1.53
2010.08,450,31625,1.42
2010.09,237,26635,0.88
2010.10,191,24666,0.77
2010.11,258,25772,1.00
2010.12,179,26743,0.66
2010.13,170,23256,0.73
2010.14,121,23696,0.51
2010.15,149,23196,0.64
2010.16,87,22241,0.39
2010.17,85,20420,0.41
2010.18,92,18975,0.48
2010.19,66,15973,0.41
2010.20,31,13800,0.22
2009.40,1465,28334,5.17
2009.41,1441,26961,5.34
2009.42,1477,28270,5.22
2009.43,1313,27605,4.75
2009.44,995,29597,3.36
2009.45,855,28526,2.99
2009.46,809,32462,2.49
2009.47,376,21220,1.77
2009.48,476,32916,1.44
2009.49,419,31038,1.34
2009.50,253,26771,0.94
2009.51,164,13517,1.21
2009.52,170,16484,1.03
2010.01,184,23122,0.79
2010.02,218,28436,0.76
2010.03,271,26023,1.04
2010.04,308,28047,1.09
2010.05,290,23665,1.22
2010.06,346,27365,1.26
2010.07,446,28971,1.53
2010.08,450,31625,1.42
2010.09,237,26635,0.88
2010.10,191,24666,0.77
2010.11,258,25772,1.00
2010.12,179,26743,0.66
2010.13,170,23256,0.73
2010.14,121,23806,0.50
2010.15,149,23324,0.63
2010.16,87,22310,0.38
2010.17,85,20886,0.40
2010.18,92,19681,0.46
2010.19,66,16830,0.39
2010.20,53,16711,0.31
2010.21,70,14532,0.48
2010.22,67,11133,0.60
2010.23,49,13326,0.36
2010.24,29,12164,0.23
2010.25,54,11342,0.47
2010.26,32,8786,0.36
2010.27,36,8514,0.42
2010.28,42,10740,0.39
2010.29,41,11625,0.35
2010.30,32,11814,0.27
2010.31,26,10486,0.24
2010.32,43,10203,0.42
2010.33,38,11583,0.32
2010.34,53,12917,0.41
2010.35,44,12599,0.34
2010.36,52,12333,0.42
2010.37,42,13348,0.31
2010.38,47,12688,0.37
2011.40,64,18251,0.35
2011.41,110,18837,0.58
2011.42,162,20404,0.79
2011.43,164,22801,0.71
2011.44,178,22311,0.79
2011.45,201,22080,0.91
2011.46,193,22332,0.86
2011.47,103,13108,0.78
2011.48,170,21365,0.79
2011.49,147,19581,0.75
2011.50,166,18793,0.88
2011.51,129,12014,1.07
2011.52,149,9795,1.52
2012.01,134,14565,0.92
2012.02,184,20685,0.88
2012.03,195,19264,1.01
2012.04,215,20584,1.04
2012.05,235,24130,0.97
2012.06,293,22711,1.29
2012.07,292,22013,1.32
2012.08,390,22818,1.70
2012.09,343,22153,1.54
2012.10,298,17382,1.71
2012.11,173,18212,0.94
2012.12,271,19991,1.35
2012.13,169,18137,0.93
2012.14,200,17179,1.16
2012.15,168,17484,0.96
2012.16,153,18315,0.83
2012.17,130,15967,0.81
2012.18,97,13440,0.72
2012.19,78,11380,0.68
2012.20,54,8136,0.66
2012.40,150,20462,0.73
2012.41,120,19489,0.61
2012.42,154,29722,0.51
2012.43,181,21841,0.82
2012.44,210,19382,1.08
2012.45,318,21437,1.48
2012.46,295,19866,1.48
2012.47,242,13452,1.79
2012.48,459,21004,2.18
2012.49,1242,24118,5.14
2012.50,1284,20159,6.36
2012.51,745,15126,4.92
2012.52,796,8960,8.88
2013.01,756,15025,5.03
2013.02,767,21102,3.63
2013.03,695,21799,3.18
2013.04,475,19151,2.48
2013.05,451,21825,2.06
2013.06,303,21120,1.43
2013.07,254,21071,1.20
2013.08,279,21566,1.29
2013.09,233,18449,1.26
2013.10,238,17608,1.35
2013.11,236,15237,1.54
2013.12,162,18701,0.86
2013.13,242,17158,1.41
2013.14,188,15531,1.21
2013.15,161,16050,1.00
2013.16,143,15162,0.94
2013.17,98,14495,0.67
2013.18,33,13380,0.24
2013.19,21,8442,0.24
2013.20,17,6549,0.25
2013.40,63,17928,0.35
2013.41,151,17409,0.86
2013.42,124,16615,0.74
2013.43,132,17968,0.73
2013.44,140,17051,0.82
2013.45,144,16151,0.89
2013.46,168,16961,0.99
2013.47,153,17586,0.87
2013.48,145,9939,1.45
2013.49,218,17708,1.23
2013.50,199,13446,1.47
2013.51,274,13185,2.07
2013.52,300,6325,4.74
2014.40,414,10567,3.91
2014.02,406,14982,2.7
2014.03,583,17911,3.25
2014.04,491,15428,3.18
2014.05,382,13168,2.9
2014.06,308,17410,1.76
2014.07,240,11610,2.06
2014.08,240,16706,1.43
2014.09,233,16106,1.44
2014.10,185,14001,1.32
2014.11,144,12573,1.14
2014.12,164,14345,1.14
2014.13,142,14729,0.96
2014.14,133,14196,0.93
2014.15,143,14018,1.02
2014.16,188,13475,1.39
2014.17,113,13889,0.81
2014.18,129,11664,1.1
2014.19,62,8292,0.74
2014.20,39,6150,0.63
2014.40,82,14730,0.55
2014.41,102,15521,0.65
2014.42,73,14860,0.49
2014.43,133,16890,0.78
2014.44,160,17384,0.92
2014.45,169,17478,0.96
2014.46,154,16174,0.95
2014.47,169,18143,0.93
2014.48,220,10677,2.06
2014.49,314,17663,1.77
2014.50,502,16789,2.99
2014.51,688,14986,4.59
2014.52,632,7305,8.65
2014.53,695,9080,7.65
2015.01,567,14954,3.79
2015.02,592,15974,3.7
2015.03,703,15127,4.64
2015.04,603,17323,3.48
2015.05,592,18056,3.27
2015.07,478,15406,3.1
2015.08,363,12222,2.97
2015.09,344,16465,2.08
2015.10,227,12321,1.84
2015.11,269,16414,1.63
2015.12,213,14972,1.42
2015.13,183,13595,1.34
2015.14,130,13220,0.98
2015.15,134,12336,1.08
2015.16,93,13323,0.69
2015.17,92,10543,0.87
2015.18,107,10407,1.02
2015.19,36,6187,0.58
2015.20,4,4559,0.08
