Year.Wk,R.01%,R.02%,R.03%,R.04%,R.05%,R.06%,R.07%,R.08%,R.09%,R.10%,USA%
2015.06,09.20,05.21,11.97,18.12,17.64,25.55,38.74,42.80,13.28,29.17,18.32
2015.07,09.21,05.21,11.97,18.11,17.64,25.56,38.73,42.79,13.26,29.17,18.32
2015.08,09.20,05.20,11.97,18.11,17.64,25.56,38.73,42.81,13.26,29.19,18.32
2015.09,09.20,05.20,11.97,18.12,17.64,25.57,38.72,42.81,13.29,29.18,18.32
2015.10,09.19,05.21,11.97,18.12,17.64,25.56,38.72,42.81,13.28,29.18,18.32
2015.11,09.20,05.21,11.97,18.12,17.65,25.56,38.74,42.79,13.27,29.19,18.32
2015.12,09.20,05.21,11.97,18.12,17.65,25.55,38.73,42.80,13.26,29.17,18.32
2015.13,09.20,05.22,11.97,18.12,17.65,25.55,38.73,42.80,13.27,29.15,18.32
2015.14,09.21,05.21,11.97,18.12,17.65,25.55,38.72,42.81,13.26,29.15,18.32
2015.15,09.20,05.21,11.97,18.11,17.65,25.55,38.72,42.80,13.26,29.14,18.31
2015.16,09.20,05.21,11.97,18.11,17.64,25.54,38.73,42.80,13.27,29.15,18.31
2015.17,09.20,05.22,11.96,18.12,17.64,25.54,38.73,42.77,13.26,29.13,18.31
2015.18,09.19,05.21,11.97,18.12,17.64,25.54,38.72,42.78,13.22,29.11,18.30
2015.19,09.19,05.21,11.96,18.11,17.64,25.54,38.71,42.80,13.23,29.12,18.30
2015.20,09.20,05.21,11.96,18.12,17.65,25.55,38.74,42.89,13.28,29.22,18.32
