Year.Wk,R.01%,R.02%,R.03%,R.04%,R.05%,R.06%,R.07%,R.08%,R.09%,R.10%,USA%
2014.13,00.14,00.52,00.53,00.73,00.58,00.51,00.52,00.48,01.10,00.65,00.65
2014.14,00.22,00.35,00.49,00.58,00.61,00.53,00.51,00.34,01.26,00.77,00.63
2014.15,00.19,00.43,00.58,00.63,00.68,00.50,00.50,00.46,00.75,00.61,00.59
2014.16,00.19,00.43,00.50,00.52,00.51,00.45,00.55,00.40,00.67,00.50,00.50
2014.17,00.16,00.47,00.50,00.64,00.49,00.45,00.47,00.43,00.44,00.50,00.49
2014.18,00.22,00.38,00.50,00.50,00.56,00.53,00.44,00.38,00.69,00.55,00.51
2014.19,00.17,00.40,00.39,00.47,00.47,00.42,00.45,00.33,00.90,00.56,00.50
2014.20,00.14,00.33,00.36,00.49,00.42,00.39,00.38,00.31,01.79,00.50,00.62
2014.21,00.14,00.36,00.38,00.43,00.41,00.32,00.32,00.38,00.46,00.38,00.38
2014.22,00.19,00.33,00.30,00.43,00.41,00.38,00.34,00.32,00.39,00.42,00.37
2014.23,00.18,00.40,00.44,00.68,00.71,00.42,00.46,00.42,00.93,00.66,00.60
2014.24,00.18,00.40,00.43,00.46,00.52,00.39,00.44,00.41,00.64,00.61,00.47
2014.25,00.17,00.40,00.39,00.49,00.45,00.41,00.40,00.48,00.51,00.68,00.45
2014.26,00.15,00.33,00.42,00.47,00.46,00.47,00.37,00.36,00.62,00.44,00.45
2014.27,00.13,00.28,00.41,00.48,00.45,00.38,00.42,00.31,00.37,00.66,00.40
2014.28,00.15,00.37,00.37,00.48,00.48,00.43,00.44,00.37,00.55,00.43,00.44
2014.29,00.14,00.32,00.34,00.55,00.44,00.41,00.46,00.38,00.59,00.65,00.46
2014.30,00.17,00.32,00.36,00.48,00.45,00.38,00.43,00.40,00.39,00.38,00.40
2014.31,00.13,00.27,00.50,00.50,00.41,00.36,00.46,00.42,00.52,00.68,00.44
2014.32,00.06,00.13,00.15,00.20,00.18,00.15,00.17,00.15,00.15,00.26,00.16
2014.33,00.04,00.08,00.09,00.11,00.11,00.09,00.09,00.10,00.11,00.10,00.10
2014.34,00.03,00.06,00.08,00.08,00.08,00.07,00.07,00.07,00.12,00.10,00.08
2014.35,00.02,00.06,00.07,00.08,00.08,00.06,00.07,00.07,00.08,00.08,00.07
2014.36,00.02,00.05,00.05,00.08,00.10,00.06,00.06,00.07,00.08,00.12,00.07
2014.37,00.03,00.05,00.06,00.07,00.06,00.06,00.06,00.06,00.09,00.08,00.07
2014.38,00.03,00.05,00.06,00.09,00.07,00.07,00.07,00.06,00.06,00.10,00.07
2014.39,00.03,00.06,00.05,00.08,00.07,00.06,00.06,00.05,00.11,00.09,00.07
2014.40,00.02,00.07,00.05,00.09,00.07,00.06,00.07,00.06,00.16,00.11,00.08
2014.41,00.02,00.06,00.07,00.08,00.09,00.07,00.06,00.06,00.25,00.10,00.10
2014.42,00.02,00.06,00.06,00.09,00.08,00.07,00.07,00.06,00.13,00.08,00.08
2014.43,00.03,00.07,00.06,00.10,00.07,00.06,00.07,00.06,00.18,00.09,00.09
2014.44,00.03,00.06,00.07,00.09,00.07,00.07,00.06,00.06,00.25,00.11,00.10
2014.45,00.02,00.06,00.07,00.08,00.09,00.07,00.07,00.08,00.21,00.08,00.09
2014.46,00.03,00.05,00.08,00.08,00.09,00.06,00.07,00.08,00.13,00.09,00.08
2014.47,00.02,00.07,00.07,00.08,00.08,00.06,00.08,00.06,00.09,00.09,00.07
2014.48,00.02,00.05,00.07,00.10,00.08,00.06,00.08,00.06,00.09,00.12,00.08
2014.49,00.02,00.06,00.06,00.09,00.09,00.07,00.07,00.06,00.11,00.10,00.08
2014.50,00.03,00.06,00.06,00.09,00.08,00.06,00.07,00.07,00.10,00.07,00.07
2014.51,00.03,00.06,00.06,00.09,00.08,00.08,00.07,00.06,00.07,00.07,00.07
2014.52,00.02,00.05,00.06,00.08,00.07,00.07,00.07,00.06,00.09,00.08,00.07
2014.53,00.02,00.07,00.07,00.08,00.08,00.07,00.07,00.06,00.07,00.07,00.07
2015.01,00.02,00.06,00.07,00.09,00.08,00.07,00.06,00.08,00.11,00.11,00.08
2015.02,00.03,00.07,00.06,00.09,00.09,00.07,00.06,00.06,00.14,00.08,00.09
2015.03,00.02,00.06,00.08,00.08,00.07,00.06,00.08,00.07,00.07,00.16,00.07
2015.04,00.03,00.06,00.09,00.09,00.09,00.06,00.07,00.07,00.08,00.06,00.08
2015.05,00.02,00.07,00.08,00.08,00.09,00.07,00.06,00.07,00.18,00.06,00.09
2015.06,00.03,00.06,00.07,00.08,00.09,00.06,00.08,00.06,00.11,00.11,00.08
2015.07,00.02,00.06,00.07,00.09,00.08,00.07,00.07,00.06,00.09,00.06,00.07
2015.08,00.02,00.06,00.08,00.09,00.08,00.07,00.07,00.06,00.10,00.06,00.08
2015.09,00.03,00.05,00.07,00.08,00.07,00.07,00.07,00.07,00.12,00.10,00.08
2015.10,00.03,00.06,00.07,00.09,00.07,00.07,00.07,00.08,00.13,00.09,00.08
2015.11,00.04,00.06,00.07,00.09,00.07,00.07,00.07,00.07,00.09,00.09,00.08
2015.12,00.03,00.06,00.06,00.08,00.08,00.06,00.06,00.07,00.08,00.09,00.07
2015.13,00.02,00.07,00.06,00.09,00.08,00.07,00.07,00.08,00.17,00.10,00.09
2015.14,00.02,00.06,00.08,00.08,00.08,00.07,00.07,00.07,00.07,00.08,00.07
2015.15,00.02,00.06,00.06,00.08,00.07,00.07,00.07,00.06,00.12,00.12,00.08
2015.16,00.03,00.06,00.08,00.09,00.09,00.07,00.07,00.07,00.11,00.07,00.08
2015.17,00.03,00.06,00.07,00.09,00.07,00.08,00.07,00.07,00.09,00.10,00.08
2015.18,00.02,00.06,00.07,00.08,00.08,00.06,00.08,00.07,00.19,00.09,00.09
2015.19,00.03,00.06,00.07,00.08,00.08,00.06,00.08,00.07,00.15,00.11,00.08
2015.20,00.04,00.05,00.07,00.09,00.08,00.07,00.06,00.06,00.43,00.08,00.13
2015.21,00.02,00.05,00.06,00.08,00.08,00.07,00.08,00.06,00.10,00.08,00.08
2015.22,00.03,00.05,00.06,00.08,00.08,00.06,00.07,00.06,00.19,00.07,00.09
2015.23,00.03,00.06,00.07,00.09,00.07,00.07,00.07,00.06,00.14,00.07,00.08
2015.24,00.02,00.06,00.06,00.09,00.09,00.07,00.06,00.07,00.26,00.08,00.10
2015.25,00.02,00.06,00.06,00.09,00.10,00.07,00.08,00.06,00.09,00.09,00.08
2015.26,00.03,00.07,00.06,00.08,00.08,00.07,00.08,00.07,00.17,00.08,00.09
2015.27,00.02,00.06,00.06,00.08,00.08,00.07,00.07,00.07,00.12,00.06,00.08
2015.28,00.03,00.07,00.06,00.08,00.08,00.07,00.08,00.08,00.15,00.09,00.09
2015.29,00.03,00.06,00.08,00.08,00.08,00.07,00.08,00.06,00.12,00.08,00.08
