Year.Wk,R.01%,R.02%,R.03%,R.04%,R.05%,R.06%,R.07%,R.08%,R.09%,R.10%,USA%
2014.02,01.42,02.86,03.72,03.23,03.08,06.89,01.69,02.66,03.46,03.90,03.41
2014.03,01.74,03.12,04.15,02.91,02.68,05.75,01.82,02.37,03.58,02.96,03.23
2014.04,01.88,03.03,04.11,03.00,02.70,05.11,01.71,02.23,03.85,02.40,03.20
2014.05,01.82,02.82,03.37,02.59,02.28,04.81,01.68,01.93,03.44,01.88,02.84
2014.06,02.09,02.81,03.03,02.28,02.06,04.09,01.15,01.86,03.10,01.65,02.55
2014.07,01.68,02.54,02.81,02.04,01.95,03.64,00.97,01.65,02.72,01.27,02.29
2014.08,01.54,02.27,02.39,01.56,02.00,03.42,00.89,01.64,02.50,01.24,02.07
2014.09,01.29,02.02,02.20,01.39,01.89,03.28,00.76,01.37,02.36,00.78,01.91
2014.10,01.30,02.36,02.01,01.43,01.77,03.17,00.63,01.43,02.10,01.00,01.85
2014.11,01.24,02.69,01.67,01.05,01.78,02.78,00.73,01.23,01.84,00.62,01.68
2014.12,01.39,03.34,01.71,01.03,01.65,02.78,00.59,01.12,01.81,00.81,01.71
2014.13,01.31,03.57,01.75,00.94,01.69,02.69,00.40,01.02,01.51,00.68,01.65
2014.14,01.60,03.50,01.78,00.91,01.64,02.60,00.50,01.07,01.53,00.89,01.64
2014.15,01.84,03.25,01.68,00.81,01.57,02.67,00.40,01.00,01.51,00.73,01.59
2014.16,01.56,02.53,01.34,00.80,01.44,02.47,00.36,00.88,01.59,00.89,01.43
2014.17,01.40,01.97,01.28,00.78,01.47,02.32,00.39,01.04,01.42,00.92,01.33
2014.18,01.04,01.68,01.26,00.72,01.40,02.01,00.31,00.88,01.46,00.65,01.22
2014.19,01.04,01.71,01.25,00.73,01.55,02.03,00.32,01.19,01.47,00.87,01.27
2014.20,00.90,01.60,01.21,00.64,01.36,02.16,00.27,01.11,01.52,00.88,01.22
2014.21,00.68,01.56,01.22,00.79,01.43,02.20,00.25,01.15,01.54,00.61,01.25
2014.22,00.66,01.57,01.18,00.69,01.20,02.16,00.31,01.08,01.47,00.37,01.18
2014.23,00.73,01.54,01.09,00.70,01.19,01.93,00.16,00.27,01.38,00.40,01.09
2014.24,00.61,01.42,00.99,00.63,01.13,01.72,00.15,00.83,01.34,00.36,01.03
2014.25,00.59,01.61,00.99,00.61,01.09,01.51,00.20,00.35,01.17,00.39,00.96
2014.26,00.64,01.50,00.87,00.60,00.92,01.65,00.11,00.74,01.15,00.27,00.94
2014.27,00.73,01.36,01.00,00.57,00.81,01.51,00.16,00.78,01.17,00.29,00.91
2014.28,00.48,01.31,00.84,00.47,00.73,01.45,00.15,00.61,01.00,00.33,00.80
2014.29,00.51,01.28,00.78,00.49,00.65,01.40,00.16,00.54,01.03,00.31,00.78
2014.30,00.53,01.13,00.74,00.53,00.63,01.22,00.16,00.78,00.91,00.18,00.74
2014.31,00.48,01.26,00.76,00.44,00.65,01.37,00.17,00.58,00.84,00.42,00.74
2014.32,00.48,01.16,00.66,00.53,00.70,01.21,00.17,00.61,00.75,00.22,00.71
2014.33,00.54,01.13,00.79,00.58,00.70,01.24,00.28,00.71,00.78,00.18,00.75
2014.34,00.50,01.10,00.78,00.67,00.75,01.32,00.15,00.70,00.81,00.26,00.78
2014.35,00.47,01.17,00.89,00.69,00.68,01.52,00.21,00.75,01.00,00.15,00.85
2014.36,00.54,01.19,00.98,00.74,00.93,01.72,00.35,00.42,01.12,00.22,00.95
2014.37,00.52,01.33,01.29,00.74,01.30,01.80,00.32,01.08,01.26,00.27,01.11
2014.38,00.60,01.63,01.40,00.80,01.34,01.90,00.35,00.93,01.34,00.59,01.19
2014.39,00.64,01.79,01.41,01.01,01.14,01.81,00.28,00.92,01.32,00.37,01.20
2014.40,00.68,01.64,01.31,00.91,01.01,01.78,00.44,00.93,01.50,00.55,01.16
2014.41,00.75,01.69,01.54,01.15,01.04,01.96,00.54,00.86,01.54,01.00,01.28
2014.42,00.78,01.95,01.54,01.04,01.13,02.31,00.56,00.90,01.47,00.84,01.33
2014.43,00.63,01.94,01.49,01.21,01.19,02.29,00.56,01.06,01.42,00.80,01.36
2014.44,00.81,01.84,01.54,01.22,01.24,02.32,00.47,00.99,01.46,00.95,01.38
2014.45,00.86,02.06,01.57,01.52,01.41,02.64,00.50,01.05,01.73,01.16,01.57
2014.46,00.88,01.94,01.56,01.75,01.52,02.63,00.58,01.20,01.68,01.13,01.63
2014.47,00.81,02.17,01.78,02.30,01.82,03.88,00.65,01.25,01.84,01.29,02.01
2014.48,01.01,02.44,02.22,03.09,02.60,05.06,01.01,01.67,02.18,01.33,02.61
2014.49,00.98,02.33,02.28,03.15,03.10,04.87,00.97,01.73,01.94,01.52,02.63
2014.50,01.16,02.55,03.09,04.50,04.43,06.34,02.07,02.33,02.14,01.79,03.52
2014.51,01.25,02.88,04.96,06.47,05.24,08.20,02.52,02.96,02.46,02.55,04.58
2014.52,01.99,03.86,08.98,08.09,06.11,07.44,03.29,04.45,03.84,03.67,05.76
2014.53,01.96,03.80,08.09,05.35,04.57,07.52,03.01,04.52,04.36,04.45,04.95
2015.01,01.91,03.30,05.85,03.63,03.09,06.01,04.73,03.45,03.86,03.33,03.87
2015.02,02.56,03.60,04.70,03.20,02.48,06.90,04.01,03.57,04.27,03.71,03.78
2015.03,03.78,03.92,04.53,03.55,02.20,06.48,04.96,03.51,04.83,03.66,03.95
2015.04,03.47,03.77,04.32,03.39,01.99,05.55,04.92,03.11,04.62,03.16,03.67
2015.05,03.20,03.61,03.33,02.94,01.99,05.30,03.85,02.92,04.10,02.45,03.29
2015.06,02.79,03.30,02.78,02.78,02.00,04.76,03.08,02.41,03.62,02.13,02.96
2015.07,02.32,02.65,02.51,03.21,01.99,04.41,02.75,02.19,03.14,01.52,02.80
2015.08,01.67,02.24,01.74,02.71,01.84,03.94,02.73,01.84,02.78,01.43,02.41
2015.09,01.61,01.99,01.79,02.67,02.04,03.89,02.74,01.92,02.58,01.41,02.38
2015.10,01.54,01.94,01.56,02.22,02.08,03.93,02.97,01.68,02.61,01.44,02.28
2015.11,01.40,02.07,01.57,01.78,02.21,03.47,02.40,01.66,02.32,01.46,02.09
2015.12,01.39,02.13,01.78,01.62,02.26,03.17,02.05,01.48,02.02,01.15,01.98
2015.13,01.45,02.02,01.78,01.44,02.18,03.01,01.95,01.57,02.10,01.14,01.92
2015.14,01.30,01.83,01.71,01.29,01.98,02.53,01.60,01.38,01.94,00.84,01.71
2015.15,01.21,01.55,01.44,01.05,01.62,02.32,01.26,01.19,01.77,00.99,01.48
2015.16,01.18,01.61,01.41,01.03,01.42,01.86,01.18,01.40,01.68,01.12,01.37
2015.17,00.88,01.58,01.51,00.99,01.42,02.21,01.26,01.17,01.75,01.31,01.41
2015.18,00.86,01.68,01.40,01.00,01.27,02.16,00.88,01.20,01.79,00.76,01.37
2015.19,00.64,01.57,01.28,01.08,01.20,02.10,00.94,00.91,01.72,00.82,01.31
2015.20,00.66,01.62,01.29,01.00,01.11,02.03,00.66,00.90,01.69,01.27,01.26
2015.21,00.71,01.64,01.36,00.88,00.98,01.93,00.36,01.04,01.62,00.77,01.20
2015.22,00.61,01.44,01.11,00.75,00.97,01.87,00.34,00.87,01.54,00.55,01.10
2015.23,00.68,01.50,01.20,00.68,00.89,01.69,00.32,00.72,01.32,00.51,01.02
2015.24,00.53,01.23,01.08,00.60,00.76,01.51,00.32,00.65,01.20,00.48,00.90
2015.25,00.55,01.40,00.99,00.63,00.90,01.47,00.49,00.77,01.02,00.62,00.91
2015.26,00.60,01.34,01.01,00.64,00.82,01.47,00.32,00.63,01.07,00.55,00.90
2015.27,00.50,01.11,00.96,00.57,00.79,01.27,00.17,00.54,00.95,00.71,00.79
2015.28,00.46,01.06,00.85,00.57,00.74,01.34,00.32,00.51,00.86,00.47,00.77
2015.29,00.44,01.02,00.81,00.55,00.74,01.36,00.27,00.73,00.75,00.39,00.75
