Year.Wk,R.01#,R.02#,R.03#,R.04#,R.05#,R.06#,R.07#,R.08#,R.09#,R.10#,US#
2015.09,1122914,1913390,2266487,4221144,3642801,1854888,962284,637741,2638363,845382,20105395
2015.10,1123143,1913881,2267062,4222343,3643798,1855737,962562,637944,2639633,845791,20111895
2015.11,1123360,1914294,2267465,4223377,3644617,1856437,962759,638128,2640414,846061,20116913
2015.12,1123502,1914541,2267735,4224201,3645135,1856916,962892,638237,2640952,846254,20120365
2015.13,1123645,1914688,2267847,4224553,3645405,1857112,962971,638295,2641205,846337,20122059
2015.14,1123717,1914824,2267985,4224761,3645589,1857239,963025,638339,2641397,846422,20123297
2015.15,1123765,1914939,2268074,4224917,3645775,1857336,963077,638370,2641542,846483,20124279
2015.16,1123814,1915047,2268162,4225054,3645875,1857423,963127,638415,2641665,846541,20125123
2015.17,1123848,1915131,2268202,4225172,3646010,1857494,963151,638437,2641761,846563,20125769
2015.18,1123876,1915218,2268244,4225247,3646088,1857514,963169,638455,2641856,846588,20126253
2015.19,1123901,1915280,2268298,4225323,3646150,1857558,963177,638477,2641935,846611,20126712
2015.20,1123911,1915337,2268330,4225365,3646211,1857586,963182,638486,2641983,846620,20127013
2015.21,1123913,1915340,2268331,4225373,3646214,1857587,963185,638486,2641989,846625,20127043
2015.22,1123913,1915340,2268331,4225373,3646214,1857587,963185,638486,2641989,846625,20127043
2015.23,1123913,1915340,2268331,4225373,3646214,1857587,963185,638486,2641989,846625,20127043
2015.24,1123913,1915340,2268331,4225373,3646214,1857587,963185,638486,2641989,846625,20127043
2015.25,1123913,1915340,2268331,4225373,3646214,1857587,963185,638486,2641989,846625,20127043
2015.26,1123913,1915340,2268331,4225373,3646214,1857587,963185,638486,2641989,846625,20127043
2015.27,1123913,1915340,2268331,4225373,3646214,1857587,963185,638486,2641989,846625,20127043
2015.28,1123913,1915340,2268331,4225373,3646214,1857587,963185,638486,2641989,846625,20127043
2015.29,1123913,1915340,2268331,4225373,3646214,1857587,963185,638486,2641989,846625,20127043
