Year.Wk,R.01#,R.02#,R.03#,R.04#,R.05#,R.06#,R.07#,R.08#,R.09#,R.10#,US#
2015.18,355,1067,727,1200,2106,588,3482,327,1437,362,11651
2015.19,422,1115,689,1289,1498,826,3689,377,1603,371,11879
2015.20,572,1212,957,1612,1876,711,3940,375,1645,427,13327
2015.21,375,1033,808,1308,1390,689,3519,304,1728,418,11572
2015.22,306,1125,793,1278,1668,1227,3704,290,1561,351,12303
2015.23,426,1108,853,1433,1872,1513,3809,229,1450,315,13008
2015.24,243,719,614,948,1007,943,3311,195,1078,303,9361
2015.25,170,631,544,786,825,810,2147,154,1037,238,7342
2015.26,229,589,525,822,694,694,751,111,1060,225,5700
2015.27,176,594,680,933,706,649,827,171,937,229,5902
2015.28,211,553,429,946,686,488,758,197,911,209,5388
2015.29,200,697,717,887,811,519,925,211,962,229,6158
