Week,TX.Tmax,TX.Tmin,TX.prcp
2001.41,25.62,13.69,7.12
2001.42,24.60,8.34,0.25
2001.43,27.04,13.17,0.02
2001.44,25.17,11.35,0.06
2001.45,24.11,10.51,0.65
2001.46,22.01,13.70,9.97
2001.47,20.35,8.01,0.70
2001.48,16.08,2.94,3.97
2001.49,21.11,11.86,3.47
2001.50,15.09,3.06,4.07
2001.51,17.83,3.52,3.63
2001.52,14.37,-0.13,0.20
2002.01,7.91,-2.30,1.40
2002.02,17.54,2.52,0.39
2002.03,17.67,3.19,0.16
2002.04,18.63,3.71,0.89
2002.05,18.88,5.81,1.74
2002.06,12.82,2.07,2.76
2002.07,16.24,0.80,0.03
2002.08,20.98,4.46,0.71
2002.09,16.01,-0.43,0.53
2002.10,17.64,2.63,0.14
2002.11,22.44,7.41,0.26
2002.12,20.12,8.19,4.39
2002.13,23.14,9.02,1.53
2002.14,21.80,10.22,1.34
2002.15,25.31,13.23,5.33
2002.16,28.61,18.38,1.05
2002.17,28.22,17.12,0.75
2002.18,31.15,18.37,0.61
2002.19,31.14,20.19,1.18
2002.20,28.51,15.19,2.26
2002.21,27.69,14.74,0.17
2002.22,30.72,17.86,3.77
2002.23,32.00,20.31,1.29
2002.24,33.41,21.85,1.29
2002.25,32.69,19.98,1.97
2002.26,32.94,20.20,3.37
2002.27,29.78,21.07,17.47
2002.28,32.53,21.43,2.48
2002.29,30.79,21.31,5.71
2002.30,33.88,22.22,0.37
2002.31,33.79,22.45,0.90
2002.32,33.90,21.37,1.46
2002.33,33.05,21.89,3.35
2002.34,34.55,22.59,0.60
2002.35,34.34,21.01,1.47
2002.36,33.28,20.70,2.28
2002.37,30.57,20.02,6.67
2002.38,29.32,17.99,4.98
2002.39,29.84,14.95,0.20
2002.40,30.93,18.64,0.33
2002.41,26.31,16.54,8.07
2002.42,22.24,10.64,4.39
2002.43,20.60,13.61,11.27
2002.44,18.46,10.83,4.42
2002.45,18.99,7.26,6.85
2002.46,21.26,7.31,0.17
2002.47,21.15,4.50,0.03
2002.48,15.01,3.56,0.98
2002.49,14.52,2.96,3.80
2002.50,13.39,3.23,5.59
2002.51,20.31,6.20,0.32
2002.52,14.03,0.93,2.85
2003.01,18.17,2.73,2.14
2003.02,17.75,3.25,0.37
2003.03,10.39,0.14,2.20
2003.04,14.45,0.84,0.11
2003.05,15.19,3.76,0.64
2003.06,14.56,3.26,1.54
2003.07,18.25,6.73,1.61
2003.08,16.25,5.17,6.69
2003.09,10.47,0.64,1.24
2003.10,17.04,4.73,1.30
2003.11,23.40,10.32,0.43
2003.12,21.45,9.35,1.70
2003.13,21.89,8.01,1.07
2003.14,23.76,9.58,0.29
2003.15,23.43,7.89,0.65
2003.16,27.42,14.66,0.24
2003.17,25.85,13.57,1.12
2003.18,28.88,16.83,0.71
2003.19,31.13,20.52,0.25
2003.20,30.83,18.75,0.84
2003.21,29.81,16.82,1.24
2003.22,30.87,17.30,2.27
2003.23,31.40,18.70,6.11
2003.24,31.26,19.30,6.20
2003.25,30.85,19.13,2.59
2003.26,32.67,21.87,1.62
2003.27,32.05,20.61,3.57
2003.28,31.82,21.54,3.20
2003.29,33.18,21.30,2.74
2003.30,33.75,22.04,1.02
2003.31,34.15,21.92,0.75
2003.32,36.44,22.71,0.46
2003.33,32.34,20.00,3.17
2003.34,34.55,21.65,0.92
2003.35,33.94,21.68,1.96
2003.36,29.58,19.74,5.24
2003.37,30.52,18.13,6.55
2003.38,27.96,17.26,4.43
2003.39,27.66,17.30,2.63
2003.40,26.61,13.04,0.10
2003.41,26.44,17.95,6.45
2003.42,25.64,13.37,2.23
2003.43,28.77,11.91,0.28
2003.44,24.41,11.10,1.14
2003.45,21.83,13.20,1.25
2003.46,20.75,11.68,0.67
2003.47,23.21,9.65,4.00
2003.48,18.00,2.15,0.41
2003.49,18.51,4.49,0.03
2003.50,16.75,2.27,1.91
2003.51,16.93,-0.34,0.05
2003.52,19.02,4.75,0.29
2003.53,19.00,6.17,1.04
2004.01,13.75,1.43,0.54
2004.02,18.01,7.63,6.36
2004.03,14.01,3.35,1.37
2004.04,15.22,1.76,1.65
2004.05,13.57,1.70,2.45
2004.06,10.18,2.18,4.67
2004.07,18.81,3.22,0.20
2004.08,16.48,4.97,4.01
2004.09,20.60,9.79,3.72
2004.10,21.22,7.71,1.98
2004.11,23.73,13.18,2.31
2004.12,23.28,14.08,0.68
2004.13,25.26,10.68,2.03
2004.14,23.71,11.85,5.78
2004.15,21.09,8.39,2.61
2004.16,25.94,16.72,3.33
2004.17,24.84,13.70,5.60
2004.18,25.83,12.67,1.74
2004.19,26.98,16.93,6.11
2004.20,29.59,18.87,0.28
2004.21,30.79,20.19,0.74
2004.22,32.69,19.69,3.65
2004.23,30.39,21.00,10.17
2004.24,31.89,20.53,2.47
2004.25,30.07,19.85,7.24
2004.26,29.91,20.74,8.41
2004.27,32.59,21.90,0.52
2004.28,33.21,20.71,0.45
2004.29,33.31,20.89,0.96
2004.30,30.74,20.14,5.33
2004.31,34.19,21.87,0.98
2004.32,31.49,19.08,1.89
2004.33,30.97,18.73,4.15
2004.34,32.63,21.95,2.77
2004.35,29.98,18.38,2.47
2004.36,30.41,17.41,1.58
2004.37,32.98,20.01,1.49
2004.38,30.82,18.69,1.86
2004.39,28.56,16.48,4.34
2004.40,26.71,17.04,5.87
2004.41,25.20,12.27,2.37
2004.42,29.79,17.76,3.04
2004.43,28.00,18.16,2.76
2004.44,21.22,8.56,6.03
2004.45,21.08,8.40,0.31
2004.46,18.38,11.27,13.16
2004.47,19.18,8.95,8.74
2004.48,16.38,3.02,1.18
2004.49,19.89,6.70,1.40
2004.50,15.43,1.09,0.24
2004.51,12.40,-0.99,1.11
2004.52,19.07,5.56,0.13
2005.01,17.83,8.29,2.76
2005.02,19.03,6.34,0.98
2005.03,15.91,2.01,0.03
2005.04,16.27,3.43,3.66
2005.05,9.68,3.04,3.13
2005.06,15.23,6.08,2.42
2005.07,20.28,8.49,0.86
2005.08,19.57,9.50,3.91
2005.09,16.97,6.31,3.31
2005.10,21.66,7.59,2.15
2005.11,19.01,5.31,0.94
2005.12,23.44,9.22,2.11
2005.13,22.58,7.29,1.59
2005.14,25.18,10.10,0.59
2005.15,25.69,10.35,1.00
2005.16,25.79,14.91,0.24
2005.17,25.52,10.61,1.00
2005.18,23.29,10.96,1.03
2005.19,28.05,17.01,3.75
2005.20,29.35,16.70,0.97
2005.21,31.82,18.94,2.59
2005.22,29.71,18.40,5.79
2005.23,31.56,21.15,0.64
2005.24,33.17,20.89,0.62
2005.25,33.32,19.42,0.05
2005.26,34.92,21.29,0.46
2005.27,35.47,21.55,1.79
2005.28,34.24,21.20,4.25
2005.29,33.05,22.19,2.90
2005.30,32.88,21.27,2.41
2005.31,33.78,20.52,1.92
2005.32,32.62,21.30,4.66
2005.33,33.30,22.37,2.91
2005.34,35.29,22.18,0.76
2005.35,34.17,20.33,1.72
2005.36,32.62,18.88,0.88
2005.37,32.70,21.31,2.26
2005.38,35.01,20.31,0.68
2005.39,34.13,19.20,0.86
2005.40,28.55,16.95,1.67
2005.41,26.08,13.60,4.38
2005.42,28.78,13.45,0.06
2005.43,22.20,6.11,0.56
2005.44,25.10,8.94,1.67
2005.45,27.59,14.79,0.16
2005.46,20.70,6.80,0.46
2005.47,22.10,5.12,1.37
2005.48,20.25,3.57,0.71
2005.49,11.99,-2.04,0.45
2005.50,15.65,1.72,1.52
2005.51,14.43,2.28,0.18
2005.52,22.69,4.06,0.01
2006.01,23.19,4.57,0.01
2006.02,21.21,2.89,0.14
2006.03,19.69,4.51,0.67
2006.04,16.95,4.47,3.00
2006.05,21.44,4.55,1.67
2006.06,18.85,1.42,0.93
2006.07,18.31,1.85,0.17
2006.08,13.07,3.78,2.26
2006.09,24.10,8.98,0.73
2006.10,26.39,12.51,0.47
2006.11,23.50,10.69,0.74
2006.12,17.27,4.90,5.21
2006.13,24.08,12.75,2.44
2006.14,28.55,14.97,0.09
2006.15,28.05,13.21,0.04
2006.16,30.80,16.53,3.47
2006.17,27.05,14.82,3.03
2006.18,29.61,15.81,5.66
2006.19,29.14,15.43,1.33
2006.20,30.50,14.57,0.94
2006.21,33.01,20.10,0.14
2006.22,30.86,19.04,4.55
2006.23,34.40,19.78,0.11
2006.24,34.87,20.62,1.74
2006.25,32.98,21.00,5.06
2006.26,32.42,18.83,0.83
2006.27,31.64,20.90,5.07
2006.28,34.80,22.56,0.55
2006.29,36.13,22.56,0.54
2006.30,34.12,21.96,3.10
2006.31,34.82,22.74,1.21
2006.32,35.45,22.60,1.16
2006.33,35.81,22.70,1.15
2006.34,35.87,22.87,1.20
2006.35,33.49,20.80,2.48
2006.36,29.47,18.13,3.58
2006.37,31.19,19.20,2.79
2006.38,30.57,17.41,4.41
2006.39,29.13,14.47,1.69
2006.40,31.44,18.02,0.12
2006.41,26.66,13.65,5.01
2006.42,25.63,13.04,8.24
2006.43,23.00,10.00,3.43
2006.44,21.94,8.29,0.14
2006.45,24.90,11.18,1.88
2006.46,21.14,5.67,0.08
2006.47,21.64,4.91,0.01
2006.48,19.66,6.90,1.64
2006.49,12.56,-0.35,0.26
2006.50,20.02,5.81,0.64
2006.51,18.64,7.86,2.42
2006.52,15.14,3.58,7.04
2007.01,14.37,2.84,3.95
2007.02,17.10,3.58,2.68
2007.03,4.71,-0.50,6.79
2007.04,11.42,1.19,3.52
2007.05,10.92,0.34,0.95
2007.06,16.50,3.20,0.13
2007.07,11.56,0.15,0.66
2007.08,22.01,6.29,0.20
2007.09,21.98,5.62,0.15
2007.10,21.40,4.15,0.02
2007.11,22.56,11.14,9.92
2007.12,24.17,15.36,0.70
2007.13,23.68,14.99,10.85
2007.14,22.44,10.27,1.35
2007.15,19.35,7.32,2.59
2007.16,22.85,9.13,0.86
2007.17,25.03,14.01,2.76
2007.18,26.65,16.84,6.82
2007.19,27.09,17.11,3.57
2007.20,27.17,15.10,1.28
2007.21,26.41,17.01,7.54
2007.22,28.35,18.40,6.03
2007.23,30.74,19.27,2.37
2007.24,31.27,20.05,4.03
2007.25,30.12,20.47,6.60
2007.26,29.67,20.42,9.57
2007.27,28.62,20.12,10.35
2007.28,30.93,21.32,2.34
2007.29,29.88,20.34,7.24
2007.30,29.72,19.98,6.13
2007.31,31.00,21.50,3.81
2007.32,33.03,21.99,0.25
2007.33,33.42,21.94,6.44
2007.34,32.40,22.24,0.96
2007.35,31.63,20.47,2.93
2007.36,30.09,20.60,5.22
2007.37,29.77,19.05,2.88
2007.38,30.63,18.60,0.57
2007.39,30.76,18.21,1.01
2007.40,30.81,18.60,1.01
2007.41,29.46,16.66,1.03
2007.42,28.36,14.39,2.31
2007.43,23.73,7.10,1.59
2007.44,23.90,7.71,0.01
2007.45,24.16,10.53,0.07
2007.46,24.14,10.73,0.24
2007.47,19.08,8.20,3.17
2007.48,15.50,4.19,2.71
2007.49,21.89,6.30,0.07
2007.50,16.16,5.55,3.26
2007.51,17.76,1.82,0.40
2007.52,13.89,-1.68,0.76
2008.01,14.80,-0.70,0.02
2008.02,20.46,5.76,0.28
2008.03,12.04,-0.16,2.29
2008.04,10.19,0.28,1.67
2008.05,17.87,1.55,0.50
2008.06,21.74,5.56,0.22
2008.07,19.96,5.13,2.16
2008.08,19.00,4.48,1.87
2008.09,22.48,5.07,0.08
2008.10,18.44,2.94,3.39
2008.11,22.62,6.47,2.61
2008.12,23.26,8.09,3.75
2008.13,22.98,9.96,0.40
2008.14,24.62,13.14,1.74
2008.15,25.85,12.15,1.63
2008.16,23.87,7.27,2.09
2008.17,28.09,15.92,2.27
2008.18,25.70,11.23,1.50
2008.19,27.68,15.46,2.41
2008.20,26.60,14.80,4.40
2008.21,32.01,18.14,0.19
2008.22,32.23,20.30,1.40
2008.23,33.91,22.07,0.26
2008.24,33.79,21.86,0.93
2008.25,34.41,20.84,1.99
2008.26,34.21,21.02,1.11
2008.27,32.07,19.78,3.03
2008.28,32.50,20.89,2.69
2008.29,33.91,21.41,1.01
2008.30,33.82,21.58,3.96
2008.31,35.33,22.26,0.53
2008.32,35.07,21.85,1.56
2008.33,33.67,21.63,3.86
2008.34,29.71,20.56,9.04
2008.35,31.91,20.89,2.41
2008.36,31.60,19.37,0.80
2008.37,30.75,19.99,5.43
2008.38,27.36,14.71,2.98
2008.39,29.87,15.90,0.55
2008.40,30.24,13.21,0.02
2008.41,28.44,13.67,2.41
2008.42,25.58,14.98,4.28
2008.43,25.07,8.59,0.36
2008.44,24.28,7.27,0.03
2008.45,25.07,9.89,0.22
2008.46,22.61,8.92,3.64
2008.47,19.18,2.58,0.05
2008.48,20.48,6.51,0.64
2008.49,16.50,1.35,0.15
2008.50,17.63,1.21,1.07
2008.51,16.43,4.52,0.32
2008.52,16.39,3.67,0.44
2008.53,19.68,2.93,0.33
2009.01,18.39,2.89,1.45
2009.02,14.31,-1.14,0.02
2009.03,20.90,2.53,0.01
2009.04,14.44,-0.39,0.48
2009.05,20.51,3.15,0.14
2009.06,22.05,8.42,2.13
2009.07,18.71,5.40,0.36
2009.08,23.45,6.34,0.10
2009.09,22.86,7.12,0.00
2009.10,18.16,9.28,7.28
2009.11,23.23,8.04,0.51
2009.12,23.95,10.86,2.44
2009.13,23.44,6.39,0.82
2009.14,23.65,7.67,0.12
2009.15,23.26,10.89,6.57
2009.16,27.89,13.51,2.24
2009.17,26.89,17.73,5.07
2009.18,29.04,17.85,1.68
2009.19,30.17,18.94,1.82
2009.20,26.71,13.45,2.21
2009.21,29.61,16.82,3.60
2009.22,30.66,17.16,1.70
2009.23,32.85,20.28,2.07
2009.24,34.11,22.18,0.92
2009.25,35.52,22.08,0.35
2009.26,34.96,22.02,1.44
2009.27,35.34,22.42,1.71
2009.28,36.25,22.44,0.95
2009.29,33.98,21.55,2.06
2009.30,33.97,22.32,4.53
2009.31,35.17,22.12,0.76
2009.32,34.92,22.05,1.35
2009.33,35.10,22.33,1.25
2009.34,34.83,20.77,1.58
2009.35,31.77,19.03,1.37
2009.36,30.20,19.78,8.97
2009.37,27.10,18.51,5.37
2009.38,26.07,15.43,4.23
2009.39,29.03,16.27,2.14
2009.40,25.75,16.01,9.72
2009.41,23.26,13.68,3.32
2009.42,23.00,10.30,6.36
2009.43,21.61,8.06,7.05
2009.44,23.47,7.59,0.02
2009.45,23.05,11.26,1.20
2009.46,19.54,6.18,5.07
2009.47,18.68,4.48,0.28
2009.48,11.12,2.08,4.70
2009.49,10.76,1.15,1.27
2009.50,14.40,3.09,1.73
2009.51,15.21,1.73,1.99
2009.52,11.62,-0.58,1.58
2010.01,7.59,-3.66,0.18
2010.02,12.24,0.43,4.55
2010.03,19.89,6.51,0.48
2010.04,15.12,2.74,5.42
2010.05,9.95,2.56,5.41
2010.06,9.44,1.08,4.44
2010.07,14.30,0.50,0.34
2010.08,13.48,1.69,1.30
2010.09,16.86,3.59,1.83
2010.10,20.24,8.04,1.81
2010.11,19.79,5.55,2.98
2010.12,19.43,4.29,2.30
2010.13,24.61,8.87,0.16
2010.14,24.67,10.70,0.23
2010.15,23.25,14.03,5.80
2010.16,22.69,12.45,3.18
2010.17,26.21,11.96,0.27
2010.18,28.80,12.81,0.16
2010.19,27.47,17.66,5.90
2010.20,29.01,17.94,2.44
2010.21,30.58,19.23,1.21
2010.22,31.87,18.87,2.74
2010.23,32.33,22.27,3.99
2010.24,32.78,22.26,0.96
2010.25,33.79,22.13,1.04
2010.26,30.71,21.88,11.29
2010.27,30.56,21.93,6.11
2010.28,32.96,22.78,0.57
2010.29,33.13,22.45,1.44
2010.30,32.50,21.42,3.04
2010.31,35.41,21.90,0.55
2010.32,35.44,23.00,0.54
2010.33,35.50,23.01,1.26
2010.34,34.43,20.73,0.90
2010.35,32.92,20.80,3.70
2010.36,30.99,20.61,13.65
2010.37,32.15,20.71,2.08
2010.38,29.40,19.94,4.43
2010.39,28.17,13.16,0.87
2010.40,26.15,9.79,0.05
2010.41,27.59,11.21,0.48
2010.42,27.60,14.15,0.75
2010.43,26.47,11.28,0.96
2010.44,22.06,7.14,2.55
2010.45,23.16,8.48,1.11
2010.46,19.03,4.44,0.37
2010.47,22.63,9.21,0.36
2010.48,19.34,2.57,0.26
2010.49,16.18,1.23,0.14
2010.50,16.71,1.82,0.04
2010.51,17.92,5.47,2.04
2010.52,15.28,3.32,1.65
2011.01,16.13,1.14,0.54
2011.02,8.25,-0.56,4.26
2011.03,14.15,1.26,2.77
2011.04,16.31,0.13,0.68
2011.05,9.05,-3.31,1.74
2011.06,12.01,-4.43,0.71
2011.07,22.89,8.32,0.04
2011.08,22.87,9.37,0.42
2011.09,23.12,7.07,0.47
2011.10,21.67,4.89,0.31
2011.11,24.55,11.37,0.37
2011.12,26.87,14.04,0.02
2011.13,23.45,9.21,0.22
2011.14,27.84,12.27,0.44
2011.15,27.69,11.68,1.03
2011.16,29.79,16.39,0.26
2011.17,28.94,14.74,1.26
2011.18,25.47,10.52,1.48
2011.19,30.05,17.30,3.51
2011.20,27.99,15.18,1.28
2011.21,32.81,19.59,0.77
2011.22,34.10,20.52,0.08
2011.23,34.79,20.28,0.45
2011.24,36.47,22.30,0.03
2011.25,34.76,21.63,4.47
2011.26,35.27,22.45,0.55
2011.27,35.79,21.98,0.32
2011.28,36.05,23.33,0.60
2011.29,35.76,23.15,0.97
2011.30,36.52,23.55,0.59
2011.31,37.62,23.64,0.12
2011.32,37.01,24.09,0.95
2011.33,36.73,23.05,0.45
2011.34,36.89,22.77,0.74
2011.35,37.38,22.45,0.16
2011.36,32.12,15.41,0.22
2011.37,33.56,18.74,1.12
2011.38,31.50,16.55,2.27
2011.39,33.50,17.14,0.92
2011.40,29.30,14.56,0.78
2011.41,27.14,14.01,7.48
2011.42,26.43,10.30,0.32
2011.43,24.94,11.14,1.10
2011.44,22.09,5.17,0.08
2011.45,21.35,7.90,0.99
2011.46,22.94,10.20,1.64
2011.47,21.58,9.68,3.34
2011.48,17.10,2.98,1.78
2011.49,11.01,0.60,4.51
2011.50,14.88,7.33,2.93
2011.51,13.18,4.58,3.94
2011.52,14.92,1.71,1.09
2012.01,18.08,2.33,0.04
2012.02,14.55,1.97,3.93
2012.03,20.06,4.76,0.08
2012.04,18.55,5.36,7.09
2012.05,19.66,7.29,2.62
2012.06,12.79,2.49,1.84
2012.07,14.78,4.55,6.29
2012.08,19.79,6.52,1.20
2012.09,21.37,8.96,0.33
2012.10,19.60,6.75,3.15
2012.11,23.18,12.95,2.96
2012.12,23.00,10.61,7.69
2012.13,26.66,13.87,1.40
2012.14,27.42,13.76,1.24
2012.15,26.48,15.18,0.92
2012.16,25.46,11.82,2.15
2012.17,29.09,13.73,0.03
2012.18,30.02,18.78,0.43
2012.19,26.66,16.04,10.10
2012.20,27.13,14.74,2.49
2012.21,30.98,18.42,0.10
2012.22,31.56,18.92,1.14
2012.23,31.83,19.73,2.57
2012.24,33.35,20.93,1.81
2012.25,32.46,20.54,1.56
2012.26,35.88,21.63,0.33
2012.27,33.04,21.56,1.72
2012.28,31.77,21.00,8.03
2012.29,32.84,21.17,2.49
2012.30,34.07,22.23,0.88
2012.31,36.08,22.33,0.04
2012.32,35.39,21.79,0.98
2012.33,35.06,22.05,1.73
2012.34,31.78,19.99,3.82
2012.35,33.59,21.14,1.08
2012.36,35.05,21.26,0.52
