Week,NC.Tmax,NC.Tmin,NC.prcp
2000.50,10.60,0.44,3.04
2000.51,6.47,-6.23,2.97
2000.52,3.82,-6.33,0.34
2001.01,4.43,-7.86,0.08
2001.02,9.92,-2.43,1.46
2001.03,12.82,2.78,5.25
2001.04,8.76,-4.52,0.28
2001.05,13.52,0.14,1.08
2001.06,14.84,-0.09,1.29
2001.07,14.25,4.12,5.26
2001.08,12.64,-1.17,1.94
2001.09,16.62,3.84,2.32
2001.10,10.62,-0.68,3.01
2001.11,17.10,4.51,3.93
2001.12,14.02,2.08,6.61
2001.13,13.72,1.24,5.85
2001.14,17.57,5.67,2.12
2001.15,27.97,13.79,0.96
2001.16,18.44,4.65,0.90
2001.17,23.71,8.18,2.28
2001.18,25.45,9.18,0.44
2001.19,24.91,11.30,0.56
2001.20,24.82,11.12,2.57
2001.21,26.08,13.58,5.32
2001.22,24.80,13.48,7.25
2001.23,28.12,17.22,2.46
2001.24,28.61,17.71,6.31
2001.25,29.40,16.93,3.49
2001.26,28.12,17.65,4.70
2001.27,28.75,18.19,5.53
2001.28,29.10,17.93,2.52
2001.29,28.67,16.78,1.75
2001.30,27.94,18.95,7.61
2001.31,27.21,17.53,4.64
2001.32,31.75,20.16,1.79
2001.33,29.95,19.47,6.46
2001.34,29.01,17.37,3.42
2001.35,28.85,18.73,3.42
2001.36,26.65,17.18,2.99
2001.37,26.78,14.89,2.09
2001.38,25.41,11.89,1.99
2001.39,22.57,9.77,4.37
2001.40,23.63,8.14,0.60
2001.41,20.34,6.27,1.22
2001.42,20.97,5.59,2.42
2001.43,23.71,8.46,0.31
2001.44,19.56,2.76,0.05
2001.45,20.74,2.04,0.01
2001.46,19.09,1.98,0.00
2001.47,17.30,2.18,2.94
2001.48,22.15,10.84,1.63
2001.49,20.49,4.88,0.13
2001.50,15.52,7.69,5.00
2001.51,14.16,0.62,2.02
2001.52,10.06,-3.23,0.81
2002.01,4.62,-5.73,1.81
2002.02,10.75,-2.45,3.19
2002.03,11.87,-1.32,2.99
2002.04,12.93,1.12,10.08
2002.05,21.44,5.13,0.17
2002.06,9.43,-1.76,4.52
2002.07,14.04,-0.42,0.70
2002.08,14.53,0.37,0.60
2002.09,12.34,-3.59,1.46
2002.10,14.97,-1.06,3.36
2002.11,18.35,5.92,3.97
2002.12,16.09,4.77,4.42
2002.13,20.17,4.84,2.79
2002.14,19.44,5.54,3.78
2002.15,20.37,8.19,1.98
2002.16,28.62,15.02,1.28
2002.17,23.46,9.74,1.05
2002.18,24.46,12.29,4.01
2002.19,25.70,13.40,2.04
2002.20,24.97,10.85,3.22
2002.21,20.95,5.96,0.59
2002.22,28.37,14.80,1.87
2002.23,30.09,17.35,3.12
2002.24,30.08,14.86,1.37
2002.25,28.21,15.28,1.31
2002.26,29.90,19.20,5.94
2002.27,32.07,18.92,2.30
2002.28,29.30,17.84,3.57
2002.29,30.91,19.95,2.97
2002.30,30.52,20.05,6.96
2002.31,33.00,20.47,1.05
2002.32,30.50,15.78,0.17
2002.33,31.62,18.48,3.06
2002.34,32.67,19.96,1.80
2002.35,25.89,18.52,12.10
2002.36,28.02,16.86,2.54
2002.37,28.16,15.27,2.32
2002.38,26.45,18.45,6.92
2002.39,25.11,17.18,7.90
2002.40,27.61,16.50,0.13
2002.41,23.48,15.10,7.51
2002.42,18.85,8.59,5.81
2002.43,18.13,9.85,2.35
2002.44,15.14,6.96,3.90
2002.45,15.08,3.75,3.75
2002.46,17.70,6.80,8.87
2002.47,12.85,1.68,3.90
2002.48,12.73,-1.12,0.08
2002.49,7.44,-3.58,4.94
2002.50,8.54,0.29,5.61
2002.51,12.46,0.82,2.62
2002.52,9.81,-1.41,4.60
2003.01,13.93,1.86,3.57
2003.02,11.58,-1.09,0.11
2003.03,5.00,-6.13,0.75
2003.04,4.87,-7.34,1.05
2003.05,6.96,-2.90,3.04
2003.06,11.44,-1.09,3.71
2003.07,10.14,-1.98,2.85
2003.08,9.70,0.58,6.58
2003.09,10.82,1.09,6.08
2003.10,14.83,2.49,5.52
2003.11,17.77,3.03,1.15
2003.12,17.24,9.19,12.02
2003.13,21.41,7.48,0.63
2003.14,20.21,5.64,3.66
2003.15,13.60,5.55,16.07
2003.16,22.40,7.87,3.20
2003.17,20.02,8.31,2.91
2003.18,25.44,11.66,3.35
2003.19,24.80,14.24,7.59
2003.20,24.56,13.05,1.95
2003.21,20.02,12.71,11.42
2003.22,23.84,12.69,5.18
2003.23,24.63,13.17,6.85
2003.24,28.47,18.13,5.03
2003.25,26.49,17.78,7.71
2003.26,29.33,15.91,0.64
2003.27,27.72,18.35,10.57
2003.28,30.58,19.97,3.90
2003.29,29.04,18.84,6.25
2003.30,28.57,18.15,4.17
2003.31,29.07,19.91,6.27
2003.32,28.04,19.14,10.81
2003.33,29.04,19.66,6.56
2003.34,29.73,19.29,3.21
2003.35,30.87,19.69,1.44
2003.36,28.63,18.73,5.74
2003.37,24.23,14.91,1.41
2003.38,26.10,14.42,6.55
2003.39,26.17,13.72,5.99
2003.40,20.50,6.84,1.34
2003.41,21.37,12.49,4.53
2003.42,21.62,8.79,1.81
2003.43,20.60,5.69,0.08
2003.44,20.30,7.93,7.09
2003.45,24.49,12.14,2.67
2003.46,16.66,3.63,0.21
2003.47,20.13,6.89,7.64
2003.48,16.96,1.90,2.02
2003.49,9.41,-0.90,2.71
2003.50,10.69,-1.68,5.69
2003.51,8.41,-1.81,5.43
2003.52,11.40,-3.19,1.63
2003.53,15.99,-0.31,0.44
2004.01,9.95,-0.52,1.74
2004.02,9.63,-4.01,0.13
2004.03,8.62,-4.25,1.12
2004.04,5.53,-4.66,3.09
2004.05,9.25,-2.06,6.56
2004.06,9.03,-0.55,2.81
2004.07,10.46,-1.06,2.50
2004.08,10.48,-0.42,3.11
2004.09,20.44,6.91,1.15
2004.10,14.48,0.74,0.90
2004.11,16.24,4.11,3.50
2004.12,17.39,1.36,0.18
2004.13,15.98,5.64,3.03
2004.14,19.75,4.25,0.11
2004.15,18.90,6.07,6.88
2004.16,27.03,12.53,0.03
2004.17,22.51,9.63,3.90
2004.18,23.47,9.81,6.12
2004.19,27.12,15.03,1.67
2004.20,28.33,16.38,2.05
2004.21,29.88,18.14,2.17
2004.22,27.20,15.65,5.16
2004.23,27.82,17.44,3.19
2004.24,28.38,19.44,5.07
2004.25,27.79,18.53,6.69
2004.26,26.84,18.01,4.52
2004.27,31.11,19.17,2.37
2004.28,30.36,18.44,3.60
2004.29,29.15,17.91,4.00
2004.30,28.44,19.96,7.23
2004.31,28.58,17.82,6.10
2004.32,26.36,15.46,7.96
2004.33,27.14,17.72,5.84
2004.34,27.84,17.75,2.80
2004.35,26.99,18.31,7.78
2004.36,26.08,18.42,16.22
2004.37,25.02,16.15,10.22
2004.38,25.17,11.23,0.32
2004.39,25.02,15.62,7.38
2004.40,22.97,10.48,0.65
2004.41,21.60,10.03,3.01
2004.42,19.86,10.34,1.45
2004.43,19.23,10.49,1.31
2004.44,22.38,10.87,3.70
2004.45,16.43,3.05,5.02
2004.46,16.52,2.91,0.20
2004.47,16.24,6.73,5.32
2004.48,13.84,0.21,2.95
2004.49,16.64,5.31,5.56
2004.50,9.20,-3.11,0.21
2004.51,9.06,-4.76,3.12
2004.52,10.64,-2.04,1.18
2005.01,19.43,7.34,0.45
2005.02,16.84,4.32,5.98
2005.03,4.05,-5.63,0.55
2005.04,6.37,-5.88,0.76
2005.05,7.34,-1.54,3.50
2005.06,13.84,0.19,0.34
2005.07,13.50,0.66,1.34
2005.08,12.34,1.48,4.04
2005.09,8.96,-2.41,3.70
2005.10,13.70,-1.02,2.43
2005.11,12.04,0.48,4.26
2005.12,17.62,5.01,3.29
2005.13,19.02,8.16,7.24
2005.14,21.39,8.34,3.88
2005.15,18.35,5.20,4.20
2005.16,24.46,7.56,1.22
2005.17,17.97,5.83,1.70
2005.18,18.93,6.59,5.24
2005.19,25.65,11.14,1.69
2005.20,23.86,12.15,4.84
2005.21,24.12,10.83,0.88
2005.22,22.53,13.48,6.49
2005.23,28.90,18.16,4.96
2005.24,29.12,17.99,2.33
2005.25,27.46,14.91,1.79
2005.26,29.52,19.81,7.15
2005.27,29.46,19.44,6.87
2005.28,29.78,20.38,5.65
2005.29,32.09,21.34,4.78
2005.30,32.11,20.47,5.33
2005.31,29.94,18.95,3.38
2005.32,29.41,19.53,5.50
2005.33,30.93,20.45,4.34
2005.34,29.38,18.96,2.75
2005.35,29.82,18.55,2.58
2005.36,28.02,14.69,0.07
2005.37,28.69,17.12,5.45
2005.38,29.59,17.04,1.38
2005.39,25.77,15.62,1.23
2005.40,24.96,16.07,14.32
2005.41,22.12,14.48,2.60
2005.42,24.18,9.48,1.00
2005.43,15.24,2.97,1.96
2005.44,20.43,2.80,0.02
2005.45,21.52,5.50,0.36
2005.46,17.61,3.90,1.89
2005.47,12.02,0.72,7.39
2005.48,14.03,2.54,5.73
2005.49,9.90,-1.38,6.62
2005.50,7.57,-2.26,5.01
2005.51,8.94,-4.37,1.23
2005.52,13.06,0.60,3.90
2006.01,12.48,1.05,3.09
2006.02,16.26,3.17,2.82
2006.03,13.97,0.48,3.76
2006.04,11.58,0.46,2.03
2006.05,14.63,2.07,3.09
2006.06,8.72,-3.22,1.72
2006.07,12.07,-1.18,1.30
2006.08,10.89,0.03,2.44
2006.09,15.53,0.85,0.37
2006.10,16.69,2.56,0.83
2006.11,19.85,6.34,0.47
2006.12,10.29,-0.13,4.02
2006.13,17.31,2.86,0.58
2006.14,22.67,7.18,2.60
2006.15,23.08,6.06,0.84
2006.16,25.25,10.89,4.90
2006.17,22.44,9.96,6.42
2006.18,22.62,8.73,1.84
2006.19,20.09,9.01,3.78
2006.20,22.09,8.47,3.55
2006.21,26.67,12.79,1.93
2006.22,29.17,16.32,3.00
2006.23,26.29,13.06,2.82
2006.24,27.07,15.45,9.34
2006.25,30.11,17.38,3.10
2006.26,28.39,18.19,9.80
2006.27,29.05,17.61,4.52
2006.28,29.75,18.59,2.28
2006.29,31.47,19.15,3.18
2006.30,29.83,19.61,5.44
2006.31,32.64,21.13,1.54
2006.32,30.12,20.07,6.02
2006.33,28.55,17.64,2.26
2006.34,29.44,18.64,3.69
2006.35,28.52,18.45,14.71
2006.36,26.41,16.70,5.88
2006.37,24.16,14.60,5.00
2006.38,25.04,12.65,2.04
2006.39,23.71,11.21,2.96
2006.40,24.54,10.29,1.66
2006.41,20.79,9.07,2.72
2006.42,20.31,8.28,5.75
2006.43,14.85,3.13,4.86
2006.44,18.52,3.59,0.46
2006.45,18.11,4.65,6.43
2006.46,17.43,4.99,7.96
2006.47,12.95,1.62,8.65
2006.48,20.08,5.43,2.12
2006.49,10.13,-3.60,0.55
2006.50,16.21,-0.14,0.19
2006.51,17.24,3.86,5.64
2006.52,14.02,1.40,5.02
2007.01,17.14,4.94,7.21
2007.02,13.52,0.68,3.48
2007.03,12.53,2.21,1.37
2007.04,7.99,-2.12,3.26
2007.05,6.72,-4.54,2.63
2007.06,7.06,-5.23,0.02
2007.07,8.79,-4.66,2.63
2007.08,13.24,-0.54,0.77
2007.09,15.87,2.44,8.16
2007.10,15.10,-0.19,0.01
2007.11,20.16,4.83,5.25
2007.12,19.00,4.15,0.29
2007.13,23.69,8.68,1.12
2007.14,20.31,6.22,1.32
2007.15,15.48,1.66,3.28
2007.16,19.03,5.49,6.56
2007.17,25.91,11.18,0.60
2007.18,25.32,11.64,1.51
2007.19,23.70,10.91,2.51
2007.20,23.30,9.88,1.87
2007.21,26.79,11.05,0.08
2007.22,29.28,14.40,0.70
2007.23,29.19,16.58,4.57
2007.24,26.03,14.84,2.78
2007.25,30.39,16.20,1.88
2007.26,30.60,18.73,4.00
2007.27,28.77,17.00,1.25
2007.28,29.81,18.39,4.06
2007.29,30.37,18.87,3.83
2007.30,28.59,16.39,3.40
2007.31,30.22,18.68,2.26
2007.32,34.28,21.33,1.51
2007.33,32.74,18.90,0.51
2007.34,33.30,20.03,2.07
2007.35,30.49,19.19,2.71
2007.36,30.52,16.01,0.09
2007.37,29.46,17.42,7.40
2007.38,24.62,13.32,1.17
2007.39,29.04,14.60,0.28
2007.40,26.15,14.18,1.52
2007.41,26.09,12.07,0.44
2007.42,24.73,10.97,1.36
2007.43,22.78,12.44,11.99
2007.44,19.25,4.25,0.41
2007.45,15.01,0.52,0.19
2007.46,16.25,1.92,1.78
2007.47,17.31,3.10,0.76
2007.48,14.00,1.59,1.27
2007.49,12.15,-0.31,0.39
2007.50,20.43,7.52,0.88
2007.51,9.57,-1.27,5.32
2007.52,13.54,2.71,5.62
2008.01,8.73,-2.99,3.61
2008.02,17.62,4.89,1.98
2008.03,7.73,-1.89,2.77
2008.04,5.78,-5.58,1.58
2008.05,12.25,-1.83,4.14
2008.06,17.70,3.49,1.39
2008.07,13.58,-0.86,3.09
2008.08,13.06,1.38,4.99
2008.09,11.17,-0.94,2.25
2008.10,17.31,2.98,8.63
2008.11,17.24,1.54,1.03
2008.12,16.66,3.57,4.65
2008.13,17.31,3.30,0.34
2008.14,16.59,7.64,7.02
2008.15,19.90,9.37,3.20
2008.16,19.56,3.71,0.62
2008.17,22.67,10.24,3.29
2008.18,21.77,9.03,4.46
2008.19,24.71,12.35,2.17
2008.20,21.68,9.59,3.72
2008.21,24.21,10.29,2.52
2008.22,25.29,12.60,2.46
2008.23,30.64,17.83,0.87
2008.24,32.08,19.01,1.30
2008.25,28.59,15.07,2.25
2008.26,30.29,16.90,2.93
2008.27,29.36,16.23,3.07
2008.28,28.75,18.67,7.92
2008.29,29.10,16.83,2.33
2008.30,30.33,18.17,4.09
2008.31,31.02,19.58,3.14
2008.32,31.26,18.47,1.38
2008.33,27.21,15.09,3.85
2008.34,28.47,16.83,1.03
2008.35,27.25,18.56,14.93
2008.36,28.72,16.29,6.43
2008.37,27.67,18.36,4.48
2008.38,25.08,15.56,2.51
2008.39,22.41,12.74,5.77
2008.40,23.38,10.71,1.37
2008.41,22.72,11.70,1.89
2008.42,23.97,10.46,2.02
2008.43,17.00,3.85,2.26
2008.44,16.03,1.17,0.30
2008.45,20.09,6.75,2.73
2008.46,16.22,4.48,5.99
2008.47,9.20,-2.94,0.66
2008.48,11.52,-2.03,1.13
2008.49,9.49,-1.18,3.59
2008.50,12.10,1.07,8.62
2008.51,15.38,6.17,1.62
2008.52,11.75,0.27,2.99
2008.53,13.20,0.75,1.24
2009.01,13.85,2.95,6.82
2009.02,6.22,-5.06,0.97
2009.03,6.69,-5.13,1.18
2009.04,9.61,-0.47,1.59
2009.05,8.71,-5.38,0.87
2009.06,18.49,4.25,0.71
2009.07,10.04,-2.45,3.15
2009.08,10.99,-1.44,1.62
2009.09,9.74,-2.97,6.52
2009.10,18.89,7.01,1.37
2009.11,14.37,3.65,5.22
2009.12,15.60,4.42,4.24
2009.13,18.77,7.09,4.14
2009.14,18.49,4.71,3.62
2009.15,18.38,5.03,2.24
2009.16,23.01,8.27,2.19
2009.17,26.55,12.86,0.66
2009.18,24.86,15.54,7.96
2009.19,23.58,12.26,3.13
2009.20,22.49,9.92,3.75
2009.21,26.18,16.76,7.35
2009.22,27.68,15.99,5.45
2009.23,28.42,16.93,3.97
2009.24,28.28,18.38,5.79
2009.25,30.25,18.07,1.25
2009.26,29.96,16.47,0.52
2009.27,27.46,17.18,3.12
2009.28,29.11,17.92,4.44
2009.29,27.92,17.06,3.02
2009.30,29.97,19.61,4.63
2009.31,29.56,18.57,4.49
2009.32,30.11,19.45,4.27
2009.33,30.06,19.91,3.27
2009.34,29.00,18.36,3.85
2009.35,25.79,15.49,2.54
2009.36,25.51,15.66,4.31
2009.37,25.83,16.04,3.24
2009.38,25.68,17.21,9.56
2009.39,22.99,10.30,3.42
2009.40,22.75,11.21,2.36
2009.41,17.11,9.72,3.85
2009.42,19.15,4.84,1.44
2009.43,19.31,9.37,4.07
2009.44,17.66,4.16,2.64
2009.45,17.58,6.94,17.04
2009.46,18.65,6.71,2.11
2009.47,13.30,4.14,2.57
2009.48,14.66,2.19,8.22
2009.49,9.47,-1.18,5.83
2009.50,9.63,0.06,5.90
2009.51,8.63,-2.17,5.99
2009.52,7.13,-2.56,1.62
2010.01,1.48,-8.15,0.24
2010.02,7.49,-6.85,0.14
2010.03,13.12,2.11,8.82
2010.04,10.48,-0.62,9.28
2010.05,5.96,-3.18,9.97
2010.06,4.92,-3.58,2.16
2010.07,7.23,-4.38,0.50
2010.08,10.15,-0.96,2.21
2010.09,7.85,-1.93,2.40
2010.10,17.00,3.53,4.24
2010.11,15.89,3.64,0.74
2010.12,17.98,3.85,2.75
2010.13,21.71,5.91,5.04
2010.14,25.69,10.35,2.64
2010.15,23.54,6.62,0.08
2010.16,20.92,6.60,1.24
2010.17,22.34,8.88,2.95
2010.18,27.97,15.67,2.05
2010.19,23.98,11.77,1.01
2010.20,24.34,13.73,7.91
2010.21,26.71,15.70,5.01
2010.22,28.25,18.34,4.76
2010.23,29.16,17.45,1.48
2010.24,31.41,19.61,3.73
2010.25,32.67,20.12,1.82
2010.26,29.90,18.43,2.99
2010.27,32.15,17.47,1.41
2010.28,30.74,20.17,5.37
2010.29,32.19,21.52,3.90
2010.30,31.42,21.28,4.41
2010.31,29.71,20.08,4.83
2010.32,31.87,20.93,2.36
2010.33,30.32,20.60,6.76
2010.34,28.91,18.32,4.90
2010.35,30.69,16.42,0.74
2010.36,28.28,14.35,0.54
2010.37,28.84,14.90,2.28
2010.38,30.46,15.88,0.14
2010.39,23.19,14.71,25.91
2010.40,20.84,7.21,0.20
2010.41,24.42,9.04,1.35
2010.42,22.24,5.97,0.35
2010.43,22.75,10.37,5.86
2010.44,15.40,4.41,2.29
2010.45,17.41,0.96,0.06
2010.46,16.96,2.38,1.51
2010.47,18.22,4.21,0.64
2010.48,11.38,-0.95,6.40
2010.49,4.11,-5.79,0.99
2010.50,4.33,-5.24,3.34
2010.51,6.36,-3.44,0.66
2010.52,6.65,-4.33,2.37
2011.01,8.95,-2.56,1.80
2011.02,2.18,-7.10,1.60
2011.03,8.29,-2.31,1.83
2011.04,7.74,-3.83,2.42
2011.05,11.47,0.44,5.59
2011.06,8.47,-3.83,1.70
2011.07,17.27,0.97,0.05
2011.08,16.46,1.83,1.33
2011.09,17.37,2.02,3.32
2011.10,13.92,1.48,9.54
2011.11,19.16,4.86,1.29
2011.12,20.14,7.43,1.69
2011.13,10.63,2.18,6.54
2011.14,21.40,5.22,3.23
2011.15,22.47,9.06,5.33
2011.16,23.26,10.02,2.93
2011.17,25.66,13.71,3.16
2011.18,22.43,8.20,2.81
2011.19,24.99,12.76,2.46
2011.20,22.48,11.66,2.63
2011.21,29.26,16.35,3.87
2011.22,31.14,17.49,0.43
2011.23,31.28,17.71,1.79
2011.24,28.97,16.31,3.43
2011.25,30.58,18.97,4.33
2011.26,30.89,18.04,3.64
2011.27,30.92,19.75,6.78
2011.28,30.54,19.92,1.92
2011.29,31.80,19.97,1.02
2011.30,32.84,21.05,3.62
2011.31,32.07,20.59,4.80
2011.32,31.87,20.27,3.06
2011.33,29.44,17.31,4.55
2011.34,29.81,18.08,8.61
2011.35,29.58,16.38,4.77
2011.36,27.24,17.11,7.44
2011.37,26.33,13.98,1.63
2011.38,23.03,15.85,7.61
2011.39,25.46,14.95,4.60
2011.40,20.97,6.58,0.06
2011.41,22.01,12.40,4.08
2011.42,21.63,7.24,4.53
2011.43,19.70,5.69,1.33
2011.44,15.05,1.18,5.40
2011.45,17.16,2.44,0.18
2011.46,17.62,5.05,3.55
2011.47,19.75,5.34,2.25
2011.48,15.37,2.16,6.25
2011.49,15.28,3.41,3.92
2011.50,13.92,1.71,1.15
2011.51,14.57,3.32,3.16
2011.52,12.57,-0.12,2.74
2012.01,11.54,-3.11,0.22
2012.02,12.00,2.76,4.89
2012.03,10.67,-1.12,2.90
2012.04,14.57,2.52,3.50
2012.05,15.41,0.84,0.88
2012.06,10.86,-0.41,1.78
2012.07,11.90,-0.95,1.02
2012.08,15.90,2.26,3.95
2012.09,17.05,3.82,3.41
2012.10,14.62,1.44,3.19
2012.11,22.34,7.10,1.32
2012.12,24.48,12.00,3.82
2012.13,22.55,8.93,3.94
2012.14,22.15,8.00,4.60
2012.15,19.88,3.59,0.02
2012.16,23.25,11.26,3.67
2012.17,19.37,8.26,4.95
2012.18,27.38,14.83,0.72
2012.19,23.74,11.88,5.47
2012.20,23.94,13.67,7.59
2012.21,26.69,14.73,3.20
2012.22,27.97,16.70,6.53
2012.23,25.03,12.59,1.53
2012.24,26.66,15.94,3.23
2012.25,29.53,16.88,1.80
2012.26,31.26,16.33,2.10
2012.27,34.02,20.05,3.07
2012.28,29.89,20.42,9.27
2012.29,31.14,20.50,4.33
