Week,NC.all,NC.allV%,NC.65+,NC.65+V%
2016.40,1062911,25.65,862831,27.75
2016.41,1062911,30.86,862831,33.42
2016.42,1062911,35.51,862831,38.50
2016.43,1062911,38.86,862831,42.10
2016.44,1062911,41.49,862831,44.92
2016.45,1062911,43.76,862831,47.33
2016.46,1062911,44.81,862831,48.44
2016.47,1062911,46.21,862831,49.92
2016.48,1062911,47.30,862831,51.05
2016.49,1062911,48.24,862831,52.03
2016.50,1062911,48.84,862831,52.65
2016.51,1062911,49.18,862831,53.00
2016.52,1062911,49.54,862831,53.37
2017.01,1062911,49.88,862831,53.72
2017.02,1062911,50.11,862831,53.95
2017.03,1062911,50.21,862831,54.06
2017.04,1062911,50.21,862831,54.06
2017.05,1062911,50.21,862831,54.06
