Week,D01.all,D01.allV%,D01.65+,D01.65+V%,D02.all,D02.allV%,D02.65+,D02.65+V%,D03.all,D03.allV%,D03.65+,D03.65+V%,D04.all,D04.allV%,D04.65+,D04.65+V%,D05.all,D05.allV%,D05.65+,D05.65+V%,D06.all,D06.allV%,D06.65+,D06.65+V%,D07.all,D07.allV%,D07.65+,D07.65+V%,D08.all,D08.allV%,D08.65+,D08.65+V%,D09.all,D09.allV%,D09.65+,D09.65+V%,MS.all,MS.allV%,MS.65+,MS.65+V%
2012.48,36960,42.80,28806,47.63,55143,43.30,41614,48.25,31263,33.23,22850,37.93,34763,37.07,26330,41.01,62801,40.28,50127,44.73,34414,36.11,26815,40.48,26492,38.29,20314,42.86,37457,37.36,29145,41.63,40833,35.92,32336,39.83,360126,38.73,278337,43.21
2012.49,36960,44.16,28806,49.12,55143,44.96,41614,49.99,31263,34.38,22850,39.19,34763,38.53,26330,42.58,62801,41.49,50127,46.00,34414,37.13,26815,41.56,26492,39.34,20314,44.00,37457,38.43,29145,42.78,40833,37.12,32336,41.10,360126,40.00,278337,44.56
2012.50,36960,45.10,28806,50.16,55143,45.79,41614,50.84,31263,34.92,22850,39.79,34763,39.30,26330,43.36,62801,42.17,50127,46.73,34414,37.66,26815,42.11,26492,39.94,20314,44.55,37457,38.89,29145,43.26,40833,37.72,32336,41.71,360126,40.68,278337,45.26
2012.51,36960,45.28,28806,50.35,55143,46.05,41614,51.10,31263,35.11,22850,39.97,34763,39.49,26330,43.54,62801,42.37,50127,46.92,34414,37.79,26815,42.24,26492,40.12,20314,44.72,37457,39.04,29145,43.42,40833,37.93,32336,41.90,360126,40.87,278337,45.45
2012.52,36960,45.57,28806,50.65,55143,46.38,41614,51.42,31263,35.36,22850,40.22,34763,39.72,26330,43.77,62801,42.61,50127,47.13,34414,38.06,26815,42.54,26492,40.31,20314,44.94,37457,39.21,29145,43.58,40833,38.20,32336,42.16,360126,41.12,278337,45.70
2013.01,36960,46.80,28806,51.95,55143,47.36,41614,52.45,31263,36.08,22850,41.01,34763,40.51,26330,44.56,62801,43.40,50127,47.95,34414,38.90,26815,43.45,26492,41.00,20314,45.64,37457,40.13,29145,44.59,40833,39.54,32336,43.61,360126,42.06,278337,46.69
2013.02,36960,47.46,28806,52.60,55143,47.87,41614,52.94,31263,36.53,22850,41.47,34763,40.91,26330,44.95,62801,43.91,50127,48.47,34414,39.39,26815,43.94,26492,41.51,20314,46.15,37457,40.68,29145,45.16,40833,40.35,32336,44.45,360126,42.60,278337,47.24
2013.03,36960,47.76,28806,52.92,55143,48.08,41614,53.14,31263,36.69,22850,41.62,34763,41.11,26330,45.15,62801,44.07,50127,48.63,34414,39.50,26815,44.07,26492,41.72,20314,46.35,37457,40.84,29145,45.31,40833,40.60,32336,44.71,360126,42.80,278337,47.43
2013.04,36960,47.94,28806,53.07,55143,48.21,41614,53.26,31263,36.82,22850,41.75,34763,41.22,26330,45.26,62801,44.18,50127,48.74,34414,39.62,26815,44.18,26492,41.82,20314,46.44,37457,40.91,29145,45.37,40833,40.76,32336,44.87,360126,42.92,278337,47.55
2013.05,36960,48.01,28806,53.14,55143,48.32,41614,53.34,31263,36.89,22850,41.81,34763,41.30,26330,45.32,62801,44.26,50127,48.80,34414,39.69,26815,44.24,26492,41.87,20314,46.51,37457,40.94,29145,45.39,40833,40.82,32336,44.93,360126,42.99,278337,47.61
2013.06,36960,48.05,28806,53.19,55143,48.38,41614,53.39,31263,36.94,22850,41.85,34763,41.33,26330,45.36,62801,44.30,50127,48.84,34414,39.73,26815,44.27,26492,41.90,20314,46.53,37457,40.96,29145,45.39,40833,40.85,32336,44.96,360126,43.03,278337,47.65
2013.07,36960,48.09,28806,53.22,55143,48.42,41614,53.43,31263,36.97,22850,41.90,34763,41.38,26330,45.39,62801,44.34,50127,48.88,34414,39.76,26815,44.29,26492,41.92,20314,46.56,37457,40.96,29145,45.39,40833,40.88,32336,44.99,360126,43.06,278337,47.68
2013.08,36960,48.10,28806,53.23,55143,48.44,41614,53.45,31263,37.02,22850,41.93,34763,41.40,26330,45.41,62801,44.36,50127,48.89,34414,39.78,26815,44.31,26492,41.95,20314,46.57,37457,40.97,29145,45.40,40833,40.90,32336,45.01,360126,43.09,278337,47.69
2013.09,36960,48.11,28806,53.23,55143,48.46,41614,53.47,31263,37.03,22850,41.94,34763,41.41,26330,45.43,62801,44.39,50127,48.91,34414,39.80,26815,44.32,26492,41.96,20314,46.58,37457,40.97,29145,45.40,40833,40.93,32336,45.04,360126,43.10,278337,47.71
2013.10,36960,48.13,28806,53.24,55143,48.48,41614,53.47,31263,37.04,22850,41.94,34763,41.43,26330,45.44,62801,44.40,50127,48.93,34414,39.80,26815,44.32,26492,41.98,20314,46.59,37457,40.97,29145,45.40,40833,40.96,32336,45.06,360126,43.12,278337,47.72
2013.11,36960,48.15,28806,53.26,55143,48.49,41614,53.48,31263,37.06,22850,41.96,34763,41.44,26330,45.46,62801,44.42,50127,48.94,34414,39.81,26815,44.34,26492,41.99,20314,46.60,37457,40.98,29145,45.41,40833,40.98,32336,45.09,360126,43.13,278337,47.73
2013.12,36960,48.15,28806,53.26,55143,48.50,41614,53.50,31263,37.07,22850,41.97,34763,41.46,26330,45.47,62801,44.44,50127,48.95,34414,39.81,26815,44.34,26492,41.99,20314,46.60,37457,40.98,29145,45.41,40833,41.00,32336,45.11,360126,43.14,278337,47.74
2013.13,36960,48.16,28806,53.26,55143,48.51,41614,53.50,31263,37.07,22850,41.97,34763,41.47,26330,45.48,62801,44.46,50127,48.97,34414,39.81,26815,44.34,26492,42.00,20314,46.60,37457,40.98,29145,45.42,40833,41.00,32336,45.11,360126,43.15,278337,47.75
2013.14,36960,48.16,28806,53.26,55143,48.52,41614,53.51,31263,37.08,22850,41.97,34763,41.48,26330,45.48,62801,44.46,50127,48.98,34414,39.81,26815,44.34,26492,42.00,20314,46.60,37457,40.99,29145,45.42,40833,41.01,32336,45.12,360126,43.15,278337,47.75
2013.15,36960,48.16,28806,53.26,55143,48.52,41614,53.52,31263,37.08,22850,41.97,34763,41.48,26330,45.49,62801,44.47,50127,48.98,34414,39.82,26815,44.34,26492,42.00,20314,46.60,37457,40.99,29145,45.42,40833,41.02,32336,45.12,360126,43.16,278337,47.75
2013.16,36960,48.16,28806,53.26,55143,48.52,41614,53.52,31263,37.08,22850,41.98,34763,41.48,26330,45.49,62801,44.47,50127,48.98,34414,39.82,26815,44.34,26492,42.00,20314,46.60,37457,40.99,29145,45.42,40833,41.02,32336,45.12,360126,43.16,278337,47.76
2013.17,36960,48.16,28806,53.26,55143,48.52,41614,53.52,31263,37.08,22850,41.98,34763,41.48,26330,45.49,62801,44.47,50127,48.99,34414,39.82,26815,44.34,26492,42.00,20314,46.60,37457,40.99,29145,45.42,40833,41.02,32336,45.13,360126,43.16,278337,47.76
2013.18,36960,48.16,28806,53.26,55143,48.52,41614,53.52,31263,37.08,22850,41.98,34763,41.48,26330,45.49,62801,44.47,50127,48.99,34414,39.82,26815,44.34,26492,42.00,20314,46.60,37457,40.99,29145,45.42,40833,41.02,32336,45.13,360126,43.16,278337,47.76
2013.19,36960,48.16,28806,53.26,55143,48.53,41614,53.52,31263,37.08,22850,41.98,34763,41.48,26330,45.49,62801,44.48,50127,48.99,34414,39.82,26815,44.34,26492,42.01,20314,46.60,37457,40.99,29145,45.42,40833,41.02,32336,45.13,360126,43.16,278337,47.76
2013.20,36960,48.16,28806,53.26,55143,48.53,41614,53.52,31263,37.08,22850,41.98,34763,41.49,26330,45.49,62801,44.48,50127,48.99,34414,39.83,26815,44.35,26492,42.01,20314,46.60,37457,40.99,29145,45.42,40833,41.03,32336,45.13,360126,43.17,278337,47.76
2013.21,36960,48.17,28806,53.26,55143,48.53,41614,53.52,31263,37.08,22850,41.98,34763,41.49,26330,45.50,62801,44.48,50127,48.99,34414,39.83,26815,44.35,26492,42.01,20314,46.60,37457,40.99,29145,45.42,40833,41.03,32336,45.13,360126,43.17,278337,47.76
2013.22,36960,48.17,28806,53.26,55143,48.53,41614,53.52,31263,37.08,22850,41.98,34763,41.49,26330,45.50,62801,44.48,50127,48.99,34414,39.84,26815,44.36,26492,42.01,20314,46.60,37457,40.99,29145,45.42,40833,41.03,32336,45.13,360126,43.17,278337,47.76
2013.23,36960,48.17,28806,53.26,55143,48.53,41614,53.52,31263,37.09,22850,41.99,34763,41.49,26330,45.50,62801,44.49,50127,49.00,34414,39.84,26815,44.36,26492,42.01,20314,46.60,37457,40.99,29145,45.42,40833,41.03,32336,45.14,360126,43.17,278337,47.76
2013.24,36960,48.17,28806,53.26,55143,48.53,41614,53.52,31263,37.09,22850,41.99,34763,41.49,26330,45.50,62801,44.49,50127,49.01,34414,39.84,26815,44.36,26492,42.01,20314,46.60,37457,40.99,29145,45.42,40833,41.03,32336,45.14,360126,43.17,278337,47.77
2013.25,36960,48.17,28806,53.26,55143,48.53,41614,53.52,31263,37.09,22850,41.99,34763,41.49,26330,45.50,62801,44.49,50127,49.01,34414,39.84,26815,44.36,26492,42.01,20314,46.60,37457,40.99,29145,45.42,40833,41.03,32336,45.14,360126,43.17,278337,47.77
2013.26,36960,48.17,28806,53.26,55143,48.53,41614,53.52,31263,37.09,22850,41.99,34763,41.49,26330,45.50,62801,44.49,50127,49.01,34414,39.85,26815,44.36,26492,42.01,20314,46.60,37457,40.99,29145,45.42,40833,41.03,32336,45.14,360126,43.17,278337,47.77
2013.27,36960,48.17,28806,53.26,55143,48.53,41614,53.52,31263,37.09,22850,41.99,34763,41.49,26330,45.50,62801,44.49,50127,49.01,34414,39.85,26815,44.36,26492,42.02,20314,46.61,37457,40.99,29145,45.42,40833,41.03,32336,45.14,360126,43.17,278337,47.77
2013.28,36960,48.17,28806,53.26,55143,48.53,41614,53.52,31263,37.09,22850,41.99,34763,41.49,26330,45.50,62801,44.49,50127,49.01,34414,39.85,26815,44.36,26492,42.02,20314,46.61,37457,40.99,29145,45.43,40833,41.03,32336,45.14,360126,43.17,278337,47.77
2013.29,36960,48.17,28806,53.26,55143,48.53,41614,53.52,31263,37.09,22850,41.99,34763,41.49,26330,45.50,62801,44.49,50127,49.01,34414,39.85,26815,44.36,26492,42.02,20314,46.61,37457,40.99,29145,45.43,40833,41.03,32336,45.14,360126,43.17,278337,47.77
2013.30,36960,48.17,28806,53.26,55143,48.53,41614,53.52,31263,37.09,22850,41.99,34763,41.49,26330,45.50,62801,44.49,50127,49.01,34414,39.85,26815,44.36,26492,42.02,20314,46.61,37457,40.99,29145,45.43,40833,41.03,32336,45.14,360126,43.17,278337,47.77
2013.31,36960,48.17,28806,53.26,55143,48.53,41614,53.53,31263,37.09,22850,41.99,34763,41.49,26330,45.50,62801,44.49,50127,49.01,34414,39.85,26815,44.36,26492,42.02,20314,46.61,37457,40.99,29145,45.43,40833,41.03,32336,45.14,360126,43.17,278337,47.77
2013.32,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
2013.33,0,0.00,0,0.00,4433,0.25,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,4893,0.41,0,0.00,10899,0.13,0,0.00,29985,0.16,0,0.00,50210,0.19,0,0.00
2013.34,15347,0.27,0,0.00,22489,0.30,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,49970,0.13,0,0.00,11355,0.14,0,0.00,16124,0.73,0,0.00,20783,0.21,0,0.00,49288,0.63,23858,0.86,185356,0.36,23858,0.86
2013.35,30739,0.90,13067,1.23,48727,0.57,17407,0.46,23243,0.51,2238,0.94,24531,0.39,0,0.00,63520,0.78,40154,0.74,23185,0.43,2514,0.68,19025,1.42,7895,1.84,24458,0.77,7734,1.16,52701,1.49,35529,1.60,310129,0.84,126538,1.09
2013.36,37760,2.01,19456,2.79,57997,1.82,36376,2.14,30972,1.20,4700,2.41,34763,1.37,10268,2.12,63520,2.08,40154,2.36,34129,0.85,11533,0.83,23747,2.72,14719,3.44,37212,1.35,16431,2.10,55241,2.94,39346,3.37,375341,1.88,192983,2.52
2013.37,38978,4.30,24285,5.50,57997,3.74,42592,4.06,32400,2.30,16888,2.98,36829,2.97,23928,3.37,64330,4.14,50619,4.44,35566,1.76,18040,2.26,25920,4.72,14719,6.39,37212,2.32,19320,3.15,55241,4.49,41999,5.01,384473,3.52,252390,4.23
2013.38,38978,7.46,29354,8.23,57997,6.86,43424,7.49,32400,4.38,22512,4.86,36829,5.40,26298,5.91,65395,7.40,50619,8.27,35566,3.70,24202,4.29,27300,7.45,15507,10.27,39096,4.84,25690,5.89,55241,7.12,41999,8.05,388802,6.25,279605,7.16
2013.39,38978,12.05,30208,13.17,57997,11.42,43424,12.41,32400,7.18,23516,7.81,36829,9.26,27708,9.81,65395,12.20,50619,13.75,35566,7.02,27630,7.72,27300,11.77,18184,13.98,39096,9.07,30333,10.18,55241,11.15,43946,12.25,388802,10.40,295568,11.51
2013.40,38978,17.70,30208,19.58,57997,17.23,43424,18.94,32400,11.12,23516,12.18,36829,13.94,27708,15.04,65395,18.24,51975,20.24,35566,10.97,27630,12.19,27300,17.10,20863,18.86,39096,14.26,30333,15.69,55241,15.22,43946,16.73,388802,15.46,299603,17.06
2013.41,38978,22.93,30208,25.65,57997,22.58,43424,24.92,32400,15.23,23516,16.88,36829,19.34,27708,21.08,65395,23.50,51975,26.12,35566,15.16,27630,16.92,27300,22.00,20863,24.42,39096,18.88,30333,20.86,55241,19.65,43946,21.67,388802,20.34,299603,22.56
2013.42,38978,28.60,30208,32.02,57997,28.95,43424,32.19,32400,19.61,23516,22.00,36829,24.54,27708,26.91,65531,28.49,51975,31.75,35566,20.45,27630,22.68,27300,26.77,20863,29.93,39096,24.26,30333,26.86,55241,24.05,43946,26.55,388938,25.54,299603,28.41
2013.43,38978,32.49,30208,36.44,57997,33.61,43424,37.53,32400,23.02,23516,26.03,36829,28.78,27708,31.66,65531,32.49,51975,36.16,35566,24.45,27630,27.21,27300,30.58,20863,34.26,39096,28.49,30333,31.68,55241,27.44,43946,30.29,388938,29.53,299603,32.90
2013.44,38978,35.83,30208,40.15,57997,38.12,43424,42.49,32400,27.02,23516,30.71,36829,32.34,27708,35.72,65531,35.56,51975,39.49,35566,27.65,27630,30.72,27300,33.62,20863,37.59,39096,32.07,30333,35.66,55241,30.23,43946,33.33,388938,32.99,299603,36.72
2013.45,38978,38.36,30208,42.84,57997,41.01,43424,45.61,32400,30.45,23516,34.70,36829,35.29,27708,38.85,65531,37.68,51975,41.81,35566,30.00,27630,33.39,27300,35.47,20863,39.61,39096,34.55,30333,38.30,55241,32.30,43946,35.60,388938,35.48,299603,39.44
2013.46,38978,40.27,30208,44.94,57997,43.27,43424,48.03,32400,32.42,23516,36.91,36829,37.16,27708,40.90,65531,39.28,51975,43.58,35566,32.30,27630,35.98,27300,36.96,20863,41.20,39096,36.33,30333,40.23,55241,33.82,43946,37.23,388938,37.33,299603,41.45
2013.47,38978,41.11,30208,45.86,57997,44.19,43424,49.01,32400,33.29,23516,37.93,36829,37.92,27708,41.70,65531,39.96,51975,44.30,35566,32.92,27630,36.65,27300,37.66,20863,41.94,39096,37.01,30333,40.93,55241,34.46,43946,37.91,388938,38.07,299603,42.25
2013.48,38978,42.11,30208,46.96,57997,45.49,43424,50.39,32400,34.11,23516,38.84,36829,39.00,27708,42.84,65531,41.03,51975,45.48,35566,34.09,27630,37.88,27300,38.77,20863,43.07,39096,38.44,30333,42.49,55241,35.41,43946,38.90,388938,39.18,299603,43.44
2013.49,38978,42.98,30208,47.89,57997,46.49,43424,51.46,32400,34.91,23516,39.72,36829,39.78,27708,43.67,65531,41.83,51975,46.31,35566,35.20,27630,39.05,27300,39.48,20863,43.85,39096,39.20,30333,43.28,55241,36.08,43946,39.63,388938,40.02,299603,44.33
2013.50,38978,43.71,30208,48.66,57997,47.48,43424,52.45,32400,35.54,23516,40.38,36829,40.55,27708,44.47,65531,42.52,51975,47.03,35566,35.92,27630,39.84,27300,40.07,20863,44.48,39096,39.74,30333,43.81,55241,36.69,43946,40.26,388938,40.73,299603,45.06
2013.51,38978,44.07,30208,49.04,57997,47.81,43424,52.82,32400,35.74,23516,40.63,36829,40.76,27708,44.69,65531,42.82,51975,47.34,35566,36.15,27630,40.07,27300,40.29,20863,44.70,39096,39.95,30333,44.04,55241,37.00,43946,40.58,388938,41.00,299603,45.36
2013.52,38978,44.67,30208,49.67,57997,48.38,43424,53.38,32400,36.05,23516,40.98,36829,41.22,27708,45.13,65531,43.29,51975,47.86,35566,36.56,27630,40.53,27300,40.76,20863,45.16,39096,40.36,30333,44.49,55241,37.42,43946,41.02,388938,41.47,299603,45.84
2014.01,38978,45.26,30208,50.29,57997,48.93,43424,53.95,32400,36.42,23516,41.40,36829,41.67,27708,45.56,65531,43.76,51975,48.35,35566,37.00,27630,40.97,27300,41.24,20863,45.66,39096,40.77,30333,44.94,55241,37.92,43946,41.55,388938,41.95,299603,46.34
2014.02,38978,45.75,30208,50.79,57997,49.38,43424,54.38,32400,36.77,23516,41.75,36829,41.99,27708,45.88,65531,44.26,51975,48.89,35566,37.47,27630,41.49,27300,41.57,20863,45.99,39096,41.21,30333,45.34,55241,38.40,43946,42.03,388938,42.39,299603,46.79
2014.03,38978,46.03,30208,51.08,57997,49.70,43424,54.69,32400,36.94,23516,41.92,36829,42.21,27708,46.08,65531,44.49,51975,49.12,35566,37.75,27630,41.76,27300,41.84,20863,46.26,39096,41.45,30333,45.57,55241,38.68,43946,42.31,388938,42.64,299603,47.04
2014.04,38978,46.20,30208,51.26,57997,49.88,43424,54.85,32400,37.05,23516,42.01,36829,42.30,27708,46.15,65531,44.60,51975,49.22,35566,37.81,27630,41.82,27300,41.92,20863,46.34,39096,41.50,30333,45.62,55241,38.80,43946,42.41,388938,42.76,299603,47.15
2014.05,38978,46.31,30208,51.37,57997,50.05,43424,54.99,32400,37.14,23516,42.10,36829,42.41,27708,46.24,65531,44.68,51975,49.30,35566,37.93,27630,41.94,27300,42.04,20863,46.46,39096,41.57,30333,45.68,55241,38.93,43946,42.54,388938,42.87,299603,47.25
2014.06,38978,46.37,30208,51.43,57997,50.10,43424,55.04,32400,37.20,23516,42.16,36829,42.46,27708,46.27,65531,44.74,51975,49.36,35566,38.02,27630,42.04,27300,42.12,20863,46.55,39096,41.62,30333,45.72,55241,39.02,43946,42.62,388938,42.93,299603,47.31
2014.07,38978,46.42,30208,51.46,57997,50.17,43424,55.09,32400,37.23,23516,42.18,36829,42.50,27708,46.31,65531,44.80,51975,49.41,35566,38.05,27630,42.06,27300,42.17,20863,46.59,39096,41.67,30333,45.77,55241,39.08,43946,42.68,388938,42.99,299603,47.36
2014.08,38978,46.44,30208,51.48,57997,50.21,43424,55.13,32400,37.25,23516,42.19,36829,42.54,27708,46.35,65531,44.83,51975,49.44,35566,38.08,27630,42.08,27300,42.20,20863,46.62,39096,41.68,30333,45.78,55241,39.13,43946,42.72,388938,43.02,299603,47.38
2014.09,38978,46.46,30208,51.48,57997,50.24,43424,55.16,32400,37.27,23516,42.20,36829,42.56,27708,46.37,65531,44.86,51975,49.45,35566,38.10,27630,42.10,27300,42.22,20863,46.63,39096,41.71,30333,45.81,55241,39.15,43946,42.75,388938,43.04,299603,47.40
2014.10,38978,46.47,30208,51.50,57997,50.25,43424,55.18,32400,37.29,23516,42.22,36829,42.59,27708,46.40,65531,44.87,51975,49.46,35566,38.12,27630,42.11,27300,42.26,20863,46.67,39096,41.73,30333,45.82,55241,39.18,43946,42.78,388938,43.06,299603,47.42
2014.11,38978,46.48,30208,51.50,57997,50.27,43424,55.19,32400,37.30,23516,42.23,36829,42.61,27708,46.42,65531,44.89,51975,49.47,35566,38.13,27630,42.12,27300,42.28,20863,46.69,39096,41.74,30333,45.82,55241,39.22,43946,42.81,388938,43.08,299603,47.44
2014.12,38978,46.50,30208,51.53,57997,50.30,43424,55.21,32400,37.31,23516,42.24,36829,42.62,27708,46.42,65531,44.90,51975,49.48,35566,38.14,27630,42.12,27300,42.30,20863,46.69,39096,41.76,30333,45.84,55241,39.25,43946,42.83,388938,43.10,299603,47.45
2014.13,38978,46.51,30208,51.54,57997,50.31,43424,55.22,32400,37.32,23516,42.24,36829,42.63,27708,46.43,65531,44.91,51975,49.49,35566,38.15,27630,42.13,27300,42.31,20863,46.71,39096,41.76,30333,45.84,55241,39.26,43946,42.84,388938,43.11,299603,47.46
2014.14,38978,46.51,30208,51.54,57997,50.31,43424,55.22,32400,37.32,23516,42.24,36829,42.65,27708,46.43,65531,44.91,51975,49.50,35566,38.15,27630,42.13,27300,42.31,20863,46.71,39096,41.77,30333,45.84,55241,39.27,43946,42.85,388938,43.11,299603,47.46
2014.15,38978,46.51,30208,51.54,57997,50.32,43424,55.23,32400,37.32,23516,42.25,36829,42.65,27708,46.43,65531,44.91,51975,49.50,35566,38.16,27630,42.13,27300,42.32,20863,46.72,39096,41.77,30333,45.84,55241,39.27,43946,42.86,388938,43.12,299603,47.47
2014.16,38978,46.52,30208,51.54,57997,50.32,43424,55.23,32400,37.32,23516,42.25,36829,42.65,27708,46.43,65531,44.92,51975,49.50,35566,38.16,27630,42.13,27300,42.32,20863,46.72,39096,41.77,30333,45.84,55241,39.28,43946,42.86,388938,43.12,299603,47.47
2014.17,38978,46.52,30208,51.54,57997,50.32,43424,55.23,32400,37.32,23516,42.25,36829,42.66,27708,46.44,65531,44.93,51975,49.51,35566,38.16,27630,42.13,27300,42.33,20863,46.73,39096,41.77,30333,45.84,55241,39.28,43946,42.87,388938,43.12,299603,47.47
2014.18,38978,46.52,30208,51.54,57997,50.32,43424,55.23,32400,37.32,23516,42.25,36829,42.66,27708,46.44,65531,44.93,51975,49.51,35566,38.16,27630,42.13,27300,42.33,20863,46.73,39096,41.77,30333,45.85,55241,39.28,43946,42.87,388938,43.12,299603,47.47
2014.19,38978,46.52,30208,51.54,57997,50.32,43424,55.23,32400,37.32,23516,42.25,36829,42.66,27708,46.44,65531,44.93,51975,49.51,35566,38.16,27630,42.13,27300,42.33,20863,46.73,39096,41.77,30333,45.85,55241,39.28,43946,42.87,388938,43.12,299603,47.47
2014.20,38978,46.52,30208,51.55,57997,50.32,43424,55.23,32400,37.32,23516,42.25,36829,42.66,27708,46.44,65531,44.94,51975,49.51,35566,38.16,27630,42.13,27300,42.33,20863,46.73,39096,41.77,30333,45.85,55241,39.28,43946,42.87,388938,43.12,299603,47.47
