Week,R01.%ILI,R03.%ILI,R04.%ILI,R05.%ILI,R06.%ILI,R07.%ILI,R08.%ILI,R09.%ILI,R10.%ILI,R02.%ILI,USA.%ILI
1998.07,05.12,01.02,03.92,01.73,03.22,04.67,03.10,01.99,02.81,03.94,03.11
1998.08,02.59,02.11,02.42,01.11,02.23,04.03,02.61,01.91,02.32,02.41,02.14
1998.09,01.58,01.13,02.09,00.82,01.31,02.33,01.69,01.92,01.51,02.76,01.44
1998.10,00.65,01.69,02.27,00.74,02.02,02.42,00.76,01.07,01.57,02.45,01.48
1998.11,00.33,02.12,01.85,00.61,01.44,01.26,01.19,00.87,01.03,01.94,01.09
1998.12,00.32,03.50,01.91,00.57,00.99,00.48,00.17,00.00,01.64,01.36,01.00
1998.13,00.26,02.85,01.71,00.40,00.84,00.16,00.43,00.92,00.86,01.46,00.74
1998.14,00.24,03.15,01.85,00.36,01.07,00.00,00.55,01.00,00.97,01.68,00.86
1998.15,00.12,00.53,01.27,00.26,00.62,00.37,00.96,00.48,00.90,01.91,00.62
1998.16,00.15,00.71,02.05,00.36,00.72,00.33,00.45,01.48,00.75,00.97,00.67
1998.17,00.07,02.55,00.83,00.51,00.81,00.00,00.63,00.42,01.06,01.47,00.69
1998.18,00.13,00.79,00.72,00.45,00.73,00.00,00.59,00.23,00.78,00.84,00.58
1998.19,00.10,00.48,00.81,00.29,00.60,00.00,00.59,00.00,01.18,01.12,00.58
1998.20,00.06,00.46,01.01,00.33,00.61,00.00,00.19,00.00,01.61,01.10,00.61
1998.40,00.51,10.85,00.90,00.43,00.56,00.06,00.53,00.81,01.65,00.45,00.70
1998.41,00.43,08.59,00.71,00.84,00.75,00.11,00.89,00.91,01.30,00.90,00.78
1998.42,00.59,06.48,00.88,00.58,00.71,00.61,01.14,01.45,01.46,00.99,00.90
1998.43,00.36,00.00,01.05,00.84,01.54,00.30,01.77,01.28,01.32,01.30,01.14
1998.44,00.52,10.96,02.20,00.87,00.51,00.87,01.15,01.07,01.88,00.91,01.02
1998.45,00.77,06.25,01.85,01.20,00.56,00.51,01.02,00.96,01.87,00.58,01.00
1998.46,00.76,05.84,01.84,01.20,00.66,00.59,01.31,01.59,01.86,00.88,01.14
1998.47,00.66,05.17,02.99,01.37,01.69,00.64,01.08,01.02,02.08,00.98,01.45
1998.48,00.72,06.52,01.77,01.14,00.98,00.68,01.21,01.03,01.74,00.94,01.14
1998.49,00.77,02.22,01.68,01.12,01.16,00.53,01.70,00.87,01.75,01.10,01.16
1998.50,00.49,03.96,01.64,01.32,00.86,00.67,02.04,00.74,02.34,00.82,01.17
1998.51,01.07,00.00,02.32,01.82,00.93,00.58,01.78,01.15,03.18,01.30,01.49
1998.52,01.14,02.19,02.03,01.51,01.65,01.52,01.65,00.99,04.25,01.47,01.84
1999.01,01.19,02.56,01.79,01.48,01.02,01.25,01.36,01.70,04.90,02.12,01.82
1999.02,02.03,04.05,03.65,02.37,01.69,04.22,01.20,01.93,04.44,02.55,02.54
1999.03,02.39,06.64,03.92,04.00,02.88,02.48,02.86,03.70,06.81,02.15,03.62
1999.04,02.52,07.16,04.75,03.78,04.09,03.04,03.33,04.56,06.00,04.26,04.08
1999.05,05.88,06.50,04.46,04.19,06.34,03.70,05.75,04.20,05.47,02.54,05.08
1999.06,05.84,06.41,05.86,03.67,07.00,02.74,05.13,03.86,04.97,04.10,05.05
1999.07,05.40,04.52,05.47,03.26,06.92,03.92,05.02,02.88,03.77,03.54,04.69
1999.08,05.60,05.47,06.21,03.34,05.55,03.27,03.87,02.54,04.00,02.74,04.23
1999.09,04.86,04.30,05.26,03.12,04.86,04.69,03.24,02.38,04.24,03.94,04.02
1999.10,02.87,04.01,04.41,03.13,02.97,02.15,02.57,01.93,04.16,02.23,02.99
1999.11,01.95,03.54,05.13,01.77,02.93,01.52,02.91,01.14,02.82,02.22,02.38
1999.12,01.71,04.86,03.83,01.71,01.55,02.50,01.48,00.98,03.68,02.51,02.02
1999.13,00.82,02.61,02.25,00.95,01.08,01.00,01.35,00.77,04.15,01.93,01.38
1999.14,00.62,00.00,01.86,00.65,00.65,00.26,00.65,00.61,02.80,01.80,00.88
1999.15,00.34,02.89,01.73,00.36,00.39,00.28,00.68,00.62,01.38,01.06,00.61
1999.16,00.34,00.00,01.28,00.37,00.19,00.08,00.65,00.28,00.92,01.26,00.42
1999.17,00.48,00.00,01.25,00.24,00.23,00.11,00.69,00.37,02.56,01.38,00.62
1999.18,00.16,11.93,01.16,00.14,00.11,00.01,00.56,00.47,00.69,00.31,00.30
1999.19,00.22,04.37,01.76,00.18,00.11,00.02,00.56,00.30,02.21,00.67,00.52
1999.20,00.02,11.82,01.61,00.19,00.21,00.00,00.60,00.14,02.17,00.70,00.53
1999.40,00.27,00.00,01.50,01.15,00.50,00.66,01.11,01.06,01.95,01.95,00.98
1999.41,00.53,05.04,01.52,01.28,00.49,00.87,01.38,01.15,02.00,01.38,01.07
1999.42,00.30,05.75,01.92,01.28,00.67,00.30,01.10,00.47,02.24,01.14,00.94
1999.43,00.44,04.80,01.50,01.18,00.79,00.33,01.35,00.72,02.53,00.91,01.02
1999.44,00.73,02.68,01.27,01.42,00.66,00.82,01.26,00.63,03.14,00.88,01.19
1999.45,00.58,04.36,01.25,01.43,00.87,00.87,01.16,00.57,03.11,01.19,01.24
1999.46,00.64,01.89,01.36,01.60,00.89,01.05,00.84,01.10,02.49,01.68,01.29
1999.47,00.95,02.00,01.10,01.75,01.04,01.76,00.93,01.29,03.68,02.27,01.69
1999.48,01.09,01.33,01.53,01.51,01.22,02.75,01.64,01.53,03.15,02.31,01.74
1999.49,01.48,02.70,01.68,01.91,01.53,03.47,02.15,03.16,03.80,03.33,02.34
1999.50,01.92,02.46,01.92,02.33,03.09,02.60,03.95,03.54,03.85,03.05,02.93
1999.51,02.58,03.42,03.89,03.91,04.28,03.31,05.57,06.94,05.89,05.27,04.42
1999.52,03.75,04.07,04.13,05.41,05.98,04.35,08.43,07.09,06.49,04.91,05.65
2000.01,04.39,05.91,05.94,05.11,04.93,05.69,06.15,05.13,05.03,03.83,05.15
2000.02,04.62,02.79,04.83,04.28,03.52,03.43,05.16,03.17,03.65,04.48,03.90
2000.03,02.70,03.53,04.36,03.61,02.34,01.58,03.59,02.04,03.76,03.26,02.91
2000.04,01.93,01.75,04.24,02.87,01.69,00.93,02.26,01.29,02.93,03.15,02.16
2000.05,01.38,02.19,03.24,02.18,01.38,00.79,01.54,01.45,02.90,02.45,01.81
2000.06,00.98,02.52,02.35,01.75,01.41,00.42,01.41,01.15,03.00,02.55,01.62
2000.07,00.83,01.58,02.12,01.20,00.86,00.33,01.38,00.83,02.90,00.55,01.27
2000.08,00.74,01.18,02.24,00.93,00.62,00.19,00.85,00.57,03.12,00.62,01.14
2000.09,00.46,02.51,01.97,01.12,00.88,00.28,00.63,00.79,02.89,00.40,01.24
2000.10,00.36,01.70,02.04,00.89,00.72,00.17,00.59,00.36,02.49,00.31,01.02
2000.11,00.62,02.46,01.70,00.67,00.58,00.26,00.78,00.37,02.05,00.00,00.93
2000.12,00.36,01.01,01.66,00.67,00.51,00.18,00.86,00.43,02.31,00.28,00.91
2000.13,00.23,01.88,01.65,00.60,00.46,00.08,00.59,00.38,02.04,00.00,00.82
2000.14,00.22,01.91,01.83,00.48,00.40,00.23,00.63,00.42,01.77,00.20,00.73
2000.15,00.16,01.08,01.13,00.54,00.34,00.03,00.49,00.34,01.58,00.16,00.58
2000.16,00.16,00.64,01.11,00.66,00.31,00.08,00.58,00.08,00.71,00.21,00.45
2000.17,00.17,01.21,00.75,00.62,00.29,00.07,00.81,00.27,00.62,00.00,00.44
2000.18,00.16,00.64,00.92,00.80,00.32,00.08,00.56,00.00,00.59,00.00,00.44
2000.19,00.08,00.91,00.89,00.41,00.30,00.05,00.72,00.17,00.39,00.23,00.35
2000.20,00.06,00.00,00.89,00.53,00.24,00.03,00.62,00.00,00.94,00.00,00.37
2000.40,00.58,02.72,00.41,01.43,01.27,00.95,01.65,00.04,02.66,00.29,01.23
2000.41,00.65,02.36,01.02,01.16,01.08,00.23,01.83,00.47,01.91,02.58,01.06
2000.42,00.46,03.15,01.60,01.56,01.13,00.38,01.19,00.54,01.90,01.12,01.16
2000.43,00.31,03.18,02.00,01.74,01.10,00.43,01.52,00.41,01.52,02.98,01.23
2000.44,00.38,01.40,01.30,01.77,00.98,00.28,00.62,00.61,02.67,02.77,01.24
2000.45,00.56,01.61,01.10,02.01,01.33,00.31,01.23,00.68,02.90,02.11,01.43
2000.46,00.59,01.45,02.05,02.14,00.99,00.41,01.27,01.08,02.55,01.72,01.49
2000.47,00.70,02.18,03.44,02.49,01.40,00.31,01.54,01.44,02.67,01.77,01.84
2000.48,00.73,01.80,01.89,02.13,01.29,00.63,00.63,01.20,02.56,01.90,01.60
2000.49,01.34,02.35,01.64,02.08,01.24,00.74,01.30,01.01,03.14,01.49,01.73
2000.50,00.70,01.58,01.76,02.75,01.65,01.23,01.44,01.12,03.52,03.41,02.05
2000.51,00.87,00.97,01.97,03.34,01.90,03.06,01.03,01.50,03.66,03.80,02.41
2000.52,01.89,01.80,02.56,03.44,02.81,03.49,01.57,02.71,06.33,06.78,03.38
2001.01,02.37,02.18,02.66,03.49,02.39,04.76,01.11,02.73,04.90,03.91,03.23
2001.02,02.37,01.71,02.52,03.27,02.48,03.33,02.00,03.22,05.01,05.59,03.12
2001.03,02.83,03.09,03.88,04.32,03.19,03.10,03.32,04.02,04.99,04.74,03.80
2001.04,03.83,03.50,03.60,05.02,04.05,03.26,03.56,04.10,04.38,04.53,04.19
2001.05,04.35,04.18,04.77,04.44,04.15,01.86,03.11,04.03,03.87,04.22,03.99
2001.06,03.71,02.94,04.73,04.21,03.87,01.10,02.75,03.24,03.81,04.64,03.61
2001.07,02.81,02.06,04.06,03.14,02.99,01.07,01.89,02.71,03.23,02.91,02.81
2001.08,02.50,01.95,03.53,02.63,02.71,00.72,01.83,02.38,02.79,02.43,02.42
2001.09,01.57,00.93,02.03,01.36,02.52,00.67,01.44,01.54,02.50,02.76,01.73
2001.10,01.23,00.92,02.14,01.93,02.12,00.19,01.16,01.58,01.87,03.60,01.64
2001.11,00.68,00.69,01.61,01.77,01.48,00.21,00.69,01.28,01.90,03.90,01.36
2001.12,00.84,00.66,01.83,01.81,01.50,00.07,00.95,00.94,01.80,01.85,01.39
2001.13,00.49,00.57,01.64,01.79,01.09,00.11,00.74,00.54,02.02,01.80,01.22
2001.14,00.49,00.43,01.43,01.64,00.96,00.11,00.83,00.65,01.68,02.02,01.12
2001.15,00.55,00.37,01.27,01.37,00.54,00.36,00.67,00.23,01.79,01.08,00.94
2001.16,00.46,00.46,01.36,01.24,00.59,00.23,00.56,00.58,01.75,01.51,00.94
2001.17,00.20,00.40,01.12,01.02,00.40,00.04,00.65,00.54,01.27,02.24,00.74
2001.18,00.38,00.35,01.26,01.07,00.39,00.00,00.51,00.55,01.16,01.87,00.74
2001.19,00.42,00.47,01.28,01.11,00.38,00.33,00.55,00.48,00.87,02.01,00.73
2001.20,00.69,00.52,00.74,01.21,00.25,00.04,00.77,00.00,00.83,00.00,00.67
2001.40,00.59,00.89,01.90,00.75,00.95,00.28,01.65,00.23,02.00,00.62,01.00
2001.41,00.72,01.07,02.11,00.95,01.11,00.36,01.14,00.64,01.95,01.06,01.10
2001.42,00.89,01.06,01.93,00.97,01.13,00.38,01.11,00.65,02.30,00.99,01.17
2001.43,00.93,01.32,02.12,00.96,01.39,00.40,01.27,00.61,02.32,00.59,01.26
2001.44,00.80,01.20,01.84,01.45,01.29,00.33,01.57,00.40,02.31,01.72,01.30
2001.45,00.73,01.34,01.73,01.07,01.54,00.38,01.29,00.51,01.88,01.18,01.22
2001.46,00.50,01.16,01.58,01.09,01.36,00.40,01.31,00.54,03.79,00.64,01.34
2001.47,00.78,01.14,01.82,01.02,01.66,00.09,01.47,00.84,03.67,01.72,01.48
2001.48,00.70,01.19,01.36,01.07,01.60,00.66,01.22,00.85,03.11,01.68,01.41
2001.49,00.71,01.28,01.47,00.83,01.49,00.41,01.07,01.16,02.64,01.86,01.26
2001.50,00.82,01.15,01.49,00.80,01.45,00.23,00.98,01.14,02.93,01.62,01.27
2001.51,00.74,01.13,01.85,01.01,01.81,01.13,01.15,01.56,03.10,01.51,01.53
2001.52,01.33,01.81,02.15,01.77,02.41,00.79,01.20,01.93,03.99,01.91,02.13
2002.01,01.19,01.88,02.47,01.37,02.32,00.20,01.06,01.65,03.66,02.76,01.94
2002.02,01.23,01.81,01.61,01.37,01.63,00.45,01.28,01.91,03.19,01.41,01.67
2002.03,01.29,02.61,03.03,01.97,01.74,01.48,01.20,02.55,03.11,02.59,02.07
2002.04,01.61,05.04,03.56,02.75,02.32,01.23,02.55,03.64,04.40,02.39,02.87
2002.05,02.57,04.11,04.19,02.17,02.42,02.46,03.36,03.70,04.24,01.64,02.95
2002.06,02.51,02.45,03.63,02.32,02.81,01.69,03.46,03.80,04.66,03.67,02.93
2002.07,02.87,02.20,03.48,02.41,03.51,02.29,04.00,02.42,04.74,05.57,03.16
2002.08,02.36,02.01,03.16,02.37,03.78,02.22,03.16,02.27,05.60,02.89,03.12
2002.09,01.71,01.53,03.80,02.18,03.54,02.19,02.81,01.95,04.32,01.93,02.74
2002.10,00.89,01.50,03.30,01.45,02.59,01.28,02.57,01.53,03.95,02.79,02.15
2002.11,00.76,02.09,02.92,01.21,02.18,01.39,01.71,01.52,03.44,02.75,01.92
2002.12,00.76,01.59,02.94,00.86,02.11,00.67,01.47,00.59,02.94,02.92,01.63
2002.13,00.65,01.08,02.25,00.61,01.96,00.28,00.97,00.48,03.43,05.08,01.46
2002.14,00.75,00.97,02.26,00.70,01.52,00.25,01.21,00.57,02.31,02.17,01.19
2002.15,00.53,00.61,01.94,00.35,00.99,00.86,00.96,00.47,01.89,00.99,00.90
2002.16,00.69,00.54,01.44,00.37,00.87,00.07,00.95,00.44,01.96,00.85,00.82
2002.17,00.36,00.41,01.48,00.48,00.68,00.00,00.78,00.38,01.74,00.50,00.71
2002.18,00.21,00.34,01.52,00.24,00.50,00.00,00.79,00.59,02.04,00.00,00.61
2002.19,00.22,00.37,01.32,00.40,00.58,00.00,00.69,00.69,01.93,00.28,00.63
2002.20,00.26,00.32,01.05,00.24,00.42,00.00,00.80,00.74,01.83,00.20,00.57
2002.40,00.71,01.32,01.16,01.16,01.38,00.14,01.00,00.86,01.99,00.16,01.17
2002.41,00.47,01.80,00.99,01.12,01.61,00.21,00.81,00.75,02.04,00.68,01.22
2002.42,00.41,01.70,01.26,01.03,01.42,00.34,00.97,00.82,01.60,00.78,01.13
2002.43,00.55,01.83,01.23,01.08,01.52,00.43,00.92,01.04,02.15,00.71,01.25
2002.44,00.56,01.68,01.09,01.16,01.59,00.67,01.07,01.30,02.05,01.21,01.30
2002.45,00.49,01.88,01.43,01.23,01.65,01.09,01.36,00.97,02.23,01.05,01.41
2002.46,00.43,01.89,01.28,01.19,01.70,00.73,01.33,00.96,02.38,01.29,01.38
2002.47,00.46,01.69,01.30,01.21,01.53,01.02,00.99,01.07,02.16,00.43,01.33
2002.48,00.66,02.13,01.88,01.36,01.77,00.88,01.02,00.70,02.60,00.94,01.43
2002.49,00.59,02.03,01.38,01.15,01.56,01.03,01.32,00.52,02.20,00.85,01.25
2002.50,00.57,01.75,01.48,01.13,01.68,01.79,01.29,00.62,01.85,01.18,01.26
2002.51,00.66,02.14,01.27,01.48,01.83,03.79,01.75,00.79,02.27,00.96,01.58
2002.52,00.71,02.19,01.68,02.07,02.67,02.83,02.97,00.86,03.38,01.11,01.98
2003.01,00.71,01.97,01.53,02.34,02.59,02.71,02.80,00.71,02.82,01.31,01.90
2003.02,00.55,01.67,01.60,01.46,01.93,02.31,01.96,00.76,03.25,01.34,01.59
2003.03,00.97,02.32,01.51,01.73,02.09,02.91,02.74,00.77,03.15,01.72,01.82
2003.04,01.14,02.11,02.31,02.59,03.35,04.50,03.68,01.03,02.70,01.42,02.42
2003.05,01.38,02.30,02.48,03.33,03.97,04.15,03.69,01.63,03.23,00.74,02.87
2003.06,02.16,02.89,03.54,03.45,04.25,03.42,02.93,01.79,03.89,02.10,03.17
2003.07,02.41,02.68,03.69,03.32,03.77,03.02,01.96,01.87,04.13,02.19,03.02
2003.08,02.29,02.58,03.67,03.34,03.66,01.51,01.64,01.91,04.92,02.68,03.00
2003.09,01.88,01.71,02.89,02.02,02.83,01.20,01.96,01.65,04.62,01.76,02.32
2003.10,01.52,01.00,02.06,01.94,02.33,01.79,01.15,01.47,03.83,01.94,01.95
2003.11,01.34,01.89,02.10,01.47,01.87,01.15,01.09,01.18,03.81,02.00,01.73
2003.12,00.76,01.54,02.15,01.41,01.60,00.70,01.01,01.18,03.41,02.50,01.52
2003.13,00.57,01.28,01.89,01.48,01.11,00.47,01.07,00.79,02.45,02.05,01.23
2003.14,00.48,01.28,01.62,01.27,01.11,00.49,00.85,00.62,02.01,00.42,01.05
2003.15,00.35,01.31,01.79,01.34,00.85,00.47,00.82,00.51,02.49,00.52,01.07
2003.16,00.37,00.90,01.52,01.04,00.71,00.58,00.85,00.32,02.00,01.16,00.83
2003.17,00.33,00.77,02.05,01.23,00.67,00.29,00.86,00.24,01.70,00.81,00.82
2003.18,00.32,00.59,01.41,00.92,00.46,00.25,00.87,00.15,01.39,00.27,00.63
2003.19,00.34,00.51,01.80,01.09,00.42,00.19,00.73,00.06,01.33,00.19,00.64
2003.20,00.23,01.06,01.47,00.57,00.55,00.20,01.05,00.04,01.36,00.28,00.59
2003.21,00.14,00.87,01.09,01.00,00.37,01.27,00.57,00.08,01.36,00.93,00.77
2003.22,00.15,01.69,01.15,00.75,00.37,01.23,01.07,00.12,01.31,00.29,00.79
2003.23,00.07,01.52,00.98,00.73,00.34,00.88,00.66,00.21,01.43,00.37,00.71
2003.24,00.10,01.65,01.40,00.95,00.32,00.75,00.60,00.00,01.22,00.12,00.79
2003.25,00.24,01.34,01.00,00.66,00.19,00.60,00.49,00.09,00.87,00.00,00.59
2003.26,00.14,00.88,01.13,00.55,00.28,01.31,00.47,00.00,01.27,00.20,00.62
2003.27,00.11,00.53,00.99,00.34,00.26,00.48,00.52,00.49,01.15,00.00,00.49
2003.28,00.12,00.87,01.12,00.57,00.26,00.67,00.55,00.00,01.14,00.22,00.60
2003.29,00.11,00.72,00.67,00.72,00.16,00.93,00.54,00.00,00.86,00.21,00.52
2003.30,00.13,00.88,00.71,00.90,00.18,00.76,00.38,00.10,00.82,01.52,00.59
2003.31,00.12,00.64,00.78,00.53,00.30,00.26,00.49,00.30,00.92,00.56,00.51
2003.32,00.21,00.64,01.09,00.76,00.32,01.07,00.49,00.00,01.08,00.00,00.63
2003.33,00.12,00.66,00.99,00.76,00.27,01.26,00.34,00.09,01.16,00.00,00.61
2003.34,00.12,01.05,00.80,00.70,00.27,01.16,00.38,00.00,01.77,00.00,00.64
2003.35,00.26,00.81,00.89,00.75,00.31,00.85,00.44,00.18,01.58,00.00,00.66
2003.36,00.16,00.74,01.15,00.96,00.29,00.97,00.46,00.11,02.54,00.00,00.79
2003.37,00.07,00.87,01.10,00.55,00.24,00.96,00.80,00.21,01.97,00.38,00.64
2003.38,00.07,00.87,01.44,00.31,00.28,00.84,00.93,00.09,02.10,01.52,00.64
2003.39,00.41,01.03,01.60,00.50,00.36,01.35,00.77,00.10,01.96,01.44,00.75
2003.40,00.47,00.53,01.53,01.24,01.21,01.04,00.99,00.33,01.16,00.76,00.96
2003.41,00.41,00.73,01.36,01.40,01.16,01.13,01.43,00.64,01.02,00.66,01.04
2003.42,00.56,00.69,01.20,01.44,01.13,01.42,00.98,00.73,00.99,00.99,01.05
2003.43,00.57,00.68,01.20,01.58,01.23,02.55,01.13,00.45,00.88,01.24,01.11
2003.44,00.73,00.88,01.70,01.85,01.10,04.60,01.31,00.85,00.97,02.06,01.41
2003.45,00.80,00.99,01.73,02.10,01.27,07.88,01.15,01.07,01.04,02.08,01.73
2003.46,00.88,01.21,02.50,02.55,01.79,07.40,01.62,03.00,01.73,03.39,02.41
2003.47,01.22,01.42,03.38,02.76,02.29,08.14,01.77,05.15,02.39,06.75,03.11
2003.48,01.61,01.61,04.97,03.73,03.51,08.42,04.90,06.48,04.05,08.91,04.31
2003.49,02.26,02.28,05.39,05.01,04.60,09.27,05.65,05.66,04.23,08.22,04.83
2003.50,04.81,04.08,06.99,07.34,08.05,08.18,12.18,04.51,04.49,07.93,06.43
2003.51,06.33,05.64,07.61,08.18,09.58,07.15,09.82,03.17,04.46,06.91,06.87
2003.52,06.72,05.48,08.07,08.78,10.43,05.18,10.24,02.99,04.71,04.06,07.06
2003.53,04.98,03.23,06.49,05.72,06.48,03.65,04.21,01.87,03.37,02.97,04.55
2004.01,03.09,01.97,04.15,03.14,03.07,02.11,01.79,01.08,01.40,02.15,02.42
2004.02,01.85,01.48,03.50,02.19,02.30,01.89,01.11,00.78,01.40,01.09,01.81
2004.03,01.42,01.21,02.81,02.08,02.16,01.62,01.29,01.00,01.55,01.49,01.71
2004.04,00.84,01.16,02.35,02.29,01.85,01.51,01.17,00.86,01.23,01.92,01.54
2004.05,00.65,01.03,02.20,01.94,01.82,01.04,00.93,00.85,01.45,01.23,01.44
2004.06,00.56,00.88,02.80,01.70,01.57,01.16,01.04,00.73,01.17,01.42,01.32
2004.07,00.53,01.09,02.70,01.75,01.33,00.90,01.00,00.64,01.41,00.97,01.31
2004.08,00.42,00.89,02.60,01.25,01.28,00.62,00.92,00.42,01.04,00.67,01.04
2004.09,00.34,00.61,02.46,01.29,01.19,00.77,00.93,00.50,00.99,00.85,01.01
2004.10,00.37,00.83,03.32,01.25,01.30,00.49,01.07,00.41,00.93,00.92,01.05
2004.11,00.36,00.79,02.90,01.27,01.18,00.52,00.59,00.43,01.08,00.56,01.02
2004.12,00.34,00.90,02.67,01.02,01.26,00.40,00.85,00.37,00.88,00.53,00.92
2004.13,00.32,00.99,02.77,00.85,00.88,00.30,00.35,00.25,00.90,00.54,00.79
2004.14,00.19,00.85,01.96,00.99,00.96,00.30,00.44,00.26,01.35,00.47,00.80
2004.15,00.22,00.68,02.62,00.93,01.06,00.27,00.53,00.25,01.27,00.76,00.84
2004.16,00.24,00.79,02.36,00.93,00.96,00.33,00.29,00.19,01.10,00.37,00.79
2004.17,00.16,00.60,02.10,00.85,00.79,00.32,00.41,00.04,00.96,00.54,00.68
2004.18,00.16,00.63,02.02,00.92,00.93,00.39,00.81,00.04,01.15,00.61,00.76
2004.19,00.22,00.72,02.07,00.99,00.89,00.24,00.53,00.04,01.55,00.60,00.79
2004.20,00.27,00.88,02.42,00.84,01.02,00.36,00.50,00.01,01.66,00.39,00.81
2004.21,00.12,00.94,02.16,01.08,01.14,00.31,00.51,00.16,01.09,00.35,00.80
2004.22,00.13,00.90,01.07,01.13,01.31,00.56,00.25,00.25,01.62,01.50,00.88
2004.23,00.11,00.98,01.06,00.80,01.14,00.78,01.23,00.15,01.12,00.65,00.74
2004.24,00.07,00.67,01.13,00.77,01.10,00.61,00.27,00.12,01.35,00.35,00.66
2004.25,00.10,00.58,02.18,00.78,01.04,00.43,00.51,00.16,01.02,00.13,00.72
2004.26,00.08,00.16,00.75,00.78,01.02,00.38,00.42,00.17,00.73,00.13,00.56
2004.27,00.08,00.44,00.72,00.85,01.09,01.56,00.28,01.07,00.83,00.00,00.79
2004.28,00.08,00.87,01.82,00.88,00.96,00.83,00.45,00.97,00.74,00.46,00.86
2004.29,00.04,00.63,00.20,00.82,00.88,01.33,00.37,01.01,00.72,00.19,00.69
2004.30,00.05,00.71,00.68,00.93,00.95,01.20,00.38,01.20,00.71,00.00,00.78
2004.31,00.08,00.49,02.03,00.80,00.39,00.66,00.63,01.20,00.67,00.52,00.63
2004.32,00.12,00.72,02.49,00.92,00.94,00.57,00.49,01.33,00.67,00.32,00.90
2004.33,00.24,00.44,00.83,01.05,00.92,01.56,00.56,01.10,00.57,00.24,00.81
2004.34,00.12,00.45,00.95,00.99,01.23,01.16,00.51,01.11,00.86,00.36,00.87
2004.35,00.12,00.49,02.44,01.18,01.02,01.10,00.57,00.85,00.95,00.18,00.99
2004.36,00.17,00.69,00.89,01.28,01.09,01.02,00.59,01.64,00.46,00.19,00.88
2004.37,00.15,00.72,02.79,01.04,01.09,01.12,00.58,01.90,00.54,00.00,00.95
2004.38,00.14,00.93,01.97,01.07,01.14,01.31,00.60,01.62,00.51,00.19,00.93
2004.39,00.17,00.72,02.67,01.19,01.07,00.53,00.95,01.35,00.54,00.22,00.97
2004.40,00.35,01.02,01.57,01.05,01.04,01.11,00.58,00.37,00.79,00.87,00.90
2004.41,00.50,00.72,02.24,01.29,01.12,00.94,00.56,00.44,00.84,01.06,01.02
2004.42,00.41,00.71,02.19,01.35,01.08,01.64,00.72,00.60,00.66,01.01,01.06
2004.43,00.44,00.93,02.92,01.23,01.21,00.98,00.69,00.90,00.85,01.26,01.15
2004.44,00.51,00.82,02.55,01.31,01.33,01.19,00.88,00.96,00.98,01.45,01.20
2004.45,00.75,00.85,02.44,01.48,01.36,01.18,00.93,01.12,01.12,01.71,01.31
2004.46,00.52,01.30,01.93,01.55,01.38,01.19,00.94,00.77,01.27,01.71,01.29
2004.47,00.67,01.31,02.72,01.93,01.69,01.39,01.03,01.00,01.49,02.50,01.59
2004.48,00.82,01.29,02.54,01.75,01.37,01.74,00.75,00.78,01.02,01.80,01.40
2004.49,00.95,01.81,02.98,01.67,01.41,01.34,00.86,00.87,01.13,01.63,01.45
2004.50,01.03,02.19,03.16,02.02,01.42,01.37,01.05,01.01,01.26,01.84,01.62
