Week,RI.all,RI.allV%,RI.65+,RI.65+V%
2014.02,87247,49.89,68626,53.98
2014.03,87247,50.16,68626,54.22
2014.04,87247,50.37,68626,54.40
2014.05,87247,50.46,68626,54.47
2014.06,87247,50.52,68626,54.52
2014.07,87247,50.57,68626,54.56
2014.08,87247,50.64,68626,54.61
2014.09,87247,50.66,68626,54.62
2014.10,87247,50.69,68626,54.64
2014.11,87247,50.71,68626,54.66
2014.12,87247,50.74,68626,54.68
2014.13,87247,50.75,68626,54.69
2014.14,87247,50.76,68626,54.70
2014.15,87247,50.78,68626,54.71
2014.16,87247,50.78,68626,54.72
2014.17,87247,50.80,68626,54.73
2014.18,87247,50.81,68626,54.74
2014.19,87247,50.81,68626,54.74
2014.20,87247,50.81,68626,54.74
2014.21,87247,50.82,68626,54.74
2014.22,87247,50.82,68626,54.74
2014.23,87247,50.82,68626,54.75
2014.24,87247,50.82,68626,54.75
2014.25,87247,50.82,68626,54.75
2014.26,87247,50.82,68626,54.75
2014.27,87247,50.82,68626,54.75
2014.28,87247,50.82,68626,54.75
2014.29,87247,50.83,68626,54.76
2014.30,87247,50.84,68626,54.76
2014.31,87247,50.85,68626,54.77
2014.32,64205,0.15,35618,0.15
2014.33,92788,0.35,35618,0.44
2014.34,92788,0.69,47495,0.76
2014.35,92788,1.40,72114,1.46
2014.36,92788,2.79,72114,3.01
2014.37,92788,5.59,72114,6.15
2014.38,92788,9.55,72114,10.59
2014.39,92788,15.35,72114,17.10
2014.40,92788,22.27,72114,24.90
2014.41,92788,28.07,72114,31.37
2014.42,92788,33.31,72114,37.14
2014.43,92788,37.30,72114,41.49
2014.44,92788,40.15,72114,44.58
2014.45,92788,42.10,72114,46.68
2014.46,92788,43.72,72114,48.41
2014.47,92788,44.41,72114,49.12
2014.48,92788,45.31,72114,50.05
2014.49,92788,46.01,72114,50.75
2014.50,92788,46.67,72114,51.41
2014.51,92788,46.94,72114,51.68
2014.52,92788,47.23,72114,51.98
2014.53,92788,47.62,72114,52.36
2015.01,92788,47.85,72114,52.58
2015.02,92788,48.02,72114,52.74
2015.03,92788,48.07,72114,52.79
2015.04,92788,48.12,72114,52.84
2015.05,92788,48.17,72114,52.87
2015.06,92788,48.22,72114,52.92
2015.07,92788,48.26,72114,52.95
2015.08,92788,48.29,72114,52.97
2015.09,92788,48.31,72114,52.98
2015.10,92788,48.32,72114,52.99
2015.11,92788,48.33,72114,53.00
2015.12,92788,48.33,72114,53.01
2015.13,92788,48.34,72114,53.01
2015.14,92788,48.34,72114,53.01
2015.15,92788,48.35,72114,53.02
2015.16,92788,48.35,72114,53.02
2015.17,92788,48.35,72114,53.02
2015.18,92788,48.35,72114,53.02
2015.19,92788,48.35,72114,53.02
2015.20,92788,48.35,72114,53.02
2015.21,92788,48.35,72114,53.02
2015.22,92788,48.35,72114,53.02
2015.23,92788,48.35,72114,53.02
2015.24,92788,48.35,72114,53.02
2015.25,92788,48.35,72114,53.02
2015.26,92788,48.35,72114,53.02
2015.27,92788,48.35,72114,53.03
2015.28,92788,48.35,72114,53.03
2015.29,92788,48.36,72114,53.03
2015.31,72028,0.10,37526,0.07
2015.32,97275,0.25,50150,0.20
2015.33,97275,0.54,50150,0.49
2015.34,97275,1.15,72172,1.17
2015.35,97275,1.92,76238,2.03
2015.36,97275,3.49,76238,3.73
2015.37,97275,6.05,76238,6.52
2015.38,97275,10.12,76238,11.11
2015.39,97275,16.60,76238,18.32
2015.40,97275,22.42,76238,24.90
2015.41,97275,28.41,76238,31.62
2015.42,97275,33.47,76238,37.25
2015.43,97275,36.76,76238,40.91
2015.44,97275,39.05,76238,43.45
2015.45,97275,41.17,76238,45.73
2015.46,97275,42.16,76238,46.80
2015.47,97275,43.44,76238,48.15
2015.48,97275,44.50,76238,49.27
2015.49,97275,45.41,76238,50.22
2015.50,97275,45.80,76238,50.62
2015.51,97275,46.12,76238,50.95
2015.52,97275,46.51,76238,51.33
2016.01,97275,46.83,76238,51.65
2016.02,97275,47.12,76238,51.92
2016.03,97275,47.33,76238,52.13
2016.04,97275,47.50,76238,52.29
2016.05,97275,47.61,76238,52.40
2016.06,97275,47.71,76238,52.48
2016.07,97275,47.80,76238,52.58
2016.08,97275,47.89,76238,52.67
2016.09,97275,47.97,76238,52.75
2016.10,97275,48.02,76238,52.78
2016.11,97275,48.07,76238,52.83
2016.12,97275,48.10,76238,52.85
2016.13,97275,48.11,76238,52.87
2016.14,97275,48.12,76238,52.88
2016.15,97275,48.13,76238,52.89
2016.16,97275,48.13,76238,52.89
2016.17,97275,48.13,76238,52.89
2016.18,97275,48.13,76238,52.89
2016.19,97275,48.13,76238,52.89
2016.20,97275,48.13,76238,52.89
2016.21,97275,48.13,76238,52.89
2016.22,97275,48.13,76238,52.89
2016.23,97275,48.13,76238,52.89
2016.24,97275,48.13,76238,52.89
2016.25,97275,48.13,76238,52.89
2016.26,97275,48.13,76238,52.89
2016.27,97275,48.13,76238,52.89
2016.28,97275,48.13,76238,52.89
2016.29,97275,48.13,76238,52.89
2016.30,97275,48.13,76238,52.89
2016.31,60076,0.10,35000,0.07
2016.32,89695,0.27,35000,0.30
2016.33,89695,0.65,47495,0.69
2016.34,89695,1.21,56853,1.29
2016.35,89695,2.23,69659,2.37
2016.36,89695,4.28,73629,4.60
2016.37,89695,6.89,73629,7.40
2016.38,89695,10.27,73629,11.02
2016.39,89695,16.44,73629,17.86
2016.40,89695,21.88,73629,23.88
2016.41,89695,27.35,73629,29.77
2016.42,89695,31.95,73629,34.86
2016.43,89695,35.56,73629,38.80
2016.44,89695,38.55,73629,42.09
2016.45,89695,40.82,73629,44.57
2016.46,89695,41.81,73629,45.63
2016.47,89695,43.23,73629,47.13
2016.48,89695,44.33,73629,48.33
2016.49,89695,45.20,73629,49.24
2016.50,89695,45.82,73629,49.89
2016.51,89695,46.15,73629,50.23
2016.52,89695,46.51,73629,50.60
2017.01,89695,47.10,73629,51.21
2017.02,89695,47.39,73629,51.51
2017.03,89695,47.51,73629,51.63
2017.04,89695,47.52,73629,51.64
2017.05,89695,47.52,73629,51.64
