Week,C01.all,C01.allV%,C01.65+,C01.65+V%,C02.all,C02.allV%,C02.65+,C02.65+V%,C03.all,C03.allV%,C03.65+,C03.65+V%,C04.all,C04.allV%,C04.65+,C04.65+V%,C05.all,C05.allV%,C05.65+,C05.65+V%,C06.all,C06.allV%,C06.65+,C06.65+V%,C07.all,C07.allV%,C07.65+,C07.65+V%,C08.all,C08.allV%,C08.65+,C08.65+V%,C09.all,C09.allV%,C09.65+,C09.65+V%,C10.all,C10.allV%,C10.65+,C10.65+V%,C11.all,C11.allV%,C11.65+,C11.65+V%,C12.all,C12.allV%,C12.65+,C12.65+V%,C13.all,C13.allV%,C13.65+,C13.65+V%,C14.all,C14.allV%,C14.65+,C14.65+V%,C15.all,C15.allV%,C15.65+,C15.65+V%,C16.all,C16.allV%,C16.65+,C16.65+V%,C17.all,C17.allV%,C17.65+,C17.65+V%,C18.all,C18.allV%,C18.65+,C18.65+V%,C19.all,C19.allV%,C19.65+,C19.65+V%,C20.all,C20.allV%,C20.65+,C20.65+V%,C21.all,C21.allV%,C21.65+,C21.65+V%,NJ.all,NJ.allV%,NJ.65+,NJ.65+V%
2012.43,31805,39.50,27317,41.65,99045,42.29,91348,43.65,45482,43.79,39654,45.79,48599,41.04,40329,43.96,17101,39.58,15107,41.30,17456,37.15,14036,40.57,57895,34.85,49855,36.96,26242,36.78,22011,39.06,40061,28.41,33881,29.58,14140,42.56,12978,43.67,36851,43.20,31452,45.89,71683,45.12,63542,47.25,70113,42.13,62715,44.18,51741,46.62,47617,48.30,91430,45.66,82881,47.85,42741,37.78,37469,39.67,8894,38.40,7472,40.48,29015,45.85,26584,47.50,15891,45.51,13825,47.83,47559,38.76,42111,40.65,13882,45.47,12241,47.63,877626,41.40,774425,43.48
2012.44,31805,41.71,27317,43.94,99045,44.27,91348,45.70,45482,45.83,39654,47.92,48599,43.36,40329,46.45,17101,42.41,15107,44.26,17456,39.00,14036,42.58,57895,36.31,49855,38.48,26242,38.72,22011,41.07,40061,29.54,33881,30.78,14140,44.23,12978,45.38,36851,45.31,31452,48.11,71683,46.51,63542,48.70,70113,43.20,62715,45.30,51741,48.15,47617,49.87,91430,47.21,82881,49.44,42741,39.38,37469,41.32,8894,40.58,7472,42.85,29015,47.50,26584,49.21,15891,47.34,13825,49.74,47559,40.11,42111,42.02,13882,47.17,12241,49.42,877626,43.09,774425,45.23
2012.45,31805,43.73,27317,46.11,99045,46.66,91348,48.17,45482,47.92,39654,50.14,48599,45.20,40329,48.40,17101,44.74,15107,46.75,17456,40.71,14036,44.52,57895,38.22,49855,40.51,26242,40.47,22011,42.86,40061,31.16,33881,32.48,14140,46.53,12978,47.74,36851,47.28,31452,50.15,71683,48.46,63542,50.71,70113,45.34,62715,47.55,51741,50.22,47617,52.02,91430,49.31,82881,51.65,42741,41.60,37469,43.69,8894,42.43,7472,44.74,29015,49.76,26584,51.56,15891,49.36,13825,51.80,47559,42.25,42111,44.29,13882,49.33,12241,51.74,877626,45.15,774425,47.40
2012.46,31805,44.82,27317,47.29,99045,47.95,91348,49.50,45482,48.90,39654,51.19,48599,46.10,40329,49.30,17101,45.83,15107,47.89,17456,41.58,14036,45.46,57895,39.20,49855,41.49,26242,41.34,22011,43.77,40061,31.88,33881,33.23,14140,47.79,12978,49.04,36851,48.30,31452,51.20,71683,49.47,63542,51.71,70113,46.56,62715,48.83,51741,51.35,47617,53.18,91430,50.42,82881,52.81,42741,42.52,37469,44.63,8894,43.22,7472,45.58,29015,50.92,26584,52.73,15891,50.48,13825,52.91,47559,43.33,42111,45.40,13882,50.30,12241,52.77,877626,46.21,774425,48.50
2012.47,31805,46.03,27317,48.52,99045,49.34,91348,50.91,45482,50.04,39654,52.38,48599,47.11,40329,50.32,17101,47.00,15107,49.12,17456,42.58,14036,46.44,57895,40.35,49855,42.71,26242,42.19,22011,44.62,40061,32.82,33881,34.19,14140,49.35,12978,50.61,36851,49.52,31452,52.46,71683,50.64,63542,52.93,70113,48.12,62715,50.45,51741,52.61,47617,54.47,91430,51.68,82881,54.11,42741,43.56,37469,45.68,8894,44.28,7472,46.65,29015,52.08,26584,53.93,15891,51.71,13825,54.19,47559,44.60,42111,46.71,13882,51.64,12241,54.11,877626,47.43,774425,49.75
2012.48,31805,47.72,27317,50.30,99045,50.86,91348,52.48,45482,51.28,39654,53.69,48599,48.39,40329,51.66,17101,48.45,15107,50.58,17456,43.56,14036,47.53,57895,42.00,49855,44.47,26242,43.42,22011,45.86,40061,34.01,33881,35.44,14140,51.20,12978,52.47,36851,50.80,31452,53.81,71683,52.05,63542,54.36,70113,49.90,62715,52.30,51741,54.26,47617,56.16,91430,53.17,82881,55.64,42741,44.91,37469,47.10,8894,45.56,7472,47.94,29015,53.66,26584,55.56,15891,53.12,13825,55.65,47559,46.06,42111,48.22,13882,53.30,12241,55.83,877626,48.90,774425,51.28
2012.49,31805,48.90,27317,51.53,99045,52.03,91348,53.67,45482,52.24,39654,54.71,48599,49.20,40329,52.52,17101,49.59,15107,51.82,17456,44.44,14036,48.43,57895,43.43,49855,46.01,26242,44.15,22011,46.57,40061,34.80,33881,36.28,14140,52.67,12978,53.98,36851,51.63,31452,54.66,71683,52.93,63542,55.27,70113,51.09,62715,53.54,51741,55.46,47617,57.39,91430,54.21,82881,56.72,42741,45.85,37469,48.06,8894,46.45,7472,48.88,29015,54.80,26584,56.72,15891,54.21,13825,56.76,47559,47.08,42111,49.28,13882,54.37,12241,56.96,877626,49.95,774425,52.38
2012.50,31805,49.51,27317,52.14,99045,52.60,91348,54.25,45482,52.84,39654,55.31,48599,49.70,40329,53.01,17101,50.38,15107,52.66,17456,44.98,14036,48.97,57895,43.97,49855,46.57,26242,44.76,22011,47.20,40061,35.27,33881,36.76,14140,53.56,12978,54.89,36851,52.18,31452,55.19,71683,53.46,63542,55.81,70113,52.00,62715,54.47,51741,56.06,47617,57.98,91430,54.78,82881,57.30,42741,46.40,37469,48.62,8894,46.95,7472,49.42,29015,55.41,26584,57.36,15891,54.75,13825,57.30,47559,47.68,42111,49.91,13882,54.96,12241,57.55,877626,50.54,774425,52.99
2012.51,31805,49.66,27317,52.32,99045,52.90,91348,54.55,45482,53.08,39654,55.55,48599,49.90,40329,53.20,17101,50.58,15107,52.88,17456,45.20,14036,49.22,57895,44.17,49855,46.78,26242,44.91,22011,47.35,40061,35.47,33881,36.95,14140,53.85,12978,55.16,36851,52.37,31452,55.37,71683,53.69,63542,56.04,70113,52.27,62715,54.75,51741,56.29,47617,58.21,91430,55.02,82881,57.55,42741,46.60,37469,48.82,8894,47.13,7472,49.64,29015,55.66,26584,57.61,15891,54.90,13825,57.44,47559,47.93,42111,50.16,13882,55.19,12241,57.79,877626,50.77,774425,53.22
2012.52,31805,49.95,27317,52.64,99045,53.29,91348,54.96,45482,53.41,39654,55.88,48599,50.20,40329,53.51,17101,50.91,15107,53.21,17456,45.47,14036,49.52,57895,44.45,49855,47.06,26242,45.21,22011,47.65,40061,35.68,33881,37.17,14140,54.28,12978,55.59,36851,52.64,31452,55.63,71683,53.97,63542,56.34,70113,52.67,62715,55.15,51741,56.63,47617,58.55,91430,55.46,82881,57.99,42741,46.90,37469,49.13,8894,47.49,7472,50.05,29015,56.04,26584,58.00,15891,55.19,13825,57.74,47559,48.30,42111,50.53,13882,55.55,12241,58.14,877626,51.11,774425,53.57
2013.01,31805,51.45,27317,54.18,99045,54.89,91348,56.57,45482,54.83,39654,57.35,48599,51.62,40329,55.03,17101,53.05,15107,55.39,17456,46.80,14036,50.88,57895,45.70,49855,48.39,26242,46.48,22011,48.89,40061,36.86,33881,38.38,14140,56.01,12978,57.37,36851,53.68,31452,56.71,71683,55.27,63542,57.66,70113,54.09,62715,56.61,51741,58.25,47617,60.19,91430,56.94,82881,59.49,42741,48.08,37469,50.35,8894,49.30,7472,51.86,29015,57.45,26584,59.44,15891,56.75,13825,59.33,47559,49.68,42111,51.94,13882,57.14,12241,59.77,877626,52.53,774425,55.03
2013.02,31805,52.60,27317,55.32,99045,56.10,91348,57.79,45482,55.76,39654,58.26,48599,52.59,40329,55.94,17101,54.14,15107,56.43,17456,47.94,14036,52.06,57895,46.82,49855,49.52,26242,47.31,22011,49.63,40061,37.92,33881,39.43,14140,57.53,12978,58.89,36851,54.56,31452,57.57,71683,56.39,63542,58.78,70113,55.37,62715,57.86,51741,59.44,47617,61.39,91430,58.22,82881,60.72,42741,49.08,37469,51.35,8894,50.20,7472,52.80,29015,58.55,26584,60.50,15891,57.68,13825,60.24,47559,50.80,42111,53.09,13882,58.26,12241,60.85,877626,53.65,774425,56.13
2013.03,31805,52.96,27317,55.68,99045,56.48,91348,58.15,45482,56.08,39654,58.55,48599,52.90,40329,56.24,17101,54.50,15107,56.76,17456,48.33,14036,52.44,57895,47.18,49855,49.85,26242,47.68,22011,49.96,40061,38.29,33881,39.77,14140,57.92,12978,59.25,36851,54.92,31452,57.87,71683,56.73,63542,59.13,70113,55.81,62715,58.29,51741,59.79,47617,61.70,91430,58.66,82881,61.15,42741,49.48,37469,51.72,8894,50.51,7472,53.04,29015,58.91,26584,60.86,15891,57.96,13825,60.49,47559,51.30,42111,53.58,13882,58.57,12241,61.17,877626,54.03,774425,56.49
2013.04,31805,53.13,27317,55.85,99045,56.61,91348,58.28,45482,56.23,39654,58.71,48599,53.04,40329,56.38,17101,54.52,15107,56.78,17456,48.49,14036,52.61,57895,47.34,49855,50.01,26242,47.78,22011,50.07,40061,38.45,33881,39.93,14140,58.10,12978,59.42,36851,55.09,31452,58.02,71683,56.88,63542,59.26,70113,56.06,62715,58.54,51741,59.92,47617,61.82,91430,58.79,82881,61.27,42741,49.61,37469,51.84,8894,50.60,7472,53.12,29015,59.03,26584,60.97,15891,58.07,13825,60.59,47559,51.51,42111,53.78,13882,58.64,12241,61.22,877626,54.18,774425,56.64
2013.05,31805,53.20,27317,55.90,99045,56.67,91348,58.34,45482,56.30,39654,58.77,48599,53.13,40329,56.44,17101,54.59,15107,56.84,17456,48.57,14036,52.67,57895,47.44,49855,50.10,26242,47.86,22011,50.12,40061,38.54,33881,40.02,14140,58.24,12978,59.55,36851,55.18,31452,58.08,71683,56.95,63542,59.33,70113,56.15,62715,58.61,51741,59.97,47617,61.87,91430,58.86,82881,61.34,42741,49.65,37469,51.88,8894,50.66,7472,53.20,29015,59.12,26584,61.06,15891,58.11,13825,60.62,47559,51.61,42111,53.87,13882,58.69,12241,61.27,877626,54.26,774425,56.71
2013.06,31805,53.24,27317,55.92,99045,56.71,91348,58.37,45482,56.33,39654,58.79,48599,53.18,40329,56.48,17101,54.62,15107,56.85,17456,48.65,14036,52.75,57895,47.47,49855,50.13,26242,47.91,22011,50.17,40061,38.60,33881,40.07,14140,58.31,12978,59.61,36851,55.23,31452,58.14,71683,56.99,63542,59.36,70113,56.20,62715,58.66,51741,60.01,47617,61.90,91430,58.90,82881,61.38,42741,49.69,37469,51.91,8894,50.71,7472,53.24,29015,59.16,26584,61.09,15891,58.15,13825,60.66,47559,51.68,42111,53.93,13882,58.71,12241,61.29,877626,54.30,774425,56.74
2013.07,31805,53.27,27317,55.95,99045,56.74,91348,58.40,45482,56.34,39654,58.80,48599,53.22,40329,56.51,17101,54.64,15107,56.88,17456,48.72,14036,52.79,57895,47.51,49855,50.16,26242,47.94,22011,50.19,40061,38.64,33881,40.10,14140,58.32,12978,59.62,36851,55.25,31452,58.15,71683,57.03,63542,59.40,70113,56.23,62715,58.69,51741,60.04,47617,61.93,91430,58.93,82881,61.40,42741,49.73,37469,51.94,8894,50.79,7472,53.32,29015,59.17,26584,61.10,15891,58.16,13825,60.67,47559,51.72,42111,53.96,13882,58.74,12241,61.30,877626,54.33,774425,56.77
2013.08,31805,53.27,27317,55.96,99045,56.76,91348,58.42,45482,56.34,39654,58.80,48599,53.24,40329,56.53,17101,54.65,15107,56.89,17456,48.74,14036,52.82,57895,47.53,49855,50.18,26242,47.95,22011,50.21,40061,38.66,33881,40.13,14140,58.34,12978,59.63,36851,55.26,31452,58.16,71683,57.06,63542,59.43,70113,56.25,62715,58.71,51741,60.06,47617,61.95,91430,58.94,82881,61.42,42741,49.76,37469,51.96,8894,50.81,7472,53.33,29015,59.19,26584,61.12,15891,58.16,13825,60.67,47559,51.75,42111,53.99,13882,58.77,12241,61.32,877626,54.35,774425,56.79
2013.09,31805,53.28,27317,55.96,99045,56.76,91348,58.42,45482,56.35,39654,58.82,48599,53.26,40329,56.53,17101,54.65,15107,56.89,17456,48.79,14036,52.86,57895,47.56,49855,50.22,26242,47.97,22011,50.22,40061,38.68,33881,40.14,14140,58.35,12978,59.64,36851,55.29,31452,58.19,71683,57.07,63542,59.44,70113,56.27,62715,58.72,51741,60.07,47617,61.96,91430,58.95,82881,61.42,42741,49.77,37469,51.97,8894,50.82,7472,53.35,29015,59.20,26584,61.13,15891,58.18,13825,60.69,47559,51.77,42111,54.01,13882,58.80,12241,61.33,877626,54.37,774425,56.80
2013.10,31805,53.29,27317,55.97,99045,56.78,91348,58.44,45482,56.37,39654,58.82,48599,53.27,40329,56.53,17101,54.65,15107,56.89,17456,48.81,14036,52.90,57895,47.58,49855,50.22,26242,47.98,22011,50.23,40061,38.68,33881,40.15,14140,58.35,12978,59.64,36851,55.30,31452,58.20,71683,57.07,63542,59.44,70113,56.28,62715,58.74,51741,60.09,47617,61.97,91430,58.96,82881,61.44,42741,49.79,37469,51.98,8894,50.83,7472,53.36,29015,59.22,26584,61.15,15891,58.18,13825,60.69,47559,51.79,42111,54.03,13882,58.81,12241,61.33,877626,54.38,774425,56.81
2013.11,31805,53.31,27317,55.98,99045,56.79,91348,58.46,45482,56.37,39654,58.83,48599,53.28,40329,56.54,17101,54.66,15107,56.90,17456,48.83,14036,52.91,57895,47.59,49855,50.23,26242,47.98,22011,50.23,40061,38.70,33881,40.16,14140,58.35,12978,59.64,36851,55.32,31452,58.21,71683,57.08,63542,59.45,70113,56.30,62715,58.75,51741,60.10,47617,61.98,91430,58.97,82881,61.44,42741,49.79,37469,51.99,8894,50.84,7472,53.37,29015,59.22,26584,61.16,15891,58.18,13825,60.69,47559,51.81,42111,54.05,13882,58.82,12241,61.33,877626,54.39,774425,56.82
2013.12,31805,53.31,27317,55.98,99045,56.80,91348,58.46,45482,56.38,39654,58.83,48599,53.29,40329,56.55,17101,54.66,15107,56.91,17456,48.85,14036,52.91,57895,47.59,49855,50.23,26242,48.00,22011,50.25,40061,38.71,33881,40.16,14140,58.35,12978,59.64,36851,55.32,31452,58.21,71683,57.09,63542,59.46,70113,56.31,62715,58.76,51741,60.11,47617,61.99,91430,58.98,82881,61.45,42741,49.80,37469,51.99,8894,50.85,7472,53.37,29015,59.23,26584,61.16,15891,58.18,13825,60.69,47559,51.81,42111,54.05,13882,58.83,12241,61.33,877626,54.40,774425,56.83
2013.13,31805,53.31,27317,55.98,99045,56.80,91348,58.46,45482,56.38,39654,58.83,48599,53.29,40329,56.55,17101,54.66,15107,56.91,17456,48.85,14036,52.92,57895,47.59,49855,50.23,26242,48.00,22011,50.26,40061,38.73,33881,40.18,14140,58.35,12978,59.64,36851,55.32,31452,58.22,71683,57.10,63542,59.47,70113,56.31,62715,58.76,51741,60.12,47617,62.00,91430,58.98,82881,61.46,42741,49.80,37469,51.99,8894,50.85,7472,53.37,29015,59.24,26584,61.17,15891,58.18,13825,60.69,47559,51.82,42111,54.05,13882,58.84,12241,61.33,877626,54.40,774425,56.83
2013.14,31805,53.31,27317,55.98,99045,56.81,91348,58.47,45482,56.38,39654,58.83,48599,53.30,40329,56.56,17101,54.66,15107,56.91,17456,48.85,14036,52.92,57895,47.59,49855,50.23,26242,48.01,22011,50.26,40061,38.74,33881,40.19,14140,58.35,12978,59.65,36851,55.33,31452,58.23,71683,57.10,63542,59.47,70113,56.32,62715,58.77,51741,60.12,47617,62.00,91430,58.99,82881,61.46,42741,49.80,37469,51.99,8894,50.85,7472,53.37,29015,59.24,26584,61.17,15891,58.18,13825,60.69,47559,51.82,42111,54.06,13882,58.85,12241,61.34,877626,54.40,774425,56.84
2013.15,31805,53.32,27317,55.98,99045,56.81,91348,58.47,45482,56.38,39654,58.83,48599,53.30,40329,56.56,17101,54.66,15107,56.91,17456,48.86,14036,52.92,57895,47.59,49855,50.23,26242,48.01,22011,50.26,40061,38.74,33881,40.19,14140,58.35,12978,59.65,36851,55.34,31452,58.23,71683,57.11,63542,59.47,70113,56.32,62715,58.77,51741,60.13,47617,62.01,91430,58.99,82881,61.46,42741,49.81,37469,51.99,8894,50.85,7472,53.37,29015,59.24,26584,61.18,15891,58.18,13825,60.69,47559,51.83,42111,54.06,13882,58.85,12241,61.34,877626,54.41,774425,56.84
2013.16,31805,53.32,27317,55.98,99045,56.81,91348,58.47,45482,56.39,39654,58.83,48599,53.31,40329,56.56,17101,54.67,15107,56.91,17456,48.86,14036,52.92,57895,47.60,49855,50.23,26242,48.01,22011,50.26,40061,38.74,33881,40.19,14140,58.35,12978,59.65,36851,55.34,31452,58.23,71683,57.11,63542,59.47,70113,56.32,62715,58.77,51741,60.13,47617,62.01,91430,58.99,82881,61.46,42741,49.81,37469,51.99,8894,50.85,7472,53.37,29015,59.25,26584,61.18,15891,58.19,13825,60.70,47559,51.84,42111,54.07,13882,58.85,12241,61.34,877626,54.41,774425,56.84
2013.17,31805,53.32,27317,55.98,99045,56.81,91348,58.47,45482,56.39,39654,58.83,48599,53.31,40329,56.56,17101,54.67,15107,56.91,17456,48.86,14036,52.92,57895,47.60,49855,50.23,26242,48.01,22011,50.26,40061,38.74,33881,40.20,14140,58.35,12978,59.65,36851,55.35,31452,58.24,71683,57.11,63542,59.47,70113,56.32,62715,58.77,51741,60.13,47617,62.01,91430,58.99,82881,61.46,42741,49.81,37469,52.00,8894,50.85,7472,53.37,29015,59.25,26584,61.18,15891,58.19,13825,60.70,47559,51.84,42111,54.07,13882,58.85,12241,61.34,877626,54.41,774425,56.84
2013.18,31805,53.32,27317,55.98,99045,56.81,91348,58.47,45482,56.39,39654,58.83,48599,53.31,40329,56.57,17101,54.67,15107,56.91,17456,48.87,14036,52.93,57895,47.60,49855,50.23,26242,48.01,22011,50.26,40061,38.75,33881,40.21,14140,58.35,12978,59.65,36851,55.35,31452,58.24,71683,57.11,63542,59.48,70113,56.32,62715,58.77,51741,60.13,47617,62.01,91430,58.99,82881,61.46,42741,49.81,37469,52.00,8894,50.85,7472,53.37,29015,59.25,26584,61.18,15891,58.19,13825,60.70,47559,51.84,42111,54.08,13882,58.85,12241,61.34,877626,54.41,774425,56.84
2013.19,31805,53.32,27317,55.98,99045,56.81,91348,58.47,45482,56.39,39654,58.83,48599,53.32,40329,56.57,17101,54.67,15107,56.91,17456,48.87,14036,52.93,57895,47.60,49855,50.23,26242,48.01,22011,50.26,40061,38.75,33881,40.21,14140,58.35,12978,59.65,36851,55.35,31452,58.24,71683,57.11,63542,59.48,70113,56.33,62715,58.77,51741,60.13,47617,62.01,91430,58.99,82881,61.46,42741,49.82,37469,52.01,8894,50.85,7472,53.37,29015,59.25,26584,61.18,15891,58.19,13825,60.70,47559,51.84,42111,54.08,13882,58.85,12241,61.34,877626,54.41,774425,56.84
2013.20,31805,53.32,27317,55.98,99045,56.81,91348,58.47,45482,56.39,39654,58.83,48599,53.33,40329,56.58,17101,54.67,15107,56.91,17456,48.87,14036,52.93,57895,47.60,49855,50.24,26242,48.01,22011,50.26,40061,38.75,33881,40.21,14140,58.35,12978,59.65,36851,55.35,31452,58.24,71683,57.11,63542,59.48,70113,56.33,62715,58.78,51741,60.13,47617,62.01,91430,58.99,82881,61.46,42741,49.82,37469,52.01,8894,50.85,7472,53.37,29015,59.25,26584,61.18,15891,58.19,13825,60.70,47559,51.84,42111,54.08,13882,58.85,12241,61.34,877626,54.41,774425,56.84
