Week,RI.Tmax,RI.Tmin,RI.prcp
2004.39,20.62,10.40,11.99
2004.40,18.99,5.50,0.05
2004.41,17.47,8.45,4.86
2004.42,11.94,5.43,3.03
2004.43,12.94,3.38,0.34
2004.44,14.44,3.56,4.40
2004.45,9.36,-1.28,4.03
2004.46,11.95,-0.82,0.34
2004.47,10.58,0.57,3.81
2004.48,10.01,-0.10,8.76
2004.49,8.35,0.56,7.61
2004.50,4.45,-5.37,0.20
2004.51,5.92,-6.97,4.47
2004.52,3.35,-6.22,2.15
2005.01,5.35,-1.20,7.34
2005.02,5.85,-1.95,5.02
2005.03,-4.07,-13.79,1.92
2005.04,-3.57,-15.14,3.57
2005.05,3.44,-7.57,1.62
2005.06,7.03,-2.71,2.27
2005.07,5.03,-5.25,4.31
2005.08,0.70,-7.96,2.10
2005.09,1.20,-8.03,1.90
2005.10,2.61,-7.08,5.90
2005.11,6.68,-3.79,0.44
2005.12,7.95,-2.55,2.15
2005.13,11.22,1.03,16.46
2005.14,15.03,3.04,5.53
2005.15,13.39,-0.35,0.00
2005.16,19.32,3.37,1.14
2005.17,14.47,5.21,8.72
2005.18,13.91,3.11,4.79
2005.19,15.94,5.93,0.81
2005.20,17.03,6.92,0.73
2005.21,14.60,7.80,7.52
2005.22,21.85,10.53,1.65
2005.23,27.52,15.64,0.03
2005.24,24.32,13.97,1.69
2005.25,24.10,11.45,0.47
2005.26,26.81,18.76,3.23
2005.27,23.48,13.49,4.98
2005.28,28.21,17.77,0.07
2005.29,29.50,19.21,1.05
2005.30,28.24,16.75,0.40
2005.31,29.48,18.00,0.60
2005.32,30.33,19.46,0.20
2005.33,27.14,16.72,3.46
2005.34,27.73,14.53,0.98
2005.35,26.89,18.80,11.63
2005.36,25.31,11.95,0.04
2005.37,25.75,16.99,6.22
2005.38,25.33,13.41,0.29
2005.39,20.92,8.29,3.90
2005.40,23.71,13.88,3.07
2005.41,15.85,11.68,37.77
2005.42,15.53,5.85,2.47
2005.43,9.32,2.68,8.09
2005.44,18.09,4.45,0.31
2005.45,14.16,2.34,3.82
2005.46,13.00,1.31,1.91
2005.47,7.10,-3.32,10.55
2005.48,10.28,3.04,5.59
2005.49,1.47,-6.66,5.04
2005.50,2.78,-8.13,4.04
2005.51,3.28,-5.73,0.00
2005.52,8.32,-1.50,5.45
2006.01,2.38,-2.71,5.62
2006.02,10.03,-0.63,4.06
2006.03,8.13,-4.13,6.04
2006.04,5.72,-2.85,3.33
2006.05,8.60,-0.07,7.79
2006.06,4.05,-3.98,2.14
2006.07,6.09,-5.64,2.44
2006.08,2.71,-7.76,0.10
2006.09,-0.79,-9.84,1.49
2006.10,9.00,-2.52,0.03
2006.11,9.54,-0.69,0.83
2006.12,6.69,-3.20,0.01
2006.13,14.45,0.41,0.10
2006.14,12.11,0.45,5.18
2006.15,16.47,3.32,0.75
2006.16,17.80,4.64,0.16
2006.17,14.74,3.25,4.56
2006.18,18.23,6.75,5.09
2006.19,15.47,7.47,10.75
2006.20,16.55,9.28,8.61
2006.21,20.92,7.71,2.16
2006.22,24.87,13.75,6.93
2006.23,18.31,11.70,15.55
2006.24,25.12,13.07,1.14
2006.25,27.02,16.64,10.28
2006.26,24.85,18.37,5.49
2006.27,26.97,17.67,2.63
2006.28,27.35,17.85,3.03
2006.29,29.21,19.72,3.45
2006.30,28.22,19.15,1.45
2006.31,31.72,20.23,1.56
2006.32,27.15,15.08,1.44
2006.33,26.43,14.11,1.67
2006.34,25.22,15.47,4.81
2006.35,20.61,13.69,7.76
2006.36,23.89,13.64,3.22
2006.37,20.69,10.53,3.06
2006.38,22.84,11.68,3.48
2006.39,21.05,9.06,1.18
2006.40,18.88,8.94,4.15
2006.41,19.00,6.29,4.99
2006.42,16.74,4.97,3.92
2006.43,13.01,2.85,9.84
2006.44,13.90,3.28,2.76
2006.45,14.80,3.64,5.33
2006.46,15.95,9.91,7.67
2006.47,8.89,1.03,8.67
2006.48,14.42,5.90,1.24
2006.49,5.79,-4.79,0.89
2006.50,10.88,2.35,0.57
2006.51,9.69,-0.82,3.31
2006.52,7.59,-1.09,2.30
2007.01,11.08,1.76,7.30
2007.02,8.40,-0.10,4.97
2007.03,4.18,-4.63,2.45
2007.04,-1.45,-10.42,0.11
2007.05,1.55,-7.10,1.03
2007.06,-3.02,-11.25,0.00
2007.07,0.09,-9.54,6.04
2007.08,3.89,-7.06,0.92
2007.09,6.46,-3.04,10.07
2007.10,0.86,-10.12,0.01
2007.11,10.86,-0.38,10.45
2007.12,7.65,-2.40,1.48
2007.13,13.26,0.53,1.87
2007.14,7.47,-0.46,7.07
2007.15,8.70,-0.61,4.57
2007.16,11.83,2.46,12.51
2007.17,18.82,5.67,5.39
2007.18,19.55,5.02,0.92
2007.19,20.44,8.10,0.30
2007.20,17.42,6.90,8.40
2007.21,24.14,9.92,0.54
2007.22,26.00,12.92,0.61
2007.23,21.08,11.67,9.35
2007.24,21.87,12.13,0.87
2007.25,25.34,14.02,0.64
2007.26,28.16,15.91,1.15
2007.27,24.96,13.17,4.38
2007.28,28.55,17.14,0.14
2007.29,27.02,17.13,3.50
2007.30,27.23,17.14,0.72
2007.31,30.48,19.26,2.61
2007.32,26.54,16.44,4.02
2007.33,26.94,15.15,1.64
2007.34,23.99,14.49,0.24
2007.35,28.45,15.01,0.01
2007.36,26.44,13.34,0.00
2007.37,23.10,12.98,7.95
2007.38,22.12,8.77,0.06
2007.39,26.05,13.85,0.36
2007.40,23.54,12.36,0.05
2007.41,18.63,10.05,2.31
2007.42,19.31,8.10,4.86
2007.43,19.80,9.79,1.48
2007.44,14.45,2.28,2.31
2007.45,10.25,-0.37,3.22
2007.46,10.83,-0.90,3.08
2007.47,7.64,-1.99,0.52
2007.48,9.56,-1.25,2.58
2007.49,1.45,-6.77,2.44
2007.50,3.39,-4.34,5.16
2007.51,1.93,-6.15,5.41
2007.52,7.75,-1.58,4.38
2008.01,2.12,-8.58,2.26
2008.02,11.54,1.03,4.14
2008.03,4.11,-4.79,4.60
2008.04,0.31,-9.12,0.21
2008.05,5.99,-4.35,5.33
2008.06,5.55,-1.60,3.75
2008.07,3.87,-7.16,9.88
2008.08,4.27,-5.22,4.73
2008.09,3.52,-7.24,3.76
2008.10,10.49,-0.74,11.25
2008.11,7.42,-2.06,2.82
2008.12,7.54,-1.00,4.22
2008.13,8.67,-2.39,0.50
2008.14,10.44,0.05,6.17
2008.15,12.93,3.60,1.74
2008.16,17.36,1.12,0.08
2008.17,20.30,5.62,0.03
2008.18,12.36,4.29,8.73
2008.19,18.42,6.82,3.31
2008.20,17.54,5.86,2.60
2008.21,18.15,7.14,1.67
2008.22,21.92,9.37,0.41
2008.23,22.40,12.32,2.69
2008.24,29.81,15.80,0.09
2008.25,22.58,12.80,4.95
2008.26,25.71,16.05,2.36
2008.27,26.66,17.85,1.34
2008.28,28.08,17.90,0.25
2008.29,29.59,17.57,0.28
2008.30,27.39,18.44,11.13
2008.31,27.61,17.42,5.02
2008.32,24.73,15.90,4.82
2008.33,24.81,15.12,6.32
2008.34,25.63,12.61,0.19
2008.35,24.63,12.78,0.99
2008.36,26.61,15.28,6.86
2008.37,22.49,12.89,8.70
2008.38,21.34,11.00,2.50
2008.39,19.63,9.27,10.14
2008.40,19.40,11.42,6.51
2008.41,18.11,5.90,0.94
2008.42,18.25,7.32,0.00
2008.43,12.96,0.76,0.22
2008.44,13.66,1.91,5.51
2008.45,14.47,5.89,3.95
2008.46,12.75,3.84,2.19
2008.47,5.17,-3.65,2.04
2008.48,6.88,-3.35,6.59
2008.49,7.72,-1.74,4.09
2008.50,7.27,-3.38,16.74
2008.51,5.61,-3.64,4.70
2008.52,4.23,-5.91,4.35
2008.53,3.22,-6.38,1.46
2009.01,1.82,-5.54,5.00
2009.02,-2.95,-12.14,1.94
2009.03,0.96,-9.18,2.60
2009.04,0.25,-10.03,5.00
2009.05,1.79,-9.44,0.74
2009.06,8.31,-1.71,0.62
2009.07,4.40,-5.47,2.30
2009.08,6.13,-4.02,3.78
2009.09,3.06,-6.99,3.35
2009.10,8.18,-1.22,3.26
2009.11,9.24,-2.13,0.45
2009.12,10.28,-1.89,0.87
2009.13,10.69,3.52,6.91
2009.14,12.11,1.11,7.50
2009.15,13.48,1.51,1.42
2009.16,15.31,5.13,9.44
2009.17,21.80,8.82,0.44
2009.18,16.89,8.72,7.28
2009.19,18.65,7.72,1.55
2009.20,20.79,8.93,1.58
2009.21,19.11,10.02,1.95
2009.22,20.98,9.94,3.09
2009.23,20.89,12.88,3.69
2009.24,20.91,11.23,6.56
2009.25,21.34,15.23,1.82
2009.26,23.71,15.37,11.83
2009.27,23.24,12.05,5.83
2009.28,25.73,14.18,3.32
2009.29,24.74,15.83,16.14
2009.30,27.09,19.37,3.04
2009.31,26.27,16.27,0.69
2009.32,26.07,16.49,1.08
2009.33,30.09,20.41,0.18
2009.34,26.17,16.81,4.53
2009.35,23.87,10.90,4.10
2009.36,21.04,11.82,4.33
2009.37,21.70,10.59,1.55
2009.38,22.23,9.34,0.04
2009.39,17.81,8.68,6.30
2009.40,18.75,8.60,5.11
2009.41,11.28,1.66,2.61
2009.42,16.03,3.82,6.16
2009.43,14.74,5.21,7.83
2009.44,11.66,1.75,0.82
2009.45,14.64,6.24,2.84
2009.46,14.36,3.63,5.96
2009.47,9.89,5.61,3.82
2009.48,11.48,1.90,7.55
2009.49,4.16,-3.70,6.19
2009.50,3.46,-5.45,3.80
2009.51,1.00,-7.48,3.63
2009.52,2.95,-5.78,3.72
2010.01,-0.41,-8.28,0.54
2010.02,2.01,-8.68,0.00
2010.03,4.20,-3.36,6.03
2010.04,3.73,-5.87,4.86
2010.05,0.26,-8.06,0.05
2010.06,2.09,-6.71,1.87
2010.07,4.71,-2.51,0.88
2010.08,5.95,-0.80,15.97
2010.09,6.50,-1.24,1.17
2010.10,11.65,0.43,2.69
2010.11,14.58,1.73,13.12
2010.12,12.01,2.01,13.63
2010.13,13.25,3.93,27.78
2010.14,20.07,6.68,3.56
2010.15,15.71,3.23,1.83
2010.16,17.57,4.20,0.53
2010.17,16.11,5.06,1.66
2010.18,24.23,10.95,1.93
2010.19,16.24,4.66,1.66
2010.20,21.19,9.03,4.80
2010.21,25.86,12.90,0.93
2010.22,26.21,15.58,4.34
2010.23,21.81,11.45,3.79
2010.24,24.21,13.86,4.11
2010.25,28.88,17.59,1.57
2010.26,27.56,15.23,1.17
2010.27,32.36,19.81,0.75
2010.28,29.25,20.17,4.56
2010.29,29.15,18.99,6.00
2010.30,28.93,16.74,1.79
2010.31,27.83,16.82,1.48
2010.32,28.44,16.78,0.32
2010.33,27.82,16.06,1.19
2010.34,22.85,15.05,8.22
2010.35,30.94,17.65,4.00
2010.36,24.34,12.69,0.15
2010.37,20.99,10.22,3.86
2010.38,24.07,12.51,0.15
2010.39,23.30,15.01,4.94
2010.40,17.24,8.36,6.52
2010.41,17.12,4.62,5.52
2010.42,15.09,2.58,0.46
2010.43,17.44,8.81,1.10
2010.44,11.95,0.67,5.21
2010.45,10.90,3.04,3.23
2010.46,12.53,3.17,4.95
2010.47,9.99,0.45,0.55
2010.48,7.64,-1.42,2.68
2010.49,1.13,-6.78,0.00
2010.50,3.66,-7.01,10.16
2010.51,2.74,-4.34,0.21
2010.52,3.98,-5.84,3.44
2011.01,3.77,-5.36,1.11
2011.02,-0.15,-9.49,5.91
2011.03,0.53,-7.60,5.14
2011.04,-1.25,-12.58,4.48
2011.05,0.43,-10.72,5.16
2011.06,2.37,-8.96,2.19
2011.07,8.04,-4.48,0.07
2011.08,3.94,-7.59,7.40
2011.09,5.25,-5.86,3.06
2011.10,9.51,0.78,4.09
2011.11,11.14,-0.04,2.00
2011.12,6.01,-2.28,1.52
2011.13,8.52,-1.61,3.29
2011.14,12.07,0.35,0.49
2011.15,13.53,3.84,7.87
2011.16,13.23,3.94,5.98
2011.17,19.96,10.70,3.27
2011.18,17.83,5.75,1.16
2011.19,17.78,7.73,0.17
2011.20,17.75,10.46,7.60
2011.21,22.40,12.85,2.11
2011.22,25.59,13.50,0.27
2011.23,26.37,13.50,3.00
2011.24,21.92,12.64,7.29
2011.25,23.68,14.13,4.64
2011.26,26.69,15.49,0.73
2011.27,28.75,18.05,5.57
2011.28,28.97,16.46,1.72
2011.29,31.27,19.78,0.20
2011.30,27.46,17.83,1.83
2011.31,28.81,17.32,0.20
2011.32,27.79,17.39,9.50
2011.33,25.72,17.22,11.60
2011.34,26.86,16.77,1.28
2011.35,25.80,14.08,6.61
2011.36,23.99,15.49,15.67
2011.37,24.13,12.04,0.34
2011.38,21.98,13.73,5.43
2011.39,25.11,16.27,5.60
2011.40,19.59,7.76,3.20
2011.41,22.03,12.30,6.56
2011.42,18.07,9.79,8.53
2011.43,11.85,2.60,4.83
2011.44,11.11,-0.54,3.82
2011.45,15.20,3.67,4.43
2011.46,14.11,5.39,3.66
2011.47,12.20,1.45,6.37
2011.48,13.65,2.30,2.69
2011.49,11.89,2.31,10.25
2011.50,8.02,-2.03,0.22
2011.51,7.16,-3.49,2.63
2011.52,8.01,-3.94,1.69
2012.01,6.29,-4.96,0.21
2012.02,6.82,-3.54,5.81
2012.03,1.65,-8.39,2.71
2012.04,7.04,-1.66,4.38
2012.05,7.86,-2.06,0.08
2012.06,6.26,-4.32,0.37
2012.07,6.26,-3.83,0.53
2012.08,8.42,-2.15,2.61
2012.09,6.40,-2.65,4.52
2012.10,9.03,-1.15,0.58
2012.11,13.67,2.45,0.09
2012.12,21.00,7.54,0.01
2012.13,10.66,0.58,1.30
2012.14,13.33,0.45,0.93
2012.15,15.41,2.15,0.59
2012.16,22.04,9.12,0.19
2012.17,15.33,4.61,11.29
2012.18,13.71,6.18,2.84
2012.19,18.12,8.04,8.03
2012.20,22.20,10.61,4.22
