Week,C01.tc,C02.tc,C03.tc,C04.tc,C05.tc,C06.tc,C07.tc,C08.tc,C09.tc,C10.tc,C11.tc,C12.tc,C13.tc,C14.tc,C15.tc,C16.tc,C17.tc,C18.tc,C19.tc,C20.tc,C21.tc,NJ.tc
2014.13,2,19,3,7,26,0,20,1,28,15,9,24,211,3,5,1,0,17,0,3,0,394
2014.14,7,11,3,4,27,1,11,2,13,12,4,16,220,1,6,5,0,11,1,2,0,357
2014.15,4,12,2,4,19,3,17,5,20,15,9,15,185,0,4,5,0,8,0,2,3,332
2014.16,5,21,3,9,13,0,15,2,16,5,9,14,150,5,8,4,0,18,0,9,3,309
2014.17,2,4,1,3,12,2,18,0,19,9,7,15,136,2,6,3,0,11,1,1,2,254
2014.18,2,1,0,2,21,1,5,1,16,12,7,15,116,4,3,3,0,12,1,2,3,227
2014.19,5,2,2,5,11,1,7,2,14,4,5,5,92,0,4,2,0,10,0,0,1,172
2014.20,2,3,1,4,9,0,0,0,19,7,4,12,87,0,3,1,0,3,1,3,1,160
2014.21,2,4,0,4,8,0,6,1,15,4,1,4,71,4,8,3,0,8,1,3,0,147
2014.22,3,5,0,1,12,0,4,0,7,4,4,6,50,0,7,1,2,6,0,0,0,112
2014.23,5,8,5,23,29,4,22,5,36,16,8,18,218,4,10,12,3,20,0,5,4,455
2014.24,1,5,0,2,18,0,6,2,21,4,3,6,118,2,4,2,0,4,0,1,2,201
2014.25,3,2,0,3,13,0,3,1,9,0,4,5,63,0,11,0,0,21,0,2,1,141
2014.26,3,4,0,7,17,0,5,0,6,14,5,7,60,6,3,2,0,1,0,2,0,142
2014.27,3,0,0,7,7,1,9,0,10,6,9,5,89,2,5,2,0,6,0,0,0,161
2014.28,7,2,1,4,8,0,2,0,18,8,4,4,72,3,1,0,0,2,0,0,3,139
2014.29,7,0,1,4,9,0,3,0,12,4,3,3,67,2,0,2,0,6,0,0,1,124
2014.30,0,3,0,2,20,0,9,0,7,4,3,4,64,4,3,1,0,3,0,0,3,130
2014.31,5,1,18,9,11,0,3,2,13,4,4,12,66,0,1,0,0,2,0,1,1,153
2014.32,2,3,2,3,7,0,9,2,10,1,2,4,76,4,2,3,0,7,0,1,1,139
2014.33,2,1,1,2,6,0,12,1,2,2,4,4,78,3,3,1,0,6,0,1,0,129
2014.34,2,5,0,3,0,0,6,0,3,5,0,9,79,3,2,3,0,3,0,0,1,124
2014.35,0,2,0,3,2,0,8,1,1,7,3,5,69,2,3,2,0,5,2,3,0,118
2014.36,1,3,0,8,5,0,13,0,5,1,5,6,88,6,2,1,0,2,0,3,0,149
2014.37,4,4,2,5,5,2,13,2,7,5,16,11,108,8,6,3,0,3,0,4,0,208
2014.38,9,10,2,11,1,1,17,3,25,7,17,19,185,4,4,2,0,9,2,5,0,333
2014.39,18,16,6,15,5,0,10,3,22,4,13,28,258,4,7,3,2,11,0,11,0,436
2014.40,11,16,4,19,7,3,31,4,29,5,30,47,329,5,9,7,2,7,1,5,0,571
2014.41,10,20,3,18,2,3,28,2,33,13,23,38,350,7,7,2,0,10,0,21,0,590
2014.42,11,27,6,8,8,1,51,7,52,13,33,26,356,11,8,9,4,12,0,13,3,659
2014.43,11,18,5,15,14,4,39,7,42,3,25,29,372,5,8,6,1,10,1,13,2,630
2014.44,14,18,8,17,1,2,31,4,16,12,14,24,245,18,2,8,0,11,1,7,1,454
2014.45,4,10,3,4,7,4,21,2,21,7,16,20,249,10,6,2,0,15,1,15,0,417
2014.46,8,16,2,3,2,1,21,3,19,7,10,16,239,4,5,6,1,9,0,9,1,382
2014.47,15,12,0,9,5,0,29,0,25,11,7,23,218,5,2,8,0,10,0,4,2,385
2014.48,21,11,1,4,5,0,9,1,13,10,7,9,130,4,2,2,0,7,0,5,4,245
2014.49,16,19,3,11,22,1,29,2,30,12,22,28,345,10,13,4,1,12,1,10,2,593
2014.50,9,18,3,14,7,1,28,1,22,6,19,26,268,11,13,1,0,21,8,7,3,486
2014.51,15,9,8,12,8,1,29,3,47,9,14,30,299,3,5,8,0,7,2,8,6,523
2014.52,5,25,3,5,8,2,18,1,18,11,14,24,234,6,7,3,1,12,2,2,6,407
2014.53,23,26,4,14,20,8,38,2,26,16,28,25,449,10,7,5,0,21,3,7,0,732
2015.01,17,27,9,59,8,3,54,6,41,13,28,63,579,14,13,11,0,17,3,14,4,983
2015.02,17,44,7,24,24,7,42,4,38,15,30,33,582,25,17,7,3,18,1,8,3,949
2015.03,15,32,8,19,17,0,40,2,32,13,14,25,456,11,13,3,1,22,3,8,4,738
2015.04,9,17,6,14,15,3,35,5,31,7,18,26,459,11,8,5,0,15,1,6,0,691
2015.05,17,15,10,9,9,3,23,5,29,4,19,20,345,8,16,4,0,10,0,14,2,562
2015.06,5,15,2,9,3,2,16,2,8,6,12,15,209,3,7,9,0,10,0,19,1,353
2015.07,2,8,4,5,4,0,11,2,15,6,4,12,229,8,7,12,1,8,2,15,1,356
2015.08,2,7,0,4,4,2,10,3,24,10,7,21,207,5,5,10,0,10,2,12,0,345
2015.09,5,6,2,6,0,0,7,1,10,14,5,20,143,9,12,2,0,7,1,5,0,255
2015.10,6,4,0,8,2,1,17,0,22,6,8,7,168,19,7,7,1,6,1,3,0,293
2015.11,4,8,0,1,2,1,9,0,17,3,7,6,110,1,3,11,0,4,0,1,0,188
2015.12,7,7,6,4,3,0,8,0,7,4,6,8,135,2,2,22,0,4,0,3,0,228
2015.13,4,5,1,4,0,2,3,0,13,3,2,10,108,4,14,3,0,2,1,3,0,182
2015.14,4,4,3,4,4,0,4,1,10,7,2,6,137,3,5,10,1,2,0,1,1,209
2015.15,2,5,1,4,1,0,6,0,11,7,5,9,145,4,2,8,0,3,1,2,0,216
2015.16,4,14,2,10,1,0,8,0,10,4,5,12,117,5,0,12,0,2,0,4,0,210
2015.17,7,5,3,7,2,1,6,1,13,7,8,3,87,5,8,15,0,3,1,0,0,182
2015.18,2,5,3,5,1,0,4,0,21,4,4,4,92,5,4,22,0,0,0,0,0,176
2015.19,2,6,1,2,2,0,6,0,12,2,0,5,91,3,2,22,0,0,0,1,0,157
2015.20,4,6,2,4,3,0,8,2,7,2,6,4,97,4,4,6,0,0,0,1,1,161
2015.21,2,5,2,5,2,1,7,2,9,8,4,4,96,5,2,24,1,1,0,1,0,181
2015.22,6,8,2,10,3,0,10,1,9,1,8,2,109,2,1,19,0,5,0,5,0,201
2015.23,6,6,1,3,1,1,15,1,8,3,4,7,102,2,1,8,0,3,2,2,0,176
2015.24,3,1,0,1,1,2,5,2,3,2,2,8,68,4,1,16,0,2,0,1,0,122
2015.25,2,0,0,6,1,0,6,3,10,1,6,2,69,4,2,9,0,2,2,1,0,126
2015.26,2,1,1,0,3,0,4,1,12,3,1,3,64,8,1,18,0,0,0,0,0,122
2015.27,1,4,2,2,2,0,7,0,4,3,4,6,80,2,4,11,0,1,0,1,0,134
2015.28,1,2,1,0,1,0,10,0,4,6,0,3,45,3,2,18,0,3,0,1,0,100
2015.29,2,4,1,1,2,1,5,0,8,5,6,5,68,4,2,16,0,3,0,1,0,134
2015.30,0,1,0,0,0,0,2,0,0,0,0,0,9,1,0,0,0,1,0,0,0,14
2015.31,2,6,2,1,2,0,15,1,4,3,2,10,53,5,3,11,0,4,0,2,0,126
2015.32,5,8,2,1,6,0,6,0,4,3,3,5,94,4,1,16,0,2,0,0,0,160
2015.33,3,4,1,4,3,4,2,0,4,4,1,5,78,2,4,11,0,5,0,1,0,136
2015.34,5,7,2,9,2,0,4,0,6,2,7,9,98,4,2,10,0,5,0,2,0,174
2015.35,0,6,1,4,0,0,4,3,11,8,6,19,101,5,1,22,0,2,0,1,0,194
2015.36,2,1,0,5,2,1,9,4,7,6,2,7,143,6,6,13,0,5,1,1,0,221
2015.37,7,11,2,12,6,1,20,0,11,4,6,16,151,7,7,15,0,3,0,3,1,283
2015.38,4,10,2,7,4,2,13,3,18,8,8,16,162,6,16,10,0,4,1,5,3,302
2015.39,9,13,6,12,5,1,9,5,29,8,17,20,219,7,9,9,1,5,2,4,3,393
2015.40,18,14,11,12,4,5,22,6,16,7,39,22,376,16,16,8,1,19,0,3,1,616
2015.41,2,13,3,11,5,4,28,9,26,8,17,15,336,17,14,21,4,7,1,3,0,544
2015.42,7,13,6,13,4,1,19,8,13,10,16,19,247,7,6,28,0,10,0,9,1,437
2015.43,5,12,3,7,7,1,24,10,25,11,10,17,215,4,9,7,0,6,2,10,0,385
2015.44,9,15,3,11,7,0,26,0,24,10,12,14,306,6,7,16,2,6,2,6,1,483
2015.45,7,10,4,3,9,0,15,1,20,7,8,20,183,3,13,15,1,6,0,4,2,331
2015.46,7,9,2,10,3,2,16,2,30,5,5,14,221,9,11,5,0,0,1,2,1,355
2015.47,7,5,2,10,2,2,20,3,8,7,5,8,151,2,5,16,0,3,2,2,0,260
2015.48,4,13,4,10,2,3,23,0,18,5,7,13,175,4,7,11,1,10,2,9,2,323
2015.49,10,30,1,9,4,1,21,5,18,7,10,27,240,12,5,13,0,21,1,6,2,443
2015.50,7,8,3,6,5,2,21,3,14,6,6,16,143,2,3,11,0,8,0,12,0,276
2015.51,3,6,1,8,4,2,8,4,14,3,7,9,204,5,7,9,0,2,0,1,1,298
2015.52,5,11,3,8,2,2,26,2,12,9,10,7,146,0,3,11,0,1,3,3,0,264
2016.01,7,7,5,20,3,0,7,1,10,6,11,15,189,8,5,24,0,5,0,3,4,330
2016.02,4,7,8,6,7,2,12,2,13,9,12,12,196,5,10,8,0,5,2,8,0,328
2016.03,10,9,3,9,3,1,10,4,11,4,6,13,184,4,7,44,0,7,3,6,0,338
2016.04,5,8,3,5,2,2,9,2,7,11,7,9,162,3,4,22,0,10,0,5,0,276
2016.05,1,10,2,10,3,0,12,7,13,3,8,13,205,4,6,28,0,6,0,7,0,338
2016.06,5,7,2,7,3,0,4,1,13,0,11,20,177,8,5,18,0,3,0,3,0,287
2016.07,4,13,5,8,4,1,13,3,9,7,8,13,182,5,2,13,1,3,0,6,0,300
2016.08,8,10,4,9,8,4,27,1,19,10,3,9,261,8,11,31,0,5,0,4,1,433
2016.09,7,8,6,2,3,2,16,3,11,10,7,5,232,4,7,25,0,4,1,5,0,358
2016.10,7,10,4,4,2,0,17,0,13,8,4,11,198,5,11,43,1,2,0,4,0,344
2016.11,12,11,1,4,12,0,19,2,21,7,4,8,177,8,2,46,2,1,0,5,0,342
2016.12,7,11,3,3,6,1,21,3,12,11,1,6,191,0,3,23,0,4,0,2,0,308
2016.13,7,3,1,10,1,1,17,3,21,2,3,9,176,10,3,42,0,2,0,3,0,314
2016.14,5,2,0,7,4,0,12,2,10,3,6,12,113,2,1,50,0,3,1,4,0,237
2016.15,5,6,1,4,3,1,7,3,7,11,3,5,145,2,3,15,0,9,0,4,0,234
2016.16,6,14,0,10,10,0,20,2,17,11,8,7,238,3,7,64,1,12,1,1,0,432
2016.17,5,7,3,6,1,1,12,4,15,2,10,5,159,5,2,37,1,4,0,5,1,285
2016.18,3,4,1,9,2,1,9,4,7,2,7,3,134,3,9,61,0,2,0,3,2,266
2016.19,7,4,1,2,4,0,23,2,8,5,8,2,125,2,3,69,0,13,1,1,1,281
2016.20,5,2,0,1,2,1,21,0,10,3,4,7,109,5,7,90,0,1,1,6,0,275
2016.21,9,3,1,8,7,2,49,1,27,14,18,7,302,4,5,449,1,13,0,2,0,922
2016.22,2,1,0,1,1,0,13,0,6,0,2,0,65,0,2,278,0,1,0,1,0,373
