Week,D01.Tmax,D01.Tmin,D01.prcp,D02.Tmax,D02.Tmin,D02.prcp,D03.Tmax,D03.Tmin,D03.prcp,D04.Tmax,D04.Tmin,D04.prcp,D05.Tmax,D05.Tmin,D05.prcp,D06.Tmax,D06.Tmin,D06.prcp,D07.Tmax,D07.Tmin,D07.prcp,D08.Tmax,D08.Tmin,D08.prcp,D09.Tmax,D09.Tmin,D09.prcp,MS.Tmax,MS.Tmin,MS.prcp
1997.15,14.10,4.99,4.83,12.94,3.74,3.86,20.05,7.53,2.64,17.37,5.95,5.26,22.23,8.43,2.92,19.24,7.21,8.39,19.34,8.11,9.25,15.04,6.06,10.98,23.67,12.41,8.53,19.00,7.57,6.04
1997.16,12.92,1.43,0.06,12.21,1.21,0.08,19.15,3.90,0.19,16.36,2.34,0.04,19.89,4.22,0.02,17.43,2.45,0.91,20.09,3.67,0.09,13.42,2.97,0.23,20.94,6.27,0.89,17.47,3.39,0.32
1997.17,15.39,6.39,3.80,13.99,5.71,3.76,22.23,10.61,5.97,18.36,7.62,3.96,22.88,11.23,13.13,20.41,9.01,10.65,20.67,9.03,17.09,15.54,7.19,11.17,24.93,12.08,6.19,20.12,9.20,8.49
1997.18,19.94,9.15,9.58,20.68,9.14,9.72,21.72,12.19,13.92,18.85,10.08,16.78,23.94,13.38,12.68,20.56,11.50,12.50,18.97,11.11,13.84,15.77,8.89,9.78,23.63,15.74,6.42,21.00,11.71,11.72
1997.19,22.13,9.01,0.95,22.34,7.90,0.47,25.08,12.08,0.91,20.92,8.77,0.76,25.95,12.01,0.00,22.69,9.62,0.03,23.96,10.75,0.00,17.96,7.36,0.11,26.47,12.73,0.32,23.48,10.31,0.36
1997.20,22.62,7.35,0.07,22.50,6.30,0.13,26.27,10.22,0.17,21.69,7.41,0.79,27.71,11.59,0.06,23.84,8.74,0.30,23.59,11.03,2.43,18.41,8.20,0.00,26.79,15.19,1.60,24.26,9.94,0.60
1997.21,24.37,12.50,4.52,24.50,12.27,3.14,27.14,16.04,3.57,22.47,11.77,1.92,27.76,17.34,13.24,24.09,14.36,9.84,24.49,15.57,11.58,18.71,12.03,12.13,28.25,18.27,12.56,25.12,14.84,8.47
1997.22,24.23,16.30,17.93,24.47,16.10,17.57,27.74,18.62,13.20,23.29,15.63,17.93,29.58,19.27,8.60,24.76,16.91,12.23,24.91,16.63,10.43,19.47,12.97,15.82,28.67,20.05,13.72,25.83,17.35,13.75
1997.23,22.38,13.69,0.89,21.71,13.70,4.78,25.85,15.82,1.42,20.88,13.57,5.32,27.30,16.18,0.36,23.32,14.05,1.86,23.69,13.79,1.32,18.11,11.05,3.46,27.61,16.91,4.60,23.98,14.65,2.72
1997.24,24.69,16.14,9.87,24.04,16.11,11.07,25.20,17.07,13.05,23.38,15.58,9.45,29.76,19.82,15.60,25.69,17.46,4.11,25.56,17.38,4.76,19.86,13.50,3.67,28.64,20.82,5.57,25.84,17.58,9.02
1997.25,26.65,17.65,12.28,27.15,17.29,12.20,26.86,17.95,3.82,25.52,16.76,6.93,31.11,20.94,1.18,27.35,17.68,5.16,26.55,18.26,8.14,20.83,14.24,12.76,30.60,21.90,6.83,27.63,18.55,6.83
1997.26,29.36,19.39,4.86,29.26,18.87,5.25,28.80,19.24,0.82,26.46,18.50,3.34,31.63,21.21,3.16,27.36,18.44,6.90,27.28,18.13,3.35,21.02,14.08,8.28,31.14,21.81,10.21,28.58,19.30,5.25
1997.27,28.77,19.83,3.88,29.90,19.75,4.70,29.11,19.57,6.84,27.83,19.18,4.47,32.94,21.44,1.39,29.46,19.04,3.65,28.65,18.91,0.63,22.43,14.77,3.81,33.75,23.12,2.16,29.91,19.96,3.32
1997.28,23.76,18.03,4.17,28.45,17.62,2.69,28.02,18.46,2.10,26.48,17.03,2.56,32.60,20.52,1.40,28.17,18.06,3.00,27.95,17.66,5.01,21.69,13.93,2.35,32.82,21.61,8.70,28.63,18.56,3.59
1997.29,24.54,18.90,3.69,30.01,18.92,2.97,28.94,18.94,2.02,27.38,18.03,1.46,33.25,21.01,1.12,28.90,17.95,1.74,28.13,17.77,1.93,21.62,13.83,4.91,31.17,21.70,14.04,29.02,19.02,3.96
1997.30,25.89,20.24,1.51,31.17,20.06,1.82,30.45,20.34,2.03,28.14,20.09,4.87,34.64,22.96,1.60,29.21,19.63,7.54,29.60,19.30,1.21,21.56,14.91,6.41,31.96,22.39,13.46,29.98,20.49,4.95
1997.31,28.63,18.79,2.53,29.47,18.36,1.69,28.73,19.29,2.00,27.32,19.38,1.61,33.74,22.02,2.15,28.57,18.78,4.48,28.36,19.13,2.75,21.82,14.28,5.22,31.82,22.53,7.83,29.43,19.71,3.46
1997.32,27.09,16.63,5.33,28.06,16.69,6.02,26.40,17.35,3.06,23.99,16.05,1.15,30.85,20.08,4.40,27.31,18.02,2.26,27.40,17.42,5.81,21.14,13.71,2.51,32.36,21.59,4.38,27.85,18.02,3.85
1997.33,28.77,20.18,4.86,29.11,20.21,3.78,28.68,19.93,5.13,24.68,17.15,6.11,32.97,22.46,4.91,28.51,19.51,3.14,28.05,19.21,3.36,22.21,14.64,1.01,32.77,23.14,2.72,29.08,20.09,3.92
1997.34,28.00,18.02,4.83,28.48,17.62,3.51,27.85,18.15,4.83,19.53,12.36,6.44,32.92,20.69,5.58,28.42,17.57,3.89,28.80,18.13,4.48,22.50,13.57,1.67,33.49,22.40,2.46,28.50,18.12,4.21
1997.35,28.48,15.72,0.00,29.04,15.49,0.56,31.98,17.78,0.00,19.94,11.16,0.03,32.17,17.26,0.02,28.15,15.42,0.00,32.84,18.04,0.06,21.97,12.36,0.00,32.66,19.83,0.01,28.96,16.16,0.07
1997.36,27.79,16.30,0.57,27.63,15.64,2.43,31.71,18.56,1.17,24.61,14.53,0.45,33.03,19.59,1.29,28.70,16.95,1.35,28.87,17.20,5.47,22.85,13.26,0.67,33.57,21.44,2.19,29.49,17.58,1.67
1997.37,22.56,14.51,2.77,26.47,13.59,2.69,30.30,16.12,2.65,23.45,12.09,1.79,31.34,16.33,2.52,26.86,13.33,0.72,27.29,14.98,6.27,21.40,10.94,1.36,31.50,18.54,0.48,27.61,14.90,2.15
1997.38,25.38,14.08,0.01,29.47,15.13,0.00,33.51,17.86,0.00,25.87,12.95,0.01,33.33,16.78,0.09,29.19,14.53,0.00,34.20,17.66,0.00,23.04,11.76,0.00,33.20,20.06,0.09,30.23,15.99,0.03
1997.39,21.16,12.58,12.42,24.94,14.22,10.20,28.34,17.22,6.35,22.57,14.37,8.23,30.15,18.37,6.07,26.30,17.13,4.25,26.21,15.96,7.51,20.77,13.09,2.45,31.32,20.68,2.00,26.62,16.57,6.26
1997.40,25.74,10.92,0.00,25.45,9.24,0.00,29.18,12.69,0.08,22.43,9.71,0.00,29.88,13.64,0.00,25.12,10.86,0.03,31.01,13.98,0.00,20.11,9.43,0.05,30.98,16.49,0.01,27.13,12.26,0.02
1997.41,27.08,15.65,0.19,27.32,14.27,0.01,30.63,17.60,0.24,23.53,12.69,0.00,31.52,18.16,0.09,27.12,14.34,0.41,27.56,15.97,0.27,21.19,11.31,0.08,30.40,18.90,1.04,27.99,15.87,0.29
1997.42,20.01,7.71,3.86,20.59,6.92,4.24,22.93,8.36,5.05,18.30,7.28,4.02,24.37,8.70,5.00,21.38,7.72,5.06,21.93,8.87,10.13,16.93,6.50,6.28,25.28,12.60,10.62,21.88,8.58,6.09
1997.43,17.94,5.09,7.39,17.74,3.80,6.64,22.22,7.23,9.51,16.80,5.17,6.31,24.40,8.63,8.98,20.72,5.88,6.30,21.60,8.18,8.74,16.08,4.64,4.92,23.95,10.38,4.26,20.82,6.93,6.97
1997.44,15.55,5.22,6.43,15.88,4.37,7.51,17.54,5.97,6.91,16.35,8.20,8.72,19.16,6.54,4.09,14.00,5.69,6.82,17.48,6.89,7.30,12.97,5.89,5.14,21.30,10.79,3.77,17.12,6.90,6.09
1997.45,13.16,4.71,1.29,13.51,3.70,2.36,15.79,5.38,1.23,14.59,5.40,3.20,16.61,4.94,1.46,14.88,4.97,1.27,15.80,4.87,0.47,13.28,3.20,1.00,20.73,6.46,0.98,15.76,5.00,1.55
1997.46,8.78,3.08,2.23,9.20,2.64,1.59,10.71,3.79,1.58,10.83,3.56,1.62,13.17,4.40,4.16,11.75,3.80,3.30,12.79,5.21,5.71,10.12,3.89,7.63,17.01,7.15,9.64,12.02,4.31,4.26
1997.47,10.60,-0.97,0.15,11.03,-1.73,0.67,12.66,-0.16,1.64,10.92,1.21,2.42,14.11,1.56,3.07,12.54,0.09,2.69,12.62,2.43,7.22,9.99,1.35,6.64,16.35,5.07,6.94,12.66,1.21,3.49
1997.48,15.94,4.76,1.32,15.47,3.35,0.71,18.72,6.46,6.64,15.69,5.78,3.63,20.24,6.05,5.37,17.28,4.28,4.59,18.43,6.48,10.74,13.89,3.09,6.30,20.53,7.36,10.21,17.69,5.45,5.55
1997.49,10.68,3.04,1.71,10.35,2.22,2.11,12.05,4.53,1.93,11.21,3.62,1.92,14.24,4.65,1.58,11.78,4.36,1.98,13.46,4.51,4.20,10.30,3.35,2.30,17.46,6.23,5.17,12.80,4.23,2.55
1997.50,6.90,0.20,2.05,7.18,0.18,2.64,8.69,1.39,3.21,8.31,0.99,2.28,10.46,1.82,2.34,8.92,1.37,0.83,10.53,2.12,4.22,8.41,1.70,1.69,14.19,4.37,2.85,9.63,1.72,2.38
1997.51,12.15,-2.06,0.01,13.17,-3.17,0.00,14.04,-1.04,0.41,12.73,-1.11,0.30,14.55,-0.34,3.13,12.54,-1.03,1.23,13.03,-0.29,2.64,10.12,-0.31,0.43,15.37,1.51,0.04,13.37,-0.72,1.03
1997.52,10.84,2.27,10.50,11.45,2.48,9.42,12.75,3.17,12.46,12.95,2.59,10.81,14.88,4.27,17.92,13.45,3.60,15.39,14.91,4.56,22.65,12.28,3.46,13.70,18.83,8.02,6.08,14.00,4.05,13.03
1997.53,8.20,-0.80,0.93,8.12,-1.87,1.16,11.24,-0.12,0.69,9.94,-1.63,1.47,13.22,0.27,0.90,11.09,-1.52,0.57,12.33,0.67,1.08,8.58,-1.37,0.82,13.77,0.19,0.14,11.12,-0.65,0.84
1998.01,13.96,7.71,11.17,14.40,7.72,10.63,15.57,8.22,10.53,14.76,6.72,14.46,17.61,8.94,14.16,15.28,7.38,18.42,15.56,7.67,15.83,11.86,5.57,25.15,18.67,9.78,25.82,15.76,7.96,16.47
1998.02,9.21,2.88,9.32,9.48,2.59,8.12,12.90,4.39,4.86,7.24,3.53,5.63,16.18,6.54,6.50,14.15,3.64,6.15,14.45,6.73,7.12,11.22,4.75,7.72,17.36,8.10,16.85,12.93,5.02,8.26
1998.03,7.57,0.52,3.44,7.68,-0.13,3.11,9.86,1.62,6.03,6.04,1.06,4.79,13.47,2.97,14.09,10.35,1.03,10.59,13.90,2.66,9.68,9.89,1.54,7.42,16.67,4.94,8.54,10.98,2.02,8.16
1998.04,11.45,-0.16,1.33,12.24,-1.07,0.93,13.22,1.19,2.31,12.18,-0.44,0.72,14.67,1.19,2.56,12.68,-0.37,2.89,13.44,1.09,3.24,9.46,-0.09,3.80,15.09,2.37,4.89,13.08,0.52,2.56
1998.05,10.12,1.75,0.53,9.30,1.92,1.15,10.90,2.52,2.54,9.34,2.22,2.76,12.14,3.05,5.15,10.66,2.07,4.38,12.06,2.92,1.80,8.98,2.10,3.45,14.43,4.16,3.78,11.13,2.64,3.16
1998.06,10.80,0.74,6.02,11.36,0.71,5.09,14.55,2.44,4.07,11.72,1.47,4.84,16.97,3.37,5.72,14.00,1.15,4.39,15.49,2.74,5.33,11.48,1.92,4.03,17.65,4.26,3.00,14.23,2.27,4.71
1998.07,12.79,3.32,8.52,13.08,2.97,9.94,14.99,4.73,6.63,13.54,3.49,8.28,16.43,6.05,6.16,15.42,3.71,5.06,14.50,4.40,9.17,12.40,3.39,5.49,18.48,6.60,7.61,15.03,4.55,7.32
1998.08,15.94,4.63,5.15,16.54,4.48,4.97,17.74,5.39,5.76,15.40,4.05,5.88,18.70,5.76,7.94,16.32,3.72,9.73,16.69,4.00,9.21,13.28,3.48,8.10,20.19,5.96,4.63,17.13,4.77,6.78
1998.09,12.03,2.29,7.30,12.65,2.54,8.73,14.94,3.83,5.45,13.14,2.43,6.94,18.02,5.64,7.61,15.61,4.21,5.71,16.20,3.75,5.79,12.72,3.70,5.98,18.72,6.43,14.90,15.38,4.14,8.01
1998.10,7.72,-1.79,4.16,8.43,-2.07,3.52,9.55,-0.82,6.00,11.26,-0.97,4.97,11.63,0.31,5.08,10.61,-0.26,4.24,11.57,0.42,3.90,9.13,0.42,9.33,13.67,1.99,13.46,10.77,-0.17,6.27
1998.11,16.81,7.56,4.99,16.37,6.76,4.45,19.16,8.69,5.96,16.51,6.03,5.04,21.27,9.64,7.63,17.78,7.15,5.87,19.29,7.39,9.38,13.65,6.06,6.87,17.49,8.48,8.96,17.91,7.71,6.66
1998.12,18.61,7.74,0.28,18.70,7.34,0.48,23.02,9.88,0.14,18.71,6.21,0.05,24.30,9.57,0.00,21.02,6.37,0.00,20.62,9.02,0.00,15.55,5.77,0.01,19.12,8.32,0.01,20.36,7.88,0.09
1998.13,24.17,11.27,3.56,24.05,10.35,5.75,26.45,13.15,2.11,22.62,9.63,4.20,26.41,12.95,3.79,24.03,11.22,5.02,22.63,10.98,5.48,17.93,8.79,4.95,22.13,13.73,2.44,23.68,11.60,4.04
1998.14,18.21,6.86,1.50,18.78,6.14,1.24,22.06,8.41,0.31,18.70,5.34,0.81,23.78,8.92,0.16,20.32,6.37,0.57,20.93,6.67,0.09,15.87,5.39,0.08,21.26,8.96,0.23,20.44,7.24,0.52
1998.15,21.21,9.85,1.95,21.04,10.41,2.00,23.15,12.81,2.92,19.93,9.35,3.50,24.20,13.29,5.94,21.16,10.65,8.46,20.98,11.94,6.56,16.84,9.36,4.43,22.45,14.04,0.62,21.59,11.58,4.09
1998.16,18.19,6.37,2.99,18.19,5.58,4.97,21.16,8.05,2.90,16.69,5.63,4.82,21.30,7.27,2.59,18.00,5.80,3.30,18.81,5.72,2.82,14.74,5.03,2.59,21.51,7.82,0.97,19.10,6.51,3.04
1998.17,21.33,12.11,14.15,21.07,11.33,13.53,23.80,13.71,7.22,19.55,10.43,4.74,24.76,14.43,6.02,21.35,10.41,4.00,21.13,12.15,8.34,16.84,8.78,8.46,22.69,13.38,10.81,21.78,12.13,8.21
1998.18,23.90,12.98,1.81,23.88,12.24,5.22,27.32,15.37,0.10,20.62,10.61,0.75,28.21,15.15,0.37,24.42,11.47,0.94,24.66,14.01,0.59,18.86,9.56,1.02,25.55,16.22,1.56,24.71,13.44,1.34
1998.19,26.29,14.75,0.01,26.83,14.23,0.00,29.74,16.59,0.24,20.83,10.64,1.43,30.15,16.51,0.08,25.86,12.84,0.13,25.66,14.32,0.00,20.36,10.16,0.00,29.99,16.88,0.00,26.83,14.47,0.20
1998.20,29.19,16.68,0.00,29.41,15.35,0.00,32.14,18.72,0.00,22.77,11.46,0.00,31.75,17.95,0.00,27.85,14.27,0.00,26.72,15.21,0.00,21.63,11.63,0.00,32.17,18.83,0.00,28.82,15.95,0.00
1998.21,27.25,18.62,7.71,27.84,17.87,7.59,30.69,20.66,12.80,24.43,14.63,9.21,31.43,19.98,5.50,27.47,16.93,2.90,27.36,17.20,2.05,21.89,13.44,2.47,31.55,21.36,2.84,28.41,18.27,5.73
1998.22,28.92,19.30,6.71,28.87,18.59,5.76,31.97,21.18,4.16,25.56,15.89,4.91,33.14,21.33,7.45,28.89,17.65,7.39,29.43,19.17,4.16,22.93,14.52,6.70,33.39,23.56,5.36,29.90,19.50,6.01
1998.23,26.98,17.79,0.48,27.30,17.69,0.79,30.69,20.86,0.00,23.74,14.72,0.43,25.64,19.65,0.37,23.60,15.09,0.24,27.68,17.38,0.04,21.48,12.88,0.15,31.16,20.58,0.34,26.62,17.78,0.34
1998.24,30.32,20.03,0.51,30.52,19.54,0.30,33.67,22.92,2.46,26.53,17.03,2.09,27.28,22.80,2.12,25.71,16.44,6.97,30.32,20.58,0.44,23.73,15.81,0.24,34.19,25.15,0.23,29.20,20.51,1.86
1998.25,31.90,21.02,0.00,32.86,20.24,0.29,34.43,22.88,0.00,27.97,17.31,0.05,35.00,22.25,1.82,26.09,15.84,0.69,30.47,18.73,1.09,23.68,13.91,2.05,33.57,21.94,2.21,31.21,19.74,1.04
1998.26,31.14,20.35,1.04,32.21,19.76,1.25,34.10,22.68,1.46,29.66,18.45,1.61,34.26,22.09,4.07,25.74,15.50,4.40,29.96,18.71,6.14,23.56,14.32,5.09,34.16,22.60,2.06,31.04,19.75,2.95
1998.27,32.98,21.99,4.34,32.14,20.82,3.70,35.57,24.03,3.98,30.20,19.05,6.60,35.75,23.86,3.55,26.63,17.16,5.37,30.81,20.31,6.99,24.11,15.64,4.34,35.68,24.17,4.99,32.09,21.15,4.82
1998.28,28.28,20.48,9.17,27.73,19.98,9.95,31.04,22.48,11.82,26.66,18.59,12.00,32.21,22.60,9.69,23.50,16.74,8.48,27.85,19.21,4.44,22.02,15.26,4.68,33.24,23.39,8.43,28.64,20.25,9.09
1998.29,30.97,20.61,1.33,30.64,20.07,5.47,33.81,23.04,1.71,28.83,18.61,4.75,34.30,22.61,4.22,25.53,16.36,5.62,28.75,18.95,3.94,22.55,14.51,2.98,32.58,22.77,6.78,30.32,20.11,4.41
1998.30,30.05,21.11,4.18,29.04,20.05,8.96,34.22,23.86,0.26,27.88,18.89,4.57,35.04,24.07,0.47,26.08,17.44,0.79,29.93,19.69,1.46,23.11,15.49,3.57,33.97,23.61,6.33,30.52,20.90,3.37
1998.31,29.55,19.60,2.18,28.79,18.97,3.16,32.74,21.85,2.95,25.38,15.96,2.83,33.78,21.31,3.08,22.28,13.50,1.61,29.66,17.84,1.75,22.97,13.70,0.84,33.30,22.55,0.64,29.31,18.80,2.15
1998.32,28.64,19.63,6.24,28.49,19.27,8.91,31.79,22.01,3.11,24.75,16.89,8.38,32.51,22.16,2.04,21.90,14.42,6.53,28.48,18.68,6.03,22.55,14.26,5.14,33.46,22.28,8.85,28.67,19.28,6.01
1998.33,29.59,19.31,0.65,29.59,19.25,1.91,33.11,21.31,1.35,25.48,17.06,2.51,33.72,21.89,2.58,21.82,14.18,2.92,28.74,18.59,0.74,22.87,14.66,0.95,32.64,22.49,6.29,29.19,19.18,2.58
1998.34,31.96,17.83,0.01,31.59,17.15,0.12,35.70,20.82,0.06,26.86,15.54,0.14,36.33,21.50,0.02,23.69,13.42,0.08,30.92,18.47,0.39,24.25,14.05,0.12,34.82,23.53,0.74,31.31,18.58,0.20
1998.35,31.41,17.59,0.18,31.30,16.66,0.03,34.56,20.11,1.16,28.08,16.28,0.03,35.01,20.28,1.91,25.47,14.27,1.40,29.61,16.98,4.10,23.08,13.37,2.41,32.42,22.08,7.31,30.58,17.95,2.20
1998.36,29.26,15.93,0.62,29.32,14.62,0.00,31.21,18.93,4.61,26.78,15.23,0.35,31.99,20.51,8.02,23.56,13.89,2.80,26.06,17.68,12.80,20.61,13.89,6.83,29.05,21.80,22.75,27.90,17.31,7.08
1998.37,28.87,18.48,1.14,30.19,17.61,0.38,31.70,20.71,3.97,27.23,16.67,0.31,31.77,21.45,2.62,24.03,14.09,1.59,26.02,18.37,3.65,20.62,13.81,5.01,29.85,22.36,7.93,28.21,18.50,3.00
1998.38,30.06,16.99,1.52,29.46,16.46,4.98,32.79,20.10,0.84,27.30,16.67,1.36,33.25,21.19,0.32,24.47,14.52,1.22,27.56,18.44,2.23,21.10,14.36,5.33,31.48,22.62,7.37,29.03,18.30,2.81
1998.39,30.97,16.82,3.16,30.01,16.53,5.69,33.27,19.87,1.38,27.64,17.42,1.57,33.19,21.02,0.40,23.53,14.39,5.48,27.54,17.46,0.85,20.13,13.85,23.47,30.50,21.54,31.94,28.91,18.06,8.63
1998.40,24.28,12.49,2.72,24.48,12.78,2.52,27.04,14.09,2.55,25.06,13.93,2.20,27.40,14.70,4.22,20.75,10.34,2.01,22.94,13.33,4.80,18.46,10.62,4.15,27.64,17.62,5.87,24.67,13.64,3.58
1998.41,24.53,9.37,0.00,24.46,8.52,0.00,28.12,11.73,0.00,24.99,10.05,0.01,28.86,12.12,0.02,21.23,7.13,0.76,23.91,10.65,0.01,18.65,8.06,0.20,27.92,14.57,0.05,25.23,10.57,0.13
1998.42,20.75,8.97,0.80,20.92,8.13,0.25,23.09,10.43,0.73,21.76,10.40,0.32,25.33,12.55,0.60,18.77,7.58,0.35,21.78,11.22,0.05,17.13,7.91,0.06,26.38,14.69,0.35,22.29,10.58,0.40
1998.43,24.38,7.94,0.00,24.89,7.47,0.00,27.61,9.16,0.00,24.80,7.83,0.00,28.02,9.79,0.00,20.80,5.45,0.00,23.32,8.47,0.00,18.17,6.75,0.00,27.12,11.66,0.03,24.79,8.53,0.00
1998.44,17.26,6.15,0.67,17.15,4.84,0.44,19.17,6.86,1.99,16.28,4.88,1.67,21.36,7.19,2.69,15.29,4.35,1.38,18.21,5.94,2.57,14.03,4.72,1.00,22.20,8.78,0.76,18.38,6.19,1.48
1998.45,15.23,4.81,5.98,15.22,4.50,5.50,17.76,7.73,8.82,14.65,4.40,10.60,19.46,8.58,12.51,15.24,5.77,9.31,17.90,8.45,13.15,14.78,5.98,5.70,23.02,11.55,5.50,17.55,7.23,8.63
1998.46,17.36,5.63,2.61,18.19,4.63,3.14,19.02,6.84,4.47,16.08,6.02,4.26,20.34,10.01,1.84,16.12,6.65,2.18,18.18,9.59,3.70,14.37,7.43,2.75,23.20,14.69,6.92,18.59,8.45,3.61
1998.47,18.87,5.40,0.01,18.53,4.14,0.04,21.49,7.17,0.02,16.49,4.89,0.23,22.72,9.12,0.00,17.21,5.76,0.30,20.00,7.97,0.07,15.43,6.20,0.35,23.47,11.92,3.00,19.84,7.36,0.58
1998.48,20.82,8.42,1.36,20.93,7.39,1.14,23.94,11.34,0.19,19.04,6.96,0.04,23.87,11.28,0.04,16.48,6.23,0.13,21.16,11.51,0.16,16.56,7.85,0.14,24.68,13.67,0.32,21.15,9.63,0.36
1998.49,14.18,6.39,14.38,13.42,6.08,14.65,15.12,7.46,15.22,10.49,4.30,11.10,17.23,8.53,17.57,14.23,7.09,5.79,16.84,9.31,9.10,14.91,8.02,2.28,23.08,13.82,2.15,16.02,8.24,10.19
1998.50,11.00,0.27,2.63,10.97,-0.08,4.81,12.82,0.95,2.86,8.40,0.84,3.57,14.70,1.31,2.26,9.37,0.88,1.82,12.70,1.76,1.91,10.31,1.10,1.64,17.53,4.01,0.70,12.41,1.38,2.36
1998.51,7.21,-1.26,4.32,6.29,-1.11,5.39,8.66,-0.06,8.07,5.85,-0.21,9.32,11.43,2.78,5.31,7.10,1.42,4.88,10.09,3.41,2.93,8.02,2.31,3.42,14.71,6.83,1.68,9.27,1.93,4.89
1998.52,6.91,-1.82,7.14,6.72,-1.40,6.77,9.06,-0.28,10.48,6.31,-1.03,5.17,11.69,0.97,7.04,7.57,0.53,3.85,13.39,3.46,9.57,9.15,1.11,4.11,16.70,5.04,5.65,10.09,0.93,6.44
1999.01,5.80,-4.77,5.19,5.07,-5.48,8.16,7.87,-3.30,7.45,4.82,-2.15,8.38,11.95,-2.02,6.83,7.63,-1.91,5.27,10.64,-0.72,3.03,7.75,-2.15,4.72,13.36,0.40,7.24,8.78,-2.27,6.47
1999.02,8.53,-1.59,0.64,9.18,-1.60,3.58,11.60,-0.38,0.34,8.69,-0.57,1.28,15.81,0.97,0.28,11.01,0.26,0.17,14.26,1.55,0.12,11.18,0.52,0.03,17.47,2.28,0.50,12.49,0.31,0.78
